storeNo,name,street,city,state,zip,date_opened,latitude,longitude,state_name
0770,Giant,1245 Jefferson Davis Hwy.,Fredericksburg,VA,22401,2006-10-01,38.3038,-77.4808,Virginia
2330,Giant,1649 Crofton Center,Crofton,MD,21114,2023-01-01,39.0157,-76.6938,Maryland
0775,Giant,13330 Franklin Farm Rd.,Herndon,VA,20171,2006-10-01,38.9074,-77.4069,Virginia
0155,Giant,7200 Cradlerock Way,Columbia,MD,21045,2006-10-01,39.1862,-76.8415,Maryland
0143,Giant,4715 Dorsey Hall Dr.,Ellicott City,MD,21043,2006-10-01,39.2445,-76.8429,Maryland
0756,Giant,8320 Old Keene Mill Rd.,Springfield,VA,22152,2006-10-01,38.78,-77.2301,Virginia
0744,Giant,5740 Union Mill Rd.,Clifton,VA,20124,2006-10-01,38.8366,-77.4119,Virginia
0198,Giant,9812 Falls Road,Potomac,MD,20854,2008-06-27,39.017,-77.2105,Maryland
0362,Giant,20944 Frederick Road,Germantown,MD,20876,2006-10-01,39.2034,-77.2461,Maryland
2744,Giant,9400 Fairfax Boulevard,Fairfax,VA,22031,2020-07-21,38.8651,-77.2709,Virginia
0361,Giant,5700 Southeast Crain Hwy,Upper Marlboro,MD,20772,2006-10-01,38.8113,-76.7373,Maryland
0749,Giant,7137 Columbia Pike,Annandale,VA,22003,2006-10-01,38.8319,-77.1924,Virginia
0342,Giant,4119 Branch Ave.,Marlow Heights,MD,20748,2006-10-01,38.834,-76.9425,Maryland
0252,Giant,1000 East Main Street,Purcellville,VA,20132,2006-10-01,39.1357,-77.6988,Virginia
0799,Giant,61 Catoctin Circle N.E.,Leesburg,VA,20176,2006-10-01,39.1114,-77.5525,Virginia
0150,Giant,46 Bureau Dr.,Gaithersburg,MD,20878,2006-10-01,39.1432,-77.2171,Maryland
2311,Giant,1155 Annapolis Road,Odenton,MD,21113,2015-12-11,39.0815,-76.6894,Maryland
0795,Giant,7501 Huntsman Blvd.,Springfield,VA,22153,2006-10-01,38.7529,-77.2661,Virginia
0798,Giant,8941 Ox Rd.,Lorton,VA,22079,2006-10-01,38.7143,-77.2637,Virginia
0145,Giant,5150 Sinclair Lane,Baltimore,MD,21206,2006-10-01,39.3229,-76.544,Maryland
0303,Giant,601 East 33rd St.,Baltimore,MD,21218,2006-10-01,39.3284,-76.6084,Maryland
0141,Giant,7940 Crain Hwy.,Glen Burnie,MD,21061,2006-10-01,39.1337,-76.6364,Maryland
0378,Giant,"1345 Park Road, N.W.",Washington,DC,20010,2006-10-01,38.9308,-77.0312,
0334,Giant,3521 East-West Highway,Hyattsville,MD,20782,2006-10-01,38.9656,-76.9585,Maryland
0754,Giant,4309 Dale Blvd.,Dale City,VA,22193,2006-10-01,38.6468,-77.3384,Virginia
2748,Giant,6360 Seven Corners Center,Falls Church,VA,22044,2020-03-06,38.8649,-77.1516,Virginia
0117,Giant,6223 Baltimore National Pike,Catonsville,MD,21228,2006-10-01,39.2823,-76.7519,Maryland
0335,Giant,1700 Kingfisher Dr.,Frederick,MD,21701,2011-03-30,39.4487,-77.3831,Maryland
0366,Giant,8750 Arliss St.,Silver Spring,MD,20901,2006-10-01,39.0003,-77.0016,Maryland
2746,Giant,2425 Centreville Road,Herndon,VA,20171,2018-11-09,38.9513,-77.4105,Virginia
0387,Giant,19312 Lighthouse Plaza Blvd,Rehoboth Beach,DE,19971,2006-10-01,38.7262,-75.1045,Delaware
2318,Giant,10210 Mill Run Circle,Owings Mills,MD,21117,2019-08-23,39.4057,-76.7907,Maryland
0363,Giant,1400 Merritt Boulevard,Dundalk,MD,21222,2010-10-13,39.2779,-76.5063,Maryland
0329,Giant,9719 Traville Gateway Drive,Rockville,MD,20850,2006-10-01,39.0916,-77.2041,Maryland
0375,Giant,1050 Brentwood Road,Washington,DC,20018,2006-10-01,38.9195,-76.992,
0788,Giant,14125 St. Germain Dr.,Centreville,VA,20121,2006-10-01,38.837,-77.4374,Virginia
0386,Giant,4301 Concord Pike,Wilmington,DE,19803,2006-10-01,39.814,-75.5475,Delaware
0341,Giant,20 Audrey Lane,Oxon Hill,MD,20745,2006-10-01,38.8205,-76.9989,Maryland
0239,Giant,10864 Sudley Manor Drive,Manassas,VA,20109,2021-11-18,38.785,-77.5178,Virginia
0256,Giant,10346 Courthouse Road,Spotsylvania,VA,22553,2006-10-01,38.2438,-77.5297,Virginia
0135,Giant,3860 International Dr.,Silver Spring,MD,20906,2006-10-01,39.1035,-77.0754,Maryland
0336,Giant,2900 University Boulevard West,Wheaton,MD,20902,2006-10-01,39.0382,-77.0585,Maryland
2376,Giant,1400 7th Street N.W.,Washington,DC,20001,2013-11-21,38.9088,-77.023,
0364,Giant,1401 Rock Spring Road,Bel Air,MD,21014,2006-10-01,39.5568,-76.3691,Maryland
0325,Giant,10790 Town Center Blvd,Dunkirk,MD,20754,2006-10-01,38.7228,-76.6559,Maryland
0167,Giant,948 Bay Ridge Rd.,Annapolis,MD,21403,2006-10-01,38.9483,-76.489,Maryland
0794,Giant,20961 Southbank Street,Sterling,VA,20165,2006-10-01,39.0354,-77.3978,Virginia
0233,Giant,7235 Arlington Blvd.,Falls Church,VA,22042,2008-03-14,38.866,-77.1956,Virginia
0339,Giant,200 Rosewick Road,LaPlata,MD,20646,2008-10-31,38.5585,-76.9846,Maryland
0250,Giant,635 Potomac Station Dr.,Leesburg,VA,20176,2006-10-01,39.0984,-77.5263,Virginia
0232,Giant,5870 Kingstowne Blvd.,Alexandria,VA,22315,2006-10-01,38.7709,-77.1367,Virginia
0319,Giant,625 Hungerford Drive,Rockville,MD,20850,2006-10-01,39.0928,-77.1537,Maryland
0301,Giant,13781 Connecticut Avenue,Silver Spring,MD,20906,2007-11-09,39.0817,-77.0797,Maryland
0243,Giant,317 Worth Avenue,Stafford,VA,22554,2006-10-01,38.4768,-77.4168,Virginia
0748,Giant,2901-11 S. Glebe Rd.,Arlington,VA,22206,2006-10-01,38.8457,-77.0687,Virginia
0778,Giant,41 West Lee Hwy.,Warrenton,VA,20186,2006-10-01,38.7303,-77.7918,Virginia
