id,name,timezone,street,city,state,zip,phone,url,latitude,longitude,state_name
5589,Kansas City,America/Chicago,920 State Avenue,Kansas City,KS,66101,913-371-8777,us/ks/kansas-city/920-state-avenue/store-5589,39.11679487,-94.63335409,Kansas
1141,Kansas City,America/Chicago,5545 Leavenworth Road,Kansas City,KS,66104,913-596-2737,us/ks/kansas-city/5545-leavenworth-road/store-1141,39.14267925,-94.7077965,Kansas
3477,Kansas City,America/Chicago,535 Southwest Boulevard,Kansas City,KS,66103,913-722-4333,us/ks/kansas-city/535-southwest-boulevard/store-3477,39.06603096,-94.61505711,Kansas
1144,Kansas City,America/Chicago,1008 N. 78Th Street,Kansas City,KS,66112,913-334-2781,us/ks/kansas-city/1008-n--78th-street/store-1144,39.11524475,-94.76113205,Kansas
2565,Merriam,America/Chicago,5440 Merriam Drive,Merriam,KS,66203,913-831-0444,us/ks/merriam/5440-merriam-drive/store-2565,39.02988372,-94.69266415,Kansas
2323,North Kansas City,America/Chicago,1412 Burlington,North Kansas City,MO,64116,816-421-5941,us/mo/north-kansas-city/1412-burlington/store-2323,39.13458138,-94.58106883,Missouri
4375,Kansas City,America/Chicago,822 Westport Road,Kansas City,MO,64111,816-753-8181,us/mo/kansas-city/822-westport-road/store-4375,39.05111549,-94.59649019,Missouri
2677,Mission,America/Chicago,6665 Martway,Mission,KS,66202,913-262-7733,us/ks/mission/6665-martway/store-2677,39.01995056,-94.66392964,Kansas
2835,Riverside,America/Chicago,2707 Nw Vivion Road,Riverside,MO,64150,816-741-1760,us/mo/riverside/2707-nw-vivion-road/store-2835,39.17805659,-94.61161249,Missouri
2780,Parkville,America/Chicago,8700 N.W. 63Rd Street,Parkville,MO,64152,816-746-5535,us/mo/parkville/8700-n-w--63rd-street/store-2780,39.20898423,-94.68249589,Missouri
2960,Shawnee,America/Chicago,13601 West 63Rd Street,Shawnee,KS,66216,913-631-0040,us/ks/shawnee/13601-west-63rd-street/store-2960,39.01434053,-94.74374682,Kansas
1143,Kansas City,America/Chicago,4200 Independence Avenue,Kansas City,MO,64124,816-241-4665,us/mo/kansas-city/4200-independence-avenue/store-1143,39.10598539,-94.53266971,Missouri
2652,Overland Park,America/Chicago,10075 West 75Th Street,Overland Park,KS,66204,913-631-7371,us/ks/overland-park/10075-west-75th-street/store-2652,38.9926455,-94.70280516,Kansas
5585,Kansas City,America/Chicago,4520 Blue Parkway,Kansas City,MO,64130,816-861-0854,us/mo/kansas-city/4520-blue-parkway/store-5585,39.03516115,-94.53207119,Missouri
4167,Overland Park,America/Chicago,8905 Santa Fe,Overland Park,KS,66212,913-901-8512,us/ks/overland-park/8905-santa-fe/store-4167,38.97187274,-94.68823783,Kansas
4326,Kansas City,America/Chicago,7521 Nw Barry Road,Kansas City,MO,64152,816-584-0322,us/mo/kansas-city/7521-nw-barry-road/store-4326,39.24648555,-94.66644422,Missouri
2122,Gladstone,America/Chicago,7112 N. Oak Trafficway,Gladstone,MO,64118,816-436-1024,us/mo/gladstone/7112-n--oak-trafficway/store-2122,39.22394541,-94.57653322,Missouri
3708,Kansas City,America/Chicago,8227 Wornall Road,Kansas City,MO,64114,816-822-3663,us/mo/kansas-city/8227-wornall-road/store-3708,38.97848478,-94.59448672,Missouri
2322,Kansas City,America/Chicago,5105 Northeast Vivion Road,Kansas City,MO,64119,816-455-0780,us/mo/kansas-city/5105-northeast-vivion-road/store-2322,39.18762239,-94.51896631,Missouri
