store_id,street,city,state,zip,phone,latitude,longitude,website,brand,color,state_name
3011506,1 Bass Pro Dr,Springfield,MO,65807,(417) 887-7334,37.1793826,-93.2971804,https://stores.basspro.com/us/mo/springfield/1935-s-campbell-ave.html,Bass Pro Shops,#1F8500,Missouri
3011523,1 Bass Pro Dr,Branson,MO,65616,(417) 243-5200,36.6414441,-93.2135224,https://stores.basspro.com/us/mo/branson/1-bass-pro-dr.html,Bass Pro Shops,#1F8500,Missouri
3011540,1 Bass Pro Dr,Foxborough,MA,02035,(508) 216-2000,42.0847195,-71.2727308,https://stores.basspro.com/us/ma/foxborough/1-bass-pro-dr.html,Bass Pro Shops,#1F8500,Massachusetts
3011551,1 Bass Pro Dr,Little Rock,AR,72210,(501) 954-4500,34.658703,-92.4092138,https://stores.basspro.com/us/ar/little-rock/1-bass-pro-dr.html,Bass Pro Shops,#1F8500,Arkansas
3011552,1 Bass Pro Dr,Bridgeport,CT,06608,(203) 362-4200,41.1775335,-73.1781721,https://stores.basspro.com/us/ct/bridgeport/1-bass-pro-dr.html,Bass Pro Shops,#1F8500,Connecticut
3011553,1 Bass Pro Dr,Bristol,TN,37620,(423) 990-5200,36.594381,-82.251313,https://stores.basspro.com/us/tn/bristol/1-bass-pro-dr.html,Bass Pro Shops,#1F8500,Tennessee
3011496,100 Bass Pro Dr,Bossier City,LA,71111,(318) 549-8800,32.5204147,-93.7421831,https://stores.basspro.com/us/la/bossier-city/100-bass-pro-dr.html,Bass Pro Shops,#1F8500,Louisiana
3011530,100 Bass Pro Dr,Pearl,MS,39208,(601) 933-3700,32.2713586,-90.1504612,https://stores.basspro.com/us/ms/pearl/100-bass-pro-dr.html,Bass Pro Shops,#1F8500,Mississippi
3011534,1000 Bass Pro Dr,Pearland,TX,77047,(713) 770-5100,29.5951842,-95.3899479,https://stores.basspro.com/us/tx/pearland/1000-bass-pro-dr.html,Bass Pro Shops,#1F8500,Texas
3258086,1000 Bass Pro Dr,Chattanooga,TN,37412,(423) 242-4000,34.9928568,-85.2026117,https://stores.basspro.com/us/tn/chattanooga/1000-bass-pro-dr.html,Bass Pro Shops,#1F8500,Tennessee
3011546,1000 Bass Pro Dr NW,Altoona,IA,50009,(515) 957-5500,41.6591344,-93.5146862,https://stores.basspro.com/us/ia/altoona/1000-bass-pro-dr-nw.html,Bass Pro Shops,#1F8500,Iowa
3011549,1000 Bass Pro Shops Dr,East Peoria,IL,61611,(309) 427-3400,40.68482,-89.578898,https://stores.basspro.com/us/il/east-peoria/1000-bass-pro-shops-dr.html,Bass Pro Shops,#1F8500,Illinois
3011544,10000 Bass Pro Blvd,Rossford,OH,43460,(419) 891-3900,41.5600429,-83.5886696,https://stores.basspro.com/us/oh/rossford/10000-bass-pro-blvd.html,Bass Pro Shops,#1F8500,Ohio
3011520,10040 Gulf Center Dr,Ft. Myers,FL,33913,(239) 461-7800,26.4879239,-81.7917618,https://stores.basspro.com/us/fl/ft--myers/10040-gulf-center-dr.html,Bass Pro Shops,#1F8500,Florida
3011524,101 Bass Pro Dr,Broken Arrow,OK,74012,(918) 355-7600,36.070547835622826,-95.7923349738121,https://stores.basspro.com/us/ok/broken-arrow/101-bass-pro-dr.html,Bass Pro Shops,#1F8500,Oklahoma
3011548,101 Bass Pro Dr,Harlingen,TX,78552,(956) 291-5200,26.1920171,-97.7219406,https://stores.basspro.com/us/tx/harlingen/101-bass-pro-dr.html,Bass Pro Shops,#1F8500,Texas
3011501,10177 North Kings Hwy,Myrtle Beach,SC,29572,(843) 361-4800,33.7915977,-78.768585,https://stores.basspro.com/us/sc/myrtle-beach/10177-north-kings-hwy.html,Bass Pro Shops,#1F8500,South Carolina
3986751,1025 Woodruff Road,Greenville,SC,29607,(864) 516-8100,34.8347559,-82.3066267,https://stores.basspro.com/us/sc/greenville/1025-woodruff-road.html,Bass Pro Shops,#1F8500,South Carolina
3986711,10300 Cabela Drive,Kansas City,KS,66111,(913) 328-0322,39.1211055,-94.8153725,https://stores.basspro.com/us/ks/kansas-city/10300-cabela-drive.html,Bass Pro Shops,#1F8500,Kansas
3011556,10501 Palm River Rd,Tampa,FL,33619,(813) 655-2400,27.9344175,-82.3337424,https://stores.basspro.com/us/fl/tampa/10501-palm-river-rd.html,Bass Pro Shops,#1F8500,Florida
3011539,1133 North Dobson,Mesa,AZ,85201,(602) 606-5600,33.4365468,-111.8665419,https://stores.basspro.com/us/az/mesa/1133-north-dobson.html,Bass Pro Shops,#1F8500,Arizona
3011545,11550 Lakeridge Parkway,Ashland,VA,23005,(804) 496-4700,37.7110473,-77.4492922,https://stores.basspro.com/us/va/ashland/11550-lakeridge-parkway.html,Bass Pro Shops,#1F8500,Virginia
3011542,11551 Northwest 12th St,Miami,FL,33172,(305) 341-4200,25.7888307,-80.3831756,https://stores.basspro.com/us/fl/miami/11551-northwest-12th-st.html,Bass Pro Shops,#1F8500,Florida
3011533,12051 Bass Pro Dr,Olathe,KS,66061,(913) 254-5200,38.9095905,-94.7774654,https://stores.basspro.com/us/ks/olathe/12051-bass-pro-dr.html,Bass Pro Shops,#1F8500,Kansas
3011550,13012 Bass Pro Dr,Colorado Springs,CO,80921,(719) 488-7300,39.0237098,-104.826538,https://stores.basspro.com/us/co/colorado-springs/13012-bass-pro-dr.html,Bass Pro Shops,#1F8500,Colorado
3986765,1350 Cabela Drive,Sun Prairie,WI,53590,(608) 478-4100,43.1641924,-89.2730906,https://stores.basspro.com/us/wi/sun-prairie/1350-cabela-drive.html,Bass Pro Shops,#1F8500,Wisconsin
3011535,1356 Bass Pro Dr,Manteca,CA,95337,(209) 825-8400,37.7822138,-121.2261057,https://stores.basspro.com/us/ca/manteca/1356-bass-pro-dr.html,Bass Pro Shops,#1F8500,California
3011516,1365 South 5th St,St. Charles,MO,63301,(636) 688-2500,38.7709058,-90.4973354,https://stores.basspro.com/us/mo/st--charles/1365-south-5th-st.html,Bass Pro Shops,#1F8500,Missouri
3011519,14045 Abercorn St,Savannah,GA,31419,(912) 961-4200,31.9834837,-81.1725417,https://stores.basspro.com/us/ga/savannah/14045-abercorn-st.html,Bass Pro Shops,#1F8500,Georgia
3986757,152 Northpoint Parkway,Acworth,GA,30102,(470) 315-7500,34.0816869,-84.6507277,https://stores.basspro.com/us/ga/acworth/152-northpoint-parkway.html,Bass Pro Shops,#1F8500,Georgia
3011505,1579 Clark St Rd,Auburn,NY,13021,(315) 258-2700,42.9299532,-76.6112106,https://stores.basspro.com/us/ny/auburn/1579-clark-st-rd.html,Bass Pro Shops,#1F8500,New York
3011504,175 Bass Pro Blvd,Denham Springs,LA,70726,(225) 271-3100,30.4522647,-90.9613266,https://stores.basspro.com/us/la/denham-springs/175-bass-pro-blvd.html,Bass Pro Shops,#1F8500,Louisiana
3011531,17907 IH-10 West,San Antonio,TX,78257,(210) 253-8800,29.611098,-98.600218,https://stores.basspro.com/us/tx/san-antonio/17907-ih-10-west.html,Bass Pro Shops,#1F8500,Texas
3011528,18001 Bass Pro Dr,Independence,MO,64055,(816) 795-4300,39.0400967,-94.370386,https://stores.basspro.com/us/mo/independence/18001-bass-pro-dr.html,Bass Pro Shops,#1F8500,Missouri
4078866,1880 W Checkered Flag Blvd,Daytona Beach,FL,32114,(386) 281-4300,29.1920035,-81.0725181,https://stores.basspro.com/us/fl/daytona-beach/1880-w-checkered-flag-blvd.html,Bass Pro Shops,#1F8500,Florida
3011511,1972 Power Plant Parkway,Hampton,VA,23666,(757) 262-5200,37.035747,-76.3907182,https://stores.basspro.com/us/va/hampton/1972-power-plant-parkway.html,Bass Pro Shops,#1F8500,Virginia
3011560,2 Commerce Dr,Hooksett,NH,03106,(603) 541-5200,43.0389402,-71.4762461,https://stores.basspro.com/us/nh/hooksett/2-commerce-dr.html,Bass Pro Shops,#1F8500,New Hampshire
3011518,200 Bass Pro Dr,Oklahoma City,OK,73104,(405) 218-5200,35.4633571,-97.5029057,https://stores.basspro.com/us/ok/oklahoma-city/200-bass-pro-dr.html,Bass Pro Shops,#1F8500,Oklahoma
3011564,200 Bass Pro Dr,Round Rock,TX,78665,(512) 876-2700,30.5709917,-97.6894861,https://stores.basspro.com/us/tx/round-rock/200-bass-pro-dr.html,Bass Pro Shops,#1F8500,Texas
25016644,200 Bass Pro Drive,Morgantown,WV,26501,(681) 285-6400,39.6363889,-79.9991667,https://stores.basspro.com/us/wv/morgantown/200-bass-pro-drive.html,Bass Pro Shops,#1F8500,West Virginia
3011507,200 Gulf Stream Way,Dania Beach,FL,33004,(954) 929-7710,26.0578236,-80.1637599,https://stores.basspro.com/us/fl/dania-beach/200-gulf-stream-way.html,Bass Pro Shops,#1F8500,Florida
3011522,20000 Bass Pro Dr,Spanish Fort,AL,36527,(251) 607-5900,30.6579346,-87.9055569,https://stores.basspro.com/us/al/spanish-fort/20000-bass-pro-dr.html,Bass Pro Shops,#1F8500,Alabama
3986764,201 Cabela Drive,Garner,NC,27529,(984) 204-2200,35.6982229,-78.5812552,https://stores.basspro.com/us/nc/garner/201-cabela-drive.html,Bass Pro Shops,#1F8500,North Carolina
3011561,2250 Gatlin Blvd,Port St. Lucie,FL,34953,(772) 785-7600,27.2615983,-80.4191319,https://stores.basspro.com/us/fl/port-st--lucie/2250-gatlin-blvd.html,Bass Pro Shops,#1F8500,Florida
3986738,2300 S Promenade Blvd,Rogers,AR,72758,(479) 616-1925,36.3011043,-94.1757555,https://stores.basspro.com/us/ar/rogers/2300-s-promenade-blvd.html,Bass Pro Shops,#1F8500,Arkansas
1017421690,2390 Niles Cortland Road SE,Niles,OH,44484,(330) 989-7600,41.2113935,-80.7414895,https://stores.basspro.com/us/oh/warren/2390-niles-cortland-road-se.html,Bass Pro Shops,#1F8500,Ohio
3986772,2421 Gulf Fwy S,League City,TX,77573,(346) 231-0200,29.4748562,-95.0999004,https://stores.basspro.com/us/tx/league-city/2421-gulf-fwy-s.html,Bass Pro Shops,#1F8500,Texas
3011509,2501 Bass Pro Dr,Grapevine,TX,76051,(972) 724-2018,32.957495,-97.0435058,https://stores.basspro.com/us/tx/grapevine/2501-bass-pro-dr.html,Bass Pro Shops,#1F8500,Texas
3011543,2553 Rocky Mount Rd,Prattville,AL,36066,(334) 290-6400,32.4626699,-86.3910016,https://stores.basspro.com/us/al/prattville/2553-rocky-mount-rd.html,Bass Pro Shops,#1F8500,Alabama
