theater_name,street,city,state,postal_code,url,latitude,longitude,state_name,brand,updated
AMC CLASSIC Albany 16,2823 Nottingham Way,Albany,GA,31707-4010,https://www.amctheatres.com/movie-theatres/albany-ga/amc-classic-albany-16,31.62187,-84.20607,Georgia,AMC Theaters,2024-03-17
AMC CLASSIC Albuquerque 12,3810 Las Estancias Way SW,Albuquerque,NM,87121,https://www.amctheatres.com/movie-theatres/albuquerque-nm/amc-classic-albuquerque-12,35.024249,-106.712746,New Mexico,AMC Theaters,2024-03-17
AMC Tilghman Square 8,4608 Broadway,Allentown,PA,18104-0000,https://www.amctheatres.com/movie-theatres/allentown/amc-tilghman-square-8,40.587133,-75.5582456,Pennsylvania,AMC Theaters,2024-03-17
AMC CLASSIC Altoona 12,234 Convention Center Drive,Duncansville,PA,16635,https://www.amctheatres.com/movie-theatres/altoona-pa/amc-classic-altoona-12,40.452223,-78.408285,Pennsylvania,AMC Theaters,2024-03-17
AMC North Dekalb 16,2042 Lawrenceville Hwy,Decatur,GA,30033,https://www.amctheatres.com/movie-theatres/atlanta/amc-north-dekalb-16,33.806903,-84.277669,Georgia,AMC Theaters,2024-03-17
AMC Sugarloaf Mills 18,5900 Sugarloaf Parkway,Lawrenceville,GA,30043-0000,https://www.amctheatres.com/movie-theatres/atlanta/amc-sugarloaf-mills-18,33.981351,-84.078528,Georgia,AMC Theaters,2024-03-17
AMC Avenue Forsyth 12,350 Peachtree Pkwy,Cumming,GA,30041,https://www.amctheatres.com/movie-theatres/atlanta/amc-avenue-forsyth-12,34.154757,-84.173975,Georgia,AMC Theaters,2024-03-17
AMC DINE-IN North Point Mall 12,4500 North Point Circle,Alpharetta,GA,30022,https://www.amctheatres.com/movie-theatres/atlanta/amc-dine-in-north-point-mall-12,34.048321,-84.296374,Georgia,AMC Theaters,2024-03-17
AMC Phipps Plaza 14,3500 Peachtree Road N.e.,Atlanta,GA,30326,https://www.amctheatres.com/movie-theatres/atlanta/amc-phipps-plaza-14,33.852954,-84.362683,Georgia,AMC Theaters,2024-03-17
AMC Colonial 18,825 Lawrenceville-suwanee Rd,Lawrenceville,GA,30043-5484,https://www.amctheatres.com/movie-theatres/atlanta/amc-colonial-18,33.9693232208,-84.0189974628,Georgia,AMC Theaters,2024-03-17
AMC Madison Yards 8,975 Memorial Drive,Atlanta,GA,30316,https://www.amctheatres.com/movie-theatres/atlanta/amc-madison-yards-8,33.745322,-84.3591397,Georgia,AMC Theaters,2024-03-17
AMC Southlake 24,7065 Mount Zion Circle,Morrow,GA,30260-0000,https://www.amctheatres.com/movie-theatres/atlanta/amc-southlake-24,33.563531,-84.328914,Georgia,AMC Theaters,2024-03-17
AMC Barrett Commons 24,2600 Cobb Place Lane Nw,Kennesaw,GA,30144-0000,https://www.amctheatres.com/movie-theatres/atlanta/amc-barrett-commons-24,34.015629,-84.571376,Georgia,AMC Theaters,2024-03-17
AMC Parkway Pointe 15,3101 Cobb Pkwy,Atlanta,GA,30339-3497,https://www.amctheatres.com/movie-theatres/atlanta/amc-parkway-pointe-15,33.87901129,-84.45605292,Georgia,AMC Theaters,2024-03-17
AMC Camp Creek 14,3760 Princeton Lakes Pkwy.,Atlanta,GA,30331,https://www.amctheatres.com/movie-theatres/atlanta/amc-camp-creek-14,33.6579,-84.510653,Georgia,AMC Theaters,2024-03-17
AMC CLASSIC Riverstone 15,5 Reinhardt College Pkwy,Canton,GA,30114,https://www.amctheatres.com/movie-theatres/atlanta/amc-classic-riverstone-15,34.250054,-84.480315,Georgia,AMC Theaters,2024-03-17
AMC CLASSIC Cartersville 12,1129 North Tennessee St.,Cartersville,GA,30120,https://www.amctheatres.com/movie-theatres/atlanta/amc-classic-cartersville-12,34.194464,-84.796075,Georgia,AMC Theaters,2024-03-17
AMC Conyers Crossing 16,1536 Dogwood Dr Se,Conyers,GA,30013-5041,https://www.amctheatres.com/movie-theatres/atlanta/amc-conyers-crossing-16,33.649036,-83.994619,Georgia,AMC Theaters,2024-03-17
AMC Hiram 14,185 Metromont Rd,Hiram,GA,30141,https://www.amctheatres.com/movie-theatres/atlanta/amc-hiram-14,33.88383,-84.740113,Georgia,AMC Theaters,2024-03-17
AMC CLASSIC LaGrange 10,201 Main St.,Lagrange,GA,30240,https://www.amctheatres.com/movie-theatres/atlanta/amc-classic-lagrange-10,33.03727,-85.031061,Georgia,AMC Theaters,2024-03-17
AMC CLASSIC Snellville 12,1905 Scenic Hwy N,Snellville,GA,30078,https://www.amctheatres.com/movie-theatres/atlanta/amc-classic-snellville-12,33.877027,-84.014752,Georgia,AMC Theaters,2024-03-17
AMC CLASSIC Bethlehem 12,416 Exchange Blvd,Bethlehem,GA,30620,https://www.amctheatres.com/movie-theatres/atlanta/amc-classic-bethlehem-12,33.942505,-83.739595,Georgia,AMC Theaters,2024-03-17
AMC DINE-IN Webb Gin 11,1210 Scenic Highway,Lawrenceville,GA,30045,https://www.amctheatres.com/movie-theatres/atlanta/amc-dine-in-webb-gin-11,33.903779,-84.004243,Georgia,AMC Theaters,2024-03-17
AMC Lakeline 9,11200 Lakeline Mall Dr,Cedar Park,TX,78613,https://www.amctheatres.com/movie-theatres/austin/amc-lakeline-9,30.470626,-97.807444,Texas,AMC Theaters,2024-03-17
AMC DINE-IN Tech Ridge 10,12625 N Interstate Hwy 35,Austin,TX,78753,https://www.amctheatres.com/movie-theatres/austin/amc-dine-in-tech-ridge-10,30.4091234,-97.6739826,Texas,AMC Theaters,2024-03-17
AMC Barton Creek Square 14,2901 Capital Of Texas Hwy,Austin,TX,78746-0000,https://www.amctheatres.com/movie-theatres/austin/amc-barton-creek-square-14,30.253913,-97.807167,Texas,AMC Theaters,2024-03-17
AMC Bakersfield 6,4200 California Ave,Bakersfield,CA,93309,https://www.amctheatres.com/movie-theatres/bakersfield/amc-bakersfield-6,35.369079,-119.048243,California,AMC Theaters,2024-03-17
AMC Columbia 14,10300 LITTLE PATUXENT PKWY,Columbia,MD,21044-3341,https://www.amctheatres.com/movie-theatres/baltimore/amc-columbia-14,39.217147,-76.863581,Maryland,AMC Theaters,2024-03-17
AMC Annapolis Mall 11,1020 Annapolis Mall Rd,Annapolis,MD,21401,https://www.amctheatres.com/movie-theatres/baltimore/amc-annapolis-mall-11,38.98808,-76.545547,Maryland,AMC Theaters,2024-03-17
AMC Owings Mills 17,10100 Mill Run Circle,Owings Mills,MD,21117-4228,https://www.amctheatres.com/movie-theatres/baltimore/amc-owings-mills-17,39.405019,-76.78841,Maryland,AMC Theaters,2024-03-17
AMC Security Square 8,1717 N ROLLING RD,Baltimore,MD,21244-2409,https://www.amctheatres.com/movie-theatres/baltimore/amc-security-square-8,39.308765,-76.753199,Maryland,AMC Theaters,2024-03-17
AMC White Marsh 16,8141 Honeygo Blvd.,Baltimore,MD,21236,https://www.amctheatres.com/movie-theatres/baltimore/amc-white-marsh-16,39.37088493,-76.46462907,Maryland,AMC Theaters,2024-03-17
AMC CLASSIC Churchville 7,2408 Churchville Rd,Bel Air,MD,21015-1721,https://www.amctheatres.com/movie-theatres/baltimore/amc-classic-churchville-7,39.555453,-76.272181,Maryland,AMC Theaters,2024-03-17
AMC Baton Rouge 16,16040 Hatteras Avenue,Baton Rouge,LA,70816,https://www.amctheatres.com/movie-theatres/baton-rouge/amc-baton-rouge-16,30.44032,-91.0101,Louisiana,AMC Theaters,2024-03-17
AMC Mall of Louisiana 15,9168 Mall Of Louisiana Blvd,Baton Rouge,LA,70836,https://www.amctheatres.com/movie-theatres/baton-rouge/amc-mall-of-louisiana-15,30.38616,-91.0845,Louisiana,AMC Theaters,2024-03-17
AMC CLASSIC Shiloh 14,1001 Shiloh Crossing Blvd.,Billings,MT,59102,https://www.amctheatres.com/movie-theatres/billings-mt/amc-classic-shiloh-14,45.751351,-108.613635,Montana,AMC Theaters,2024-03-17
AMC CLASSIC Billings 10,2456 Central Ave,Billings,MT,59102,https://www.amctheatres.com/movie-theatres/billings-mt/amc-classic-billings-10,45.769877,-108.578573,Montana,AMC Theaters,2024-03-17
