theater_name,street,city,state,postal_code,url,latitude,longitude,state_name,brand,updated
AMC Vestal Town Square 9,2425 Vestal Parkway,Vestal,NY,13850,https://www.amctheatres.com/movie-theatres/binghamton/amc-vestal-town-square-9,42.097473751,-76.0105840879,New York,AMC Theaters,2024-03-17
AMC Summit 16,321 Summit Blvd,Birmingham,AL,35243,https://www.amctheatres.com/movie-theatres/birmingham-al/amc-summit-16,33.451647,-86.730541,Alabama,AMC Theaters,2024-03-17
AMC CLASSIC Lee Branch 15,801 Doug Baker Blvd.,Birmingham,AL,35242,https://www.amctheatres.com/movie-theatres/birmingham-al/amc-classic-lee-branch-15,33.405672,-86.666926,Alabama,AMC Theaters,2024-03-17
AMC Patton Creek 15,4450 Creekside Road,Birmingham,AL,35244,https://www.amctheatres.com/movie-theatres/birmingham-al/amc-patton-creek-15,33.372675,-86.81458,Alabama,AMC Theaters,2024-03-17
AMC DINE-IN Vestavia Hills 10,1911 Kentucky Ave,Vestavia Hills,AL,35216,https://www.amctheatres.com/movie-theatres/birmingham-al/amc-dine-in-vestavia-hills-10,33.446576,-86.793238,Alabama,AMC Theaters,2024-03-17
AMC CLASSIC Marktplatz 10,1950 Marketplatz Center Southwest,Cullman,AL,35055,https://www.amctheatres.com/movie-theatres/birmingham-al/amc-classic-marktplatz-10,34.148951,-86.840009,Alabama,AMC Theaters,2024-03-17
AMC CLASSIC Normal 14,201 McKnight Street,Normal,IL,61761,https://www.amctheatres.com/movie-theatres/bloomington-il/amc-classic-normal-14,40.537583,-88.98961,Illinois,AMC Theaters,2024-03-17
AMC CLASSIC Bloomington 12,2929 W 3rd St,Bloomington,IN,47404,https://www.amctheatres.com/movie-theatres/bloomington-in/amc-classic-bloomington-12,39.164494,-86.572925,Indiana,AMC Theaters,2024-03-17
AMC CLASSIC Columbus 12,555 Creekview Ct,Columbus,IN,47201,https://www.amctheatres.com/movie-theatres/bloomington-in/amc-classic-columbus-12,39.204568,-85.883555,Indiana,AMC Theaters,2024-03-17
AMC Causeway 13,60 Causeway St,Boston,MA,02114,https://www.amctheatres.com/movie-theatres/boston/amc-causeway-13,42.365208,-71.06217,Massachusetts,AMC Theaters,2024-03-17
AMC Assembly Row 12,395 Artisan Way,Somerville,MA,02145,https://www.amctheatres.com/movie-theatres/boston/amc-assembly-row-12,42.39446,-71.07914,Massachusetts,AMC Theaters,2024-03-17
AMC South Bay Center 12,25 District Avenue,Dorchester,MA,02125,https://www.amctheatres.com/movie-theatres/boston/amc-south-bay-center-12,42.3251585,-71.0630502,Massachusetts,AMC Theaters,2024-03-17
AMC DINE-IN Framingham 16,22 Flutie Pass,Framingham,MA,01701,https://www.amctheatres.com/movie-theatres/boston/amc-dine-in-framingham-16,42.30301,-71.390665,Massachusetts,AMC Theaters,2024-03-17
AMC Tyngsboro 12,440 Middlesex Road,Tyngsboro,MA,01879-1070,https://www.amctheatres.com/movie-theatres/boston/amc-tyngsboro-12,42.6966269334,-71.4432441072,Massachusetts,AMC Theaters,2024-03-17
AMC Braintree 10,121 Grandview Road,Braintree,MA,02184,https://www.amctheatres.com/movie-theatres/boston/amc-braintree-10,42.21832744,-71.03297485,Massachusetts,AMC Theaters,2024-03-17
AMC Burlington Cinema 10,20 South Avenue,Burlington,MA,01803-4904,https://www.amctheatres.com/movie-theatres/boston/amc-burlington-cinema-10,42.480052,-71.219196,Massachusetts,AMC Theaters,2024-03-17
AMC Dartmouth Mall 11,140 North Dartmouth Mall,North Dartmouth,MA,02747-4257,https://www.amctheatres.com/movie-theatres/boston/amc-dartmouth-mall-11,41.639449,-70.986361,Massachusetts,AMC Theaters,2024-03-17
AMC Boston Common 19,175 Tremont St,Boston,MA,02111,https://www.amctheatres.com/movie-theatres/boston/amc-boston-common-19,42.353212,-71.06417,Massachusetts,AMC Theaters,2024-03-17
AMC Methuen 20,90 Pleasant Valley Street,Methuen,MA,01844,https://www.amctheatres.com/movie-theatres/boston/amc-methuen-20,42.742892,-71.154267,Massachusetts,AMC Theaters,2024-03-17
AMC Liberty Tree Mall 20,100 Independence Way,Danvers,MA,01923,https://www.amctheatres.com/movie-theatres/boston/amc-liberty-tree-mall-20,42.551452,-70.939858,Massachusetts,AMC Theaters,2024-03-17
AMC CLASSIC Londonderry 10,16 Orchard View Drive,Londonderry,NH,03053-3366,https://www.amctheatres.com/movie-theatres/boston/amc-classic-londonderry-10,42.862705,-71.351837,New Hampshire,AMC Theaters,2024-03-17
AMC Brick Plaza 10,3 Brick Plaza,Brick,NJ,08723,https://www.amctheatres.com/movie-theatres/brick/amc-brick-plaza-10,40.058378,-74.141137,New Jersey,AMC Theaters,2024-03-17
AMC DINE-IN Bridgewater 7,400 Commons Way Ste 380,Bridgewater,NJ,08807-2840,https://www.amctheatres.com/movie-theatres/bridgewater/amc-dine-in-bridgewater-7,40.586458,-74.618213,New Jersey,AMC Theaters,2024-03-17
AMC CLASSIC Rio Grande 10,4586 E US Hwy 83,Rio Grande City,TX,78582,https://www.amctheatres.com/movie-theatres/brownsville/amc-classic-rio-grande-10,26.363669,-98.792045,Texas,AMC Theaters,2024-03-17
AMC Edinburg 18,3003 Us 281 Bus,Edinburg,TX,78539,https://www.amctheatres.com/movie-theatres/brownsville/amc-edinburg-18,26.273072,-98.156224,Texas,AMC Theaters,2024-03-17
AMC Maple Ridge 8,4276 Maple Road,Amherst,NY,14226-0000,https://www.amctheatres.com/movie-theatres/buffalo/amc-maple-ridge-8,42.993142,-78.804652,New York,AMC Theaters,2024-03-17
AMC Market Arcade 8,639 Main Street,Buffalo,NY,14203,https://www.amctheatres.com/movie-theatres/buffalo/amc-market-arcade-8,42.89116,-78.87198,New York,AMC Theaters,2024-03-17
AMC Allegany 8,1875 Cinema Dr,Allegany,NY,14760,https://www.amctheatres.com/movie-theatres/buffalo/amc-allegany-8,42.080609,-78.465896,New York,AMC Theaters,2024-03-17
AMC University Place 8,1370 E Main St,Carbondale,IL,62901,https://www.amctheatres.com/movie-theatres/carbondale/amc-university-place-8,37.736351,-89.188943,Illinois,AMC Theaters,2024-03-17
AMC CLASSIC Illinois Centre 8,3107 Civic Circle Blvd,Marion,IL,62959,https://www.amctheatres.com/movie-theatres/carbondale/amc-classic-illinois-centre-8,37.7507376696,-88.9791707613,Illinois,AMC Theaters,2024-03-17
AMC Northlake 14,7325 Northlake Mall Drive,Charlotte,NC,28216-0000,https://www.amctheatres.com/movie-theatres/charlotte/amc-northlake-14,35.353522,-80.850328,North Carolina,AMC Theaters,2024-03-17
AMC Carolina Pavilion 22,9541 South Boulevard,Charlotte,NC,28273-0000,https://www.amctheatres.com/movie-theatres/charlotte/amc-carolina-pavilion-22,35.1083680321,-80.8751205548,North Carolina,AMC Theaters,2024-03-17
AMC Concord Mills 24,8421 Concord Mills Blvd.,Concord,NC,28027-6461,https://www.amctheatres.com/movie-theatres/charlotte/amc-concord-mills-24,35.370589,-80.726156,North Carolina,AMC Theaters,2024-03-17
AMC Park Terrace 6,4289 Park Rd,Charlotte,NC,28209,https://www.amctheatres.com/movie-theatres/charlotte/amc-park-terrace-6,35.172911,-80.850086,North Carolina,AMC Theaters,2024-03-17
AMC Hickory 15,2000 Catawba Valley Blvd Se,Hickory,NC,28602-4149,https://www.amctheatres.com/movie-theatres/charlotte/amc-hickory-15,35.69958,-81.30369,North Carolina,AMC Theaters,2024-03-17
AMC CLASSIC Shelby 10,2002 E Dixon Blvd,Shelby,NC,28152,https://www.amctheatres.com/movie-theatres/charlotte/amc-classic-shelby-10,35.269501,-81.482769,North Carolina,AMC Theaters,2024-03-17
AMC CLASSIC Walnut Square 12,875 Walnut Square Boulevard,Dalton,GA,30721,https://www.amctheatres.com/movie-theatres/chattanooga-tn/amc-classic-walnut-square-12,34.761692,-84.933138,Georgia,AMC Theaters,2024-03-17
AMC CLASSIC Battlefield 10,1100 Battlefield Pkwy,Fort Oglethorpe,GA,30742,https://www.amctheatres.com/movie-theatres/chattanooga-tn/amc-classic-battlefield-10,34.952871,-85.246349,Georgia,AMC Theaters,2024-03-17
AMC Chattanooga 18,5080 South Ter,Chattanooga,TN,37412,https://www.amctheatres.com/movie-theatres/chattanooga-tn/amc-chattanooga-18,35.00274,-85.223705,Tennessee,AMC Theaters,2024-03-17
AMC CLASSIC Majestic 12,311 Broad St,Chattanooga,TN,37402,https://www.amctheatres.com/movie-theatres/chattanooga-tn/amc-classic-majestic-12,35.0527,-85.31115,Tennessee,AMC Theaters,2024-03-17
AMC CLASSIC Bradley Square 12,200 Paul Huff Park,Cleveland,TN,37312,https://www.amctheatres.com/movie-theatres/chattanooga-tn/amc-classic-bradley-square-12,35.206347,-84.847873,Tennessee,AMC Theaters,2024-03-17
AMC CLASSIC Northgate 14,310 Northgate Mall Drive,Hixson,TN,37343,https://www.amctheatres.com/movie-theatres/chattanooga-tn/amc-classic-northgate-14,35.129433,-85.237275,Tennessee,AMC Theaters,2024-03-17
AMC Randhurst 12,200 Randhurst Village Drive,Mt Prospect,IL,60056-1297,https://www.amctheatres.com/movie-theatres/chicago/amc-randhurst-12,42.0855554231,-87.9315537751,Illinois,AMC Theaters,2024-03-17
"AMC River East 21, Featuring Heated AMC Signature Recliners",322 East Illinois Street,Chicago,IL,60611,https://www.amctheatres.com/movie-theatres/chicago/amc-river-east-21,41.891061,-87.619032,Illinois,AMC Theaters,2024-03-17
AMC Norridge 6,4520 N. Harlem Avenue,Norridge,IL,60706,https://www.amctheatres.com/movie-theatres/chicago/amc-norridge-6,41.9622154,-87.8095247,Illinois,AMC Theaters,2024-03-17
AMC DINE-IN Block 37,108 N. State Street,Chicago,IL,60602,https://www.amctheatres.com/movie-theatres/chicago/amc-dine-in-block-37,41.883403,-87.627984,Illinois,AMC Theaters,2024-03-17
AMC South Barrington 24,175 Studio Drive,South Barrington,IL,60010,https://www.amctheatres.com/movie-theatres/chicago/amc-south-barrington-24,42.070436,-88.148578,Illinois,AMC Theaters,2024-03-17
AMC Evanston 12,1715 Maple Ave,Evanston,IL,60201,https://www.amctheatres.com/movie-theatres/chicago/amc-evanston-12,42.048991,-87.684317,Illinois,AMC Theaters,2024-03-17
AMC Oakbrook Center 4,300 Oakbrook Center,Oak Brook,IL,60523,https://www.amctheatres.com/movie-theatres/chicago/amc-oakbrook-center-4,41.850415,-87.952809,Illinois,AMC Theaters,2024-03-17
AMC Oakbrook Center 12,600 Oakbrook Center,Oak Brook,IL,60523,https://www.amctheatres.com/movie-theatres/chicago/amc-oakbrook-center-12,41.852667,-87.953032,Illinois,AMC Theaters,2024-03-17
AMC NEWCITY 14,1500 North Clybourn,Chicago,IL,60610,https://www.amctheatres.com/movie-theatres/chicago/amc-newcity-14,41.908236,-87.646738,Illinois,AMC Theaters,2024-03-17
AMC DINE-IN Yorktown 18,80 Yorktown Shopping Center,Lombard,IL,60148,https://www.amctheatres.com/movie-theatres/chicago/amc-dine-in-yorktown-18,41.842767,-88.005286,Illinois,AMC Theaters,2024-03-17
AMC Ford City 14,7601 South Cicero Ave,Chicago,IL,60652,https://www.amctheatres.com/movie-theatres/chicago/amc-ford-city-14,41.758241,-87.740774,Illinois,AMC Theaters,2024-03-17
AMC DINE-IN Northbrook 14,1525 Lake Cook Road,Northbrook,IL,60062-1441,https://www.amctheatres.com/movie-theatres/chicago/amc-dine-in-northbrook-14,42.1495625124,-87.8168285179,Illinois,AMC Theaters,2024-03-17
AMC Crestwood 18,13221 Rivercrest Drive,Crestwood,IL,60418,https://www.amctheatres.com/movie-theatres/chicago/amc-crestwood-18,41.6516111407,-87.7442271839,Illinois,AMC Theaters,2024-03-17
AMC Chicago Ridge 6,500 Chicago Ridge Mall,Chicago Ridge,IL,60415,https://www.amctheatres.com/movie-theatres/chicago/amc-chicago-ridge-6,41.719489,-87.782532,Illinois,AMC Theaters,2024-03-17
AMC DINE-IN 600 North Michigan 9,600 North Michigan,Chicago,IL,60611-0000,https://www.amctheatres.com/movie-theatres/chicago/amc-dine-in-600-north-michigan-9,41.892764,-87.624475,Illinois,AMC Theaters,2024-03-17
AMC Quarry Cinemas 14,9201 63rd Street,Hodgkins,IL,60525,https://www.amctheatres.com/movie-theatres/chicago/amc-quarry-cinemas-14,41.776401,-87.859597,Illinois,AMC Theaters,2024-03-17
AMC Streets of Woodfield 20,601 N. Martingale Rd,Schaumburg,IL,60173,https://www.amctheatres.com/movie-theatres/chicago/amc-streets-of-woodfield-20,42.039817,-88.033775,Illinois,AMC Theaters,2024-03-17
AMC Market Square 10,2160 Sycamore Rd,Dekalb,IL,60115-2045,https://www.amctheatres.com/movie-theatres/chicago/amc-market-square-10,41.947486,-88.720969,Illinois,AMC Theaters,2024-03-17
AMC CLASSIC Morris 10,515 Gore Rd,Morris,IL,60450-9380,https://www.amctheatres.com/movie-theatres/chicago/amc-classic-morris-10,41.38623,-88.42906,Illinois,AMC Theaters,2024-03-17
AMC Peru Mall 8,3940 State Route 51,Peru,IL,61354-1054,https://www.amctheatres.com/movie-theatres/chicago/amc-peru-mall-8,41.357467,-89.125393,Illinois,AMC Theaters,2024-03-17
AMC DINE-IN Rosemont 12,9701 Bryn Mawr Ave,Rosemont,IL,60018,https://www.amctheatres.com/movie-theatres/chicago/amc-dine-in-rosemont-12,41.980039,-87.86781,Illinois,AMC Theaters,2024-03-17
AMC Galewood Crossings 14,5530 W Homer St,Chicago,IL,60639,https://www.amctheatres.com/movie-theatres/chicago/amc-galewood-crossings-14,41.9156747848,-87.7644208181,Illinois,AMC Theaters,2024-03-17
"AMC Cicero 14, Guests under 18 must be accompanied by an adult 21 or older for movies starting at 4pm or later.",4779 W Cermak Rd,Cicero,IL,60804,https://www.amctheatres.com/movie-theatres/chicago/amc-cicero-14,41.849012,-87.742815,Illinois,AMC Theaters,2024-03-17
AMC Lake In The Hills 12,311 N Randall Rd,Lake In The Hills,IL,60156,https://www.amctheatres.com/movie-theatres/chicago/amc-lake-in-the-hills-12,42.179978501,-88.33347666,Illinois,AMC Theaters,2024-03-17
AMC Naperville 16,2815 Show Place Dr,Naperville,IL,60564,https://www.amctheatres.com/movie-theatres/chicago/amc-naperville-16,41.712962,-88.208925,Illinois,AMC Theaters,2024-03-17
AMC New Lenox 14,1320 W Maple St,New Lenox,IL,60451,https://www.amctheatres.com/movie-theatres/chicago/amc-new-lenox-14,41.516403,-87.991115,Illinois,AMC Theaters,2024-03-17
AMC Niles 12,301 Golf Mill Ctr,Niles,IL,60714,https://www.amctheatres.com/movie-theatres/chicago/amc-niles-12,42.0497760041,-87.8388037606,Illinois,AMC Theaters,2024-03-17
AMC Village Crossing 18,7000 Carpenter Rd,Skokie,IL,60077,https://www.amctheatres.com/movie-theatres/chicago/amc-village-crossing-18,42.008586,-87.761678,Illinois,AMC Theaters,2024-03-17
AMC West Chester 18,9415 Civic Center Blvd,West Chester,OH,45069,https://www.amctheatres.com/movie-theatres/cincinnati/amc-west-chester-18,39.319284,-84.420903,Ohio,AMC Theaters,2024-03-17
AMC Newport On The Levee 20,One Levee Way,Newport,KY,41071,https://www.amctheatres.com/movie-theatres/cincinnati/amc-newport-on-the-levee-20,39.094932,-84.495646,Kentucky,AMC Theaters,2024-03-17
AMC DINE-IN Anderson Towne Center 9,7490 Beechmont Ave,Anderson Township,OH,45255,https://www.amctheatres.com/movie-theatres/cincinnati/amc-dine-in-anderson-towne-center-9,39.076777,-84.349841,Ohio,AMC Theaters,2024-03-17
AMC CLASSIC Hamilton 8,1453 Main St,Hamilton,OH,45013,https://www.amctheatres.com/movie-theatres/cincinnati/amc-classic-hamilton-8,39.423917404,-84.5962528823,Ohio,AMC Theaters,2024-03-17
AMC Ridge Park Square 8,4788 Ridge Road,Brooklyn,OH,44144-3327,https://www.amctheatres.com/movie-theatres/cleveland/amc-ridge-park-square-8,41.426265,-81.73693,Ohio,AMC Theaters,2024-03-17
AMC Westwood Town Center 6,21653 Center Ridge Road,Rocky River,OH,44116-3917,https://www.amctheatres.com/movie-theatres/cleveland/amc-westwood-town-center-6,41.458158,-81.859832,Ohio,AMC Theaters,2024-03-17
AMC Clifton Commons 16,405 Route 3,Clifton,NJ,07014-1911,https://www.amctheatres.com/movie-theatres/clifton/amc-clifton-commons-16,40.82875767,-74.14042854,New Jersey,AMC Theaters,2024-03-17
AMC Chapel Hills 13,1710 Briargate Blvd,Colorado Springs,CO,80920,https://www.amctheatres.com/movie-theatres/colorado-springs-co/amc-chapel-hills-13,38.945129,-104.796512,Colorado,AMC Theaters,2024-03-17
AMC Harbison 14,122 Afton Ct,Columbia,SC,29212,https://www.amctheatres.com/movie-theatres/columbia/amc-harbison-14,34.075817,-81.161134,South Carolina,AMC Theaters,2024-03-17
AMC Dublin Village 18,6700 Village Parkway,Dublin,OH,43017-2073,https://www.amctheatres.com/movie-theatres/columbus/amc-dublin-village-18,40.105452,-83.097496,Ohio,AMC Theaters,2024-03-17
AMC Indian Mound 9,771 South 30th St,Heath,OH,43056,https://www.amctheatres.com/movie-theatres/columbus/amc-indian-mound-9,40.031569,-82.44788,Ohio,AMC Theaters,2024-03-17
AMC DINE-IN Easton Town Center 30,275 Easton Town Center,Columbus,OH,43219,https://www.amctheatres.com/movie-theatres/columbus/amc-dine-in-easton-town-center-30,40.051538,-82.915338,Ohio,AMC Theaters,2024-03-17
AMC Grove City 14,4218 Buckeye Parkway,Grove City,OH,43123,https://www.amctheatres.com/movie-theatres/columbus/amc-grove-city-14,39.873401,-83.037393,Ohio,AMC Theaters,2024-03-17
AMC Columbus 10,5275 Westpointe Plaza Drive,Columbus,OH,43228,https://www.amctheatres.com/movie-theatres/columbus/amc-columbus-10,39.982674,-83.148869,Ohio,AMC Theaters,2024-03-17
"AMC CLASSIC Auburn 14, Located across from the Auburn Mall.",2111 E. University Drive,Auburn,AL,36830,https://www.amctheatres.com/movie-theatres/columbus-ga/amc-classic-auburn-14,32.627284,-85.451553,Alabama,AMC Theaters,2024-03-17
"AMC CLASSIC Tiger 13, Located off of Exit 58, near the Tiger Town Shopping Center",1900 Capps Landing,Opelika,AL,36804,https://www.amctheatres.com/movie-theatres/columbus-ga/amc-classic-tiger-13,32.612052,-85.391194,Alabama,AMC Theaters,2024-03-17
AMC CLASSIC Columbus Park 15,5556 Whittlesey Blvd,Columbus,GA,31909,https://www.amctheatres.com/movie-theatres/columbus-ga/amc-classic-columbus-park-15,32.548624,-84.941792,Georgia,AMC Theaters,2024-03-17
AMC CLASSIC Ritz 13,1683 Whittlesey Rd,Columbus,GA,31904,https://www.amctheatres.com/movie-theatres/columbus-ga/amc-classic-ritz-13,32.539679,-84.96909,Georgia,AMC Theaters,2024-03-17
AMC Corpus Christi 16,5218 Silverberry,Corpus Christi,TX,78417,https://www.amctheatres.com/movie-theatres/corpus-christi/amc-corpus-christi-16,27.736667,-97.436044,Texas,AMC Theaters,2024-03-17
AMC The Parks At Arlington 18,3861 South Cooper Street,Arlington,TX,76015,https://www.amctheatres.com/movie-theatres/dallas-ft-worth/amc-the-parks-at-arlington-18,32.683147,-97.13304,Texas,AMC Theaters,2024-03-17
AMC NorthPark 15,8687 N Central Expy,Dallas,TX,75225-0000,https://www.amctheatres.com/movie-theatres/dallas-ft-worth/amc-northpark-15,32.868072,-96.775534,Texas,AMC Theaters,2024-03-17
AMC Highland Village 12,4090 Barton Creek,Highland Village,TX,75077,https://www.amctheatres.com/movie-theatres/dallas-ft-worth/amc-highland-village-12,33.07206,-97.083503,Texas,AMC Theaters,2024-03-17
AMC Village On The Parkway 9,5100 Belt Line Rd,Addison,TX,75254,https://www.amctheatres.com/movie-theatres/dallas-ft-worth/amc-village-on-the-parkway-9,32.951147,-96.819066,Texas,AMC Theaters,2024-03-17
