location_name,street,city,state,zip,latitude,longitude,url,state_name,brand,updated
Las Vegas #701,1955 N. Nellis Blvd.,Las Vegas,NV,89115,36.19496671,-115.06364465,https://superiorgrocers.com/location/lv-nellis,Nevada,Supreme Grocers,2024-03-31
Bakersfield #134,2100 White Ln.,Bakersfield,CA,93304,35.317725,-119.026632,https://superiorgrocers.com/location/bakersfield,California,Supreme Grocers,2024-03-31
Bakersfield #147,1115 Union Ave,Bakersfield,CA,93304,35.366892,-119.003561,https://superiorgrocers.com/location/bakersfield-union-ave,California,Supreme Grocers,2024-03-31
Baldwin Park #128,14433 Ramona Blvd.,Baldwin Park,CA,91706,34.088487,-117.958922,https://superiorgrocers.com/location/baldwin-park,California,Supreme Grocers,2024-03-31
Bellflower #140,16100 Lakewood Blvd,Bellflower,CA,90706,33.888283,-118.142638,https://superiorgrocers.com/location/bellflower,California,Supreme Grocers,2024-03-31
Carson #313,129 E. Lomita Blvd.,Carson,CA,90745,33.79875,-118.27395,https://superiorgrocers.com/location/carson,California,Supreme Grocers,2024-03-31
City of Industry #114,151 S. Hacienda Blvd.,City of Industry,CA,91744,34.021226,-117.959425,https://superiorgrocers.com/location/city-of-industry,California,Supreme Grocers,2024-03-31
Compton #112,111 E. Compton Blvd.,Compton,CA,90220,33.897131,-118.22395,https://superiorgrocers.com/location/compton,California,Supreme Grocers,2024-03-31
Covina #115,1375 N. Citrus Ave.,Covina,CA,91722,34.105322,-117.890251,https://superiorgrocers.com/location/covina,California,Supreme Grocers,2024-03-31
Cudahy #105,7300 Atlantic Ave.,Cudahy,CA,90201,33.968829,-118.187667,https://superiorgrocers.com/location/cudahy,California,Supreme Grocers,2024-03-31
El Monte #145,9900 E. Garvey Ave.,El Monte,CA,91733,34.06262,-118.0521,https://superiorgrocers.com/location/el-monte,California,Supreme Grocers,2024-03-31
El Monte #145,9900 E. Garvey Ave.,El Monte,CA,91733,34.06262,-118.0521,https://superiorgrocers.com/location/el-monte,California,Supreme Grocers,2024-03-31
Gardena #142,15000 Crenshaw Blvd,Gardena,CA,90249,33.894756,-118.32558,https://superiorgrocers.com/location/gardena,California,Supreme Grocers,2024-03-31
Huntington Park #107,6010 Pacific Blvd.,Huntington Park,CA,90255,33.986735,-118.225208,https://superiorgrocers.com/location/huntington-park,California,Supreme Grocers,2024-03-31
Inglewood #123,250 N. La Brea Blvd.,Inglewood,CA,90301,33.96504,-118.35326,https://superiorgrocers.com/location/inglewood,California,Supreme Grocers,2024-03-31
Inglewood #123,250 N. La Brea Blvd.,Inglewood,CA,90301,33.96504,-118.35326,https://superiorgrocers.com/location/inglewood,California,Supreme Grocers,2024-03-31
Lancaster #133,1010 E. Avenue J,Lancaster,CA,93535,34.688427,-118.112633,https://superiorgrocers.com/location/lancaster,California,Supreme Grocers,2024-03-31
Lennox #316,10819 Hawthorne Blvd.,Lennox,CA,90304,33.93753,-118.35328,https://superiorgrocers.com/location/lennox,California,Supreme Grocers,2024-03-31
Long Beach #119,5450 Cherry Ave.,Long Beach,CA,90805,33.855734,-118.16825,https://superiorgrocers.com/location/cherry-ave,California,Supreme Grocers,2024-03-31
Long Beach #117,1033 Long Beach Blvd.,Long Beach,CA,90813,33.77978,-118.18995,https://superiorgrocers.com/location/long-beach,California,Supreme Grocers,2024-03-31
Los Angeles #101,10211 S. Avalon Blvd.,Los Angeles,CA,90003,33.9434167,-118.265397,https://superiorgrocers.com/location/avalon,California,Supreme Grocers,2024-03-31
Los Angeles #129,133 W. Avenue 45,Los Angeles,CA,90065,34.0964919,-118.2070468,https://superiorgrocers.com/location/los-angeles,California,Supreme Grocers,2024-03-31
Los Angeles #113,3600 Cesar E. Chavez Ave.,Los Angeles,CA,90063,34.04024,-118.185834,https://superiorgrocers.com/location/cesar-chavez,California,Supreme Grocers,2024-03-31
Los Angeles #102,7316 S. Compton Ave. ,Los Angeles,CA,90001,33.973639,-118.247677,https://superiorgrocers.com/location/compton-ave,California,Supreme Grocers,2024-03-31
Los Angeles #116,5824 S. Vermont Ave. ,Los Angeles,CA,90044,33.9883693,-118.2896662,https://superiorgrocers.com/location/vermont-ave,California,Supreme Grocers,2024-03-31
Los Angeles #108,8811 S. Western Ave. ,Los Angeles,CA,90047,33.957304,-118.309021,https://superiorgrocers.com/location/western-ave,California,Supreme Grocers,2024-03-31
Los Angeles #135,2000 S. Central Ave. ,Los Angeles,CA,90011,34.022874,-118.251957,https://superiorgrocers.com/location/central-ave,California,Supreme Grocers,2024-03-31
Los Angeles #139,3480 S. La Brea Ave. ,Los Angeles,CA,90016,34.023276,-118.355607,https://superiorgrocers.com/location/la-brea,California,Supreme Grocers,2024-03-31
Los Angeles #201,4040 W. Washington Blvd,Los Angeles,CA,90018,34.03984,-118.32715,https://superiorgrocers.com/location/washington-blvd,California,Supreme Grocers,2024-03-31
Los Angeles #301,701 E. Jefferson Blvd.,Los Angeles,CA,90011,34.01487,-118.26386,https://superiorgrocers.com/location/jefferson-blvd,California,Supreme Grocers,2024-03-31
Los Angeles #302,1309 S. Alvarado St.,Los Angeles,CA,90006,34.04535,-118.28404,https://superiorgrocers.com/location/alvarado,California,Supreme Grocers,2024-03-31
Los Angeles #303,9127 S. Figueroa St.,Los Angeles,CA,90003,33.95397,-118.2828,https://superiorgrocers.com/location/figueroa,California,Supreme Grocers,2024-03-31
Los Angeles #304,310 E. Manchester Ave,Los Angeles,CA,90003,33.96002,-118.26875,https://superiorgrocers.com/location/manchester,California,Supreme Grocers,2024-03-31
Los Angeles #305,2214 S. San Pedro St.,Los Angeles,CA,90011,34.02485,-118.25909,https://superiorgrocers.com/location/san-pedro-st,California,Supreme Grocers,2024-03-31
Los Angeles #307,4710 S. Broadway St.,Los Angeles,CA,90037,33.99992,-118.27822,https://superiorgrocers.com/location/broadway,California,Supreme Grocers,2024-03-31
Los Angeles #308,4373 S. Vermont Ave,Los Angeles,CA,90003,34.00454,-118.29165,https://superiorgrocers.com/location/vermont,California,Supreme Grocers,2024-03-31
Los Angeles #310,1831 W. 3rd St.,Los Angeles,CA,90057,34.06167,-118.26952,https://superiorgrocers.com/location/third-st,California,Supreme Grocers,2024-03-31
Los Angeles #319,4831 Whittier Blvd.,Los Angeles,CA,90022,34.02173,-118.16348,https://superiorgrocers.com/location/whittier,California,Supreme Grocers,2024-03-31
Lynwood #103,9990 Long Beach Blvd.,Lynwood,CA,90262,33.94479,-118.21586,https://superiorgrocers.com/location/lynwood,California,Supreme Grocers,2024-03-31
Lynwood #103,9990 Long Beach Blvd.,Lynwood,CA,90262,33.94479,-118.21586,https://superiorgrocers.com/location/lynwood,California,Supreme Grocers,2024-03-31
Maywood #143,4308 E Slauson Ave,Maywood,CA,90270,33.9871709,-118.1897564,https://superiorgrocers.com/location/maywood,California,Supreme Grocers,2024-03-31
Montebello #106,1201 W. Whittier Blvd.,Montebello,CA,90640,34.010993,-118.112896,https://superiorgrocers.com/location/montebello,California,Supreme Grocers,2024-03-31
North Hollywood #118,6140 Lankershim Blvd. ,North Hollywood,CA,91606,34.183042,-118.385208,https://superiorgrocers.com/location/north-hollywood,California,Supreme Grocers,2024-03-31
Norwalk #318,10951 Rosecrans Ave.,Norwalk,CA,90650,33.90224,-118.10254,https://superiorgrocers.com/location/norwalk,California,Supreme Grocers,2024-03-31
Pacoima #111,9801 Laurel Canyon Blvd.,Pacoima,CA,91331,34.247985,-118.420731,https://superiorgrocers.com/location/pacoima,California,Supreme Grocers,2024-03-31
Pacoima #311,10455 Laurel Canyon Blvd.,Pacoima,CA,91331,34.25944,-118.43296,https://superiorgrocers.com/location/laurel-canyon,California,Supreme Grocers,2024-03-31
Palmdale #137,38360 20th St E.,Palmdale,CA,93550,34.578732,-118.09407,https://superiorgrocers.com/location/palmdale,California,Supreme Grocers,2024-03-31
Pico Rivera #131,9100 Whittier Blvd.,Pico Rivera,CA,90660,34.000642,-118.082408,https://superiorgrocers.com/location/pico-rivera,California,Supreme Grocers,2024-03-31
Pomona #144,3180 North Garey Ave,Pomona,CA,91767,34.10594,-117.748386,https://superiorgrocers.com/location/pomona,California,Supreme Grocers,2024-03-31
San Pedro #306,500 S. Pacific Ave.,San Pedro,CA,90731,33.73928,-118.28779,https://superiorgrocers.com/location/san-pedro-pacific,California,Supreme Grocers,2024-03-31
San Pedro #321,970 W 1st St.,San Pedro,CA,90731,33.74344,-118.29793,https://superiorgrocers.com/location/san-pedro-1st,California,Supreme Grocers,2024-03-31
South El Monte #104,1858 N. Durfee Ave.,South El Monte,CA,91733,34.044143,-118.03179,https://superiorgrocers.com/location/south-el-monte,California,Supreme Grocers,2024-03-31
Torrance #309,1141 W. Carson St.,Torrance,CA,90502,33.83165,-118.29657,https://superiorgrocers.com/location/torrance,California,Supreme Grocers,2024-03-31
Hawthorne #146,12630 Hawthorne Blvd,Hawthorne,CA,90250,33.917455,-118.3503,https://superiorgrocers.com/location/hawthorne,California,Supreme Grocers,2024-03-31
La Mirada #141,12721 Valley View Ave,La Mirada,CA,90638,33.916316,-118.029492,https://superiorgrocers.com/location/la-mirada,California,Supreme Grocers,2024-03-31
Anaheim #317,1086 N. State College Blvd.,Anaheim,CA,92806,33.84829,-117.88911,https://superiorgrocers.com/location/anaheim,California,Supreme Grocers,2024-03-31
Buena Park #136,6931 La Palma Ave.,Buena Park,CA,90620,33.8465151,-118.01304,https://superiorgrocers.com/location/buena-park,California,Supreme Grocers,2024-03-31
Santa Ana #132,2009 W. 1st St.,Santa Ana,CA,92703,33.7454725,-117.8965992,https://superiorgrocers.com/location/santa-ana-1,California,Supreme Grocers,2024-03-31
Santa Ana #110,1720 E. 17th St. ,Santa Ana,CA,92705,33.759928,-117.842715,https://superiorgrocers.com/location/santa-ana-17,California,Supreme Grocers,2024-03-31
Santa Ana #109,1710 S. Main St. ,Santa Ana,CA,92707,33.72467,-117.867831,https://superiorgrocers.com/location/santa-ana,California,Supreme Grocers,2024-03-31
Corona #126,1130 West 6th St. ,Corona,CA,92882,33.87745,-117.585584,https://superiorgrocers.com/location/corona,California,Supreme Grocers,2024-03-31
Moreno Valley #127,23857 Sunnymead Blvd.,Moreno Valley,CA,92553,33.938981,-117.249132,https://superiorgrocers.com/location/moreno-valley,California,Supreme Grocers,2024-03-31
Chino #125,12375 Central Ave.,Chino,CA,91710,34.026319,-117.688042,https://superiorgrocers.com/location/chino,California,Supreme Grocers,2024-03-31
Fontana #122,16055 Foothill Blvd.,Fontana,CA,92335,34.106497,-117.454901,https://superiorgrocers.com/location/fontana,California,Supreme Grocers,2024-03-31
Ontario #120,815 W. Holt Blvd.,Ontario,CA,91762,34.062357,-117.664398,https://superiorgrocers.com/location/ontario,California,Supreme Grocers,2024-03-31
Rialto #121,151 West Base Line Ave.,Rialto,CA,92376,34.120856,-117.37039,https://superiorgrocers.com/location/rialto,California,Supreme Grocers,2024-03-31
San Bernardino #130,1108 West 2nd St.  ,San Bernardino,CA,92410,34.10273,-117.309411,https://superiorgrocers.com/location/san-bernardino,California,Supreme Grocers,2024-03-31
Victorville #148,14668 7th St.,Victorville,CA,92395,34.5184363,-117.3165726,https://superiorgrocers.com/location/victorville,California,Supreme Grocers,2024-03-31
Dinuba #150,2150 E El Monte Way,Dinuba,CA,93618,36.5440044,-119.3714358,https://superiorgrocers.com/location/dinuba,California,Supreme Grocers,2024-03-31
Tulare #151,115 S West St,Tulare,CA,93274,36.2058814,-119.3692313,https://superiorgrocers.com/location/tulare,California,Supreme Grocers,2024-03-31
Oxnard #138,2401 Saviers Road,Oxnard,CA,93033,34.176216,-119.177687,https://superiorgrocers.com/location/oxnard,California,Supreme Grocers,2024-03-31
Oxnard #323,1111 E. Channel Islands Blvd.,Oxnard,CA,93033,34.17346,-119.16528,https://superiorgrocers.com/location/channel-islands,California,Supreme Grocers,2024-03-31
Santa Paula #202,280 East Harvard Blvd.,Santa Paula,CA,93060,34.3470518,-119.0683359,https://superiorgrocers.com/location/santa-paula,California,Supreme Grocers,2024-03-31
