brand,vanityName,storeType,locationId,legalName,facilityName,tz,address,city,name,zip,state,latitude,longitude,state_name
KROGER,Carroll Ave,PI,54900008,Fresh Distribution Services LLC,Kroger,America/Chicago,1419 W Carroll Ave,Chicago,Carroll Ave,60607,IL,41.887167,-87.663917,Illinois
KROGER,Barker Cypress,C,03400352,Kroger Texas LP,Kroger,America/Chicago,18030 FM 529 Rd,Cypress,Barker Cypress,77433,TX,29.881445,-95.68556,Texas
KROGER,Eagle Ranch,C,03400378,Kroger Texas LP,Kroger,America/Chicago,6055 Fry Rd,Katy,Eagle Ranch,77449,TX,29.8600669,-95.7216807,Texas
KROGER,Eldridge Lakes Town Center,C,03400396,Kroger Texas LP,Kroger,America/Chicago,6350 N Eldridge Pkwy,Houston,Eldridge Lakes Town Center,77041,TX,29.8653988,-95.6067981,Texas
KROGER,Easton Commons,C,03400374,Kroger Texas LP,Kroger,America/Chicago,8550 Highway 6 N,Houston,Easton Commons,77095,TX,29.9025308,-95.6317137,Texas
KROGER,Town Lake,M,03400115,Kroger Texas LP,Kroger Marketplace,America/Chicago,9703 Barker Cypress Rd,Cypress,Town Lake,77433,TX,29.9191828,-95.689644,Texas
KROGER,Morton,M,03400122,Kroger Texas LP,Kroger Marketplace,America/Chicago,2700 W Grand Pkwy N,Katy,Morton,77449,TX,29.812571,-95.770157,Texas
KROGER,Briar Forest,C,03400349,Kroger Texas LP,Kroger,America/Chicago,1520 Eldridge Pkwy,Houston,Briar Forest,77077,TX,29.7575194,-95.6273977,Texas
KROGER,Country Place,C,03400161,Kroger Texas LP,Kroger,America/Chicago,14344 Memorial Dr,Houston,Country Place,77079,TX,29.7711949,-95.5992075,Texas
KROGER,Bay Hill,C,03400733,Kroger Texas LP,Kroger,America/Chicago,1550 W Grand Pkwy S,Katy,Bay Hill,77494,TX,29.7580735,-95.7784412,Texas
KROGER,Cinco East,C,03400336,Kroger Texas LP,Kroger,America/Chicago,22150 Westheimer Pkwy,Katy,Cinco East,77450,TX,29.735585,-95.7538029,Texas
KROGER,Great Southwest Pkwy,C,03500817,Kroger Texas LP,Kroger,America/Chicago,2525 W Interstate 20,Grand Prairie,Great Southwest Pkwy,75052,TX,32.673468,-97.0425858,Texas
KROGER,Creekside Plaza,C,03500538,Kroger Texas LP,Kroger,America/Chicago,2350 SE Green Oaks Blvd,Arlington,Creekside Plaza,76018,TX,32.6592425,-97.0660419,Texas
KROGER,Arkansas Lane,C,03500413,Kroger Texas LP,Kroger,America/Chicago,2580 E Arkansas Ln,Arlington,Arkansas Lane,76014,TX,32.704555,-97.064937,Texas
KROGER,Plaza 303,C,03500191,Kroger Texas LP,Kroger,America/Chicago,313 E Pioneer Pkwy,Grand Prairie,Plaza 303,75051,TX,32.7081839,-97.0011089,Texas
KROGER,Cooper,C,03500445,Kroger Texas LP,Kroger,America/Chicago,5330 S Cooper St,Arlington,Cooper,76017,TX,32.6608137,-97.136084,Texas
KROGER,Pioneer Plaza,C,03500851,Kroger Texas LP,Kroger,America/Chicago,2210 S Fielder Rd,Arlington,Pioneer Plaza,76013,TX,32.7078771,-97.1338196,Texas
KROGER,Matlock,C,03500584,Kroger Texas LP,Kroger,America/Chicago,3001 Matlock Rd,Mansfield,Matlock,76063,TX,32.6071632,-97.1181663,Texas
KROGER,Duncanville,C,03500527,Kroger Texas LP,Kroger,America/Chicago,200 W Camp Wisdom Rd,Duncanville,Duncanville,75116,TX,32.6606682,-96.9092398,Texas
KROGER,Cedar Hill,C,03500436,Kroger Texas LP,Kroger,America/Chicago,235 E FM 1382,Cedar Hill,Cedar Hill,75104,TX,32.5984833,-96.9395269,Texas
KROGER,Broad St,M,03500594,Kroger Texas LP,Kroger Marketplace,America/Chicago,3300 E Broad St,Mansfield,Broad St,76063,TX,32.5736961,-97.0834403,Texas
KROGER,Ascension,C,03500435,Kroger Texas LP,Kroger,America/Chicago,2475 Ascension Blvd,Arlington,Ascension,76006,TX,32.77498,-97.081864,Texas
KROGER,Lamar,C,03500543,Kroger Texas LP,Kroger,America/Chicago,945 W Lamar Blvd,Arlington,Lamar,76012,TX,32.7627302,-97.1177483,Texas
KROGER,Ensenada,C,03500688,Kroger Texas LP,Kroger,America/Chicago,301 S Bowen Rd,Arlington,Ensenada,76013,TX,32.7332331,-97.1485804,Texas
KROGER,Arlington Marketplace,M,03500592,Kroger Texas LP,Kroger Marketplace,America/Chicago,5101 W Sublett Rd,Arlington,Arlington Marketplace,76017,TX,32.6487,-97.188804,Texas
KROGER,Green Oaks Village,C,03500695,Kroger Texas LP,Kroger,America/Chicago,5701 W Pleasant Ridge Rd,Arlington,Green Oaks Village,76016,TX,32.6828611,-97.1934749,Texas
KROGER,Clark St,PI,54900005,Fresh Distribution Services LLC,Kroger,America/Chicago,2717 N Clark St,Chicago,Clark St,60614,IL,41.931951,-87.644339,Illinois
KROGER,Cruse Crossing,C,01100440,The Kroger Co.,Kroger,America/New_York,950 Herrington Rd,Lawrenceville,Cruse Crossing,30044,GA,33.94039,-84.0830135,Georgia
KROGER,Five Forks Crossing,C,01100394,The Kroger Co.,Kroger,America/New_York,3050 Five Forks Trickum Rd SW,Lilburn,Five Forks Crossing,30047,GA,33.8844257,-84.0602468,Georgia
KROGER,River Exhange,C,01100374,The Kroger Co.,Kroger,America/New_York,2100 Riverside Pkwy,Lawrenceville,River Exhange,30043,GA,33.965837,-84.033938,Georgia
KROGER,Beaver Ruin Village,C,01100438,The Kroger Co.,Kroger,America/New_York,4155 Lawrenceville Hwy NW,Lilburn,Beaver Ruin Village,30047,GA,33.9047568,-84.1211716,Georgia
KROGER,Presidential Commons,C,01100483,The Kroger Co.,Kroger,America/New_York,1670 Scenic Hwy N,Snellville,Presidential Commons,30078,GA,33.882987,-84.0078343,Georgia
KROGER,Lawrenceville Town Center,C,01100352,The Kroger Co.,Kroger,America/New_York,455 Grayson Hwy,Lawrenceville,Lawrenceville Town Center,30046,GA,33.9386887,-83.9825989,Georgia
KROGER,Sugarloaf Parkway,C,01100476,The Kroger Co.,Kroger,America/New_York,6555 Sugarloaf Pkwy,Duluth,Sugarloaf Parkway,30097,GA,33.9979602,-84.0898735,Georgia
KROGER,Reynolds Crossing,C,01100636,The Kroger Co.,Kroger,America/New_York,3093 Steve Reynolds Blvd,Duluth,Reynolds Crossing,30096,GA,33.960459,-84.1437596,Georgia
KROGER,Dean Taylor Crossing,C,01100477,The Kroger Co.,Kroger,America/New_York,2121 Lawrenceville Suwanee Rd,Suwanee,Dean Taylor Crossing,30024,GA,34.0034773,-84.0382911,Georgia
KROGER,Grayson Commons,C,01100480,The Kroger Co.,Kroger,America/New_York,1911 Grayson Hwy,Grayson,Grayson Commons,30017,GA,33.8971903,-83.961997,Georgia
KROGER,Russell Ridge,C,01100424,The Kroger Co.,Kroger,America/New_York,1475 Buford Dr,Lawrenceville,Russell Ridge,30043,GA,34.0049769,-83.9862692,Georgia
KROGER,Rockbridge Village,C,01100449,The Kroger Co.,Kroger,America/New_York,1227 Rockbridge Rd,Stone Mountain,Rockbridge Village,30087,GA,33.8411557,-84.1329874,Georgia
KROGER,Everson Pointe,C,01100484,The Kroger Co.,Kroger,America/New_York,3035 Scenic Hwy S Ste 19,Snellville,Everson Pointe,30039,GA,33.8249409,-84.0332928,Georgia
KROGER,Mountain Crossing,C,01100457,The Kroger Co.,Kroger,America/New_York,2700 Braselton Hwy,Dacula,Mountain Crossing,30019,GA,34.0515213,-83.9302969,Georgia
KROGER,Dacula,C,01100635,The Kroger Co.,Kroger,America/New_York,505 Dacula Rd,Dacula,Dacula,30019,GA,34.0012709,-83.9058238,Georgia
KROGER,Suwanee,C,01100426,The Kroger Co.,Kroger,America/New_York,400 Peachtree Industrial Blvd,Suwanee,Suwanee,30024,GA,34.06363,-84.0725,Georgia
KROGER,Hamilton Ridge,C,01100494,The Kroger Co.,Kroger,America/New_York,3300 Hamilton Mill Rd,Buford,Hamilton Ridge,30519,GA,34.0932104,-83.9375302,Georgia
KROGER,Sugar Hill,C,01100687,The Kroger Co.,Kroger,America/New_York,6001 Cumming Hwy,Sugar Hill,Sugar Hill,30518,GA,34.1220058,-84.0766676,Georgia
