store_name,street,city,state,zip,phone,longitude,latitude,province,timezone,temp_closed,reopen_date,store_open_date,coming_soon,start_date,end_date,hybrid_stores,temporarily_closed,state_name,brand,updated
FAMILY DOLLAR #13714,1600 Crescent Ridge Rd Ne,Tuscaloosa,AL,35404,659-215-5440,-87.481775,33.233469,,America/Chicago,N,,10/28/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #639,524 14th St,Tuscaloosa,AL,35401-3434,659-215-5158,-87.54454,33.200698,,America/Chicago,N,,05/19/1983 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12679,1525 Skyland Blvd East,Tuscaloosa,AL,35405-4231,205-561-0446,-87.517845,33.167774,,America/Chicago,N,,02/11/2021 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #11726,3851 Greensboro Avenue,Tuscaloosa,AL,35405-2846,205-771-6110,-87.54630534,33.1730181,,America/Chicago,N,,03/23/2017 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10460,2515 Martin Luther King Jr Blv,Tuscaloosa,AL,35401,205-861-0762,-87.576921,33.189211,,America/Chicago,N,,12/04/2013 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #3812,1507 Culver Rd,Tuscaloosa,AL,35401-2632,659-261-2321,-87.589628,33.199822,,America/Chicago,N,,07/22/1999 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12925,15322 Highway 11 N.,Coaling,AL,35453,659-215-5789,-87.34288,33.170986,,America/Chicago,N,,07/02/2022 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13818,13949 Bartow Lake Blvd,Duncanville,AL,35456,659-268-1017,-87.457541,33.089217,,America/Chicago,N,,02/23/2024 00:00:00,N,3/14/24,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12825,15704 Al Highway 216,Brookwood,AL,35444,659-215-5942,-87.328896,33.25485,,America/Chicago,N,,01/09/2022 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #8919,40278 Hwy 69s,Moundville,AL,35474,205-761-4121,-87.622632,32.997635,,America/Chicago,N,,11/29/2012 00:00:00,N,2021-09-05T23:59:59,2021-09-16T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13472,25149 Highway 82,Gordo,AL,35466-0000,659-734-6482,-87.900382,33.315179,,America/Chicago,N,,04/20/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10696,430 4th Avenue N,Bessemer,AL,35020-6229,205-584-6836,-86.96756229,33.38772569,,America/Chicago,N,,05/29/2014 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13212,401 1st Ave W,Reform,AL,35481-0000,659-734-6088,-88.01269,33.377754,,America/Chicago,N,,09/23/2022 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12505,206 Greensboro Street,Eutaw,AL,35462,205-336-1325,-87.88463,32.838943,,America/Chicago,N,,03/26/2020 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10109,4341 Bessemer Super Highway,Bessemer,AL,35020-2414,659-255-7881,-86.93786563,33.43400228,,America/Chicago,N,,12/12/2013 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #11904,1095 Tuscaloosa Street,Greensboro,AL,36744-1575,334-218-0304,-87.59498662,32.70508549,,America/Chicago,N,,10/12/2017 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #945,639 Bessemer Super Hwy,Midfield,AL,35228-3003,205-434-9210,-86.926614,33.450044,,America/Chicago,N,,11/21/1985 00:00:00,N,2021-10-10T23:59:59,2021-10-21T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #4019,30 Phillips Dr,Birmingham,AL,35228-2233,659-268-0540,-86.90872681,33.46328385,,America/Chicago,N,,05/11/2000 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #622,313 36th St,Fairfield,AL,35064-1401,631-320-5350,-86.910622,33.49883,,America/Chicago,N,,02/24/1983 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #6698,1355 Bessemer Rd,Birmingham,AL,35208-4325,659-262-5837,-86.893666,33.48107,,America/Chicago,N,,02/24/2005 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #9278,3124 Alemeda Avenue Sw,Birmingham,AL,35221-1100,659-262-5037,-86.88436198,33.47011735,,America/Chicago,N,,04/25/2013 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #567,35 Memorial Pky E,Aliceville,AL,35442-2155,205-779-1346,-88.151062,33.127951,,America/Chicago,N,,09/15/1983 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #7423,2003 Avenue F Ensley,Ensley,AL,35218-2212,205-382-8312,-86.895976,33.511014,,America/Chicago,N,,11/08/2007 00:00:00,N,2022-04-10T23:59:59,2022-05-09T23:59:59,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #2618,2224 Bessemer Rd,Birmingham,AL,35208-4712,205-598-4176,-86.87877,33.496491,,America/Chicago,N,,11/08/1996 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #2082,925 Dennison Avenue,Birmingham,AL,35211,659-268-1402,-86.844924,33.480199,,America/Chicago,N,,07/29/1992 00:00:00,N,,,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #11205,3202 Lorna Road,Hoover,AL,35216-5422,205-421-4674,-86.802184,33.39724,,America/Chicago,N,,08/14/2014 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #8695,1556 Bankhead Hwy W.,Birmingham,AL,35214,659-262-5026,-86.870798,33.541169,,America/Chicago,N,,11/08/2012 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10621,110 Fikes Ferry Road,Marion,AL,36756-3202,334-247-1728,-87.317032,32.619909,,America/Chicago,N,,07/10/2014 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #9394,200 6th Avenue S,Birmingham,AL,35205,659-207-1664,-86.82659025,33.49518452,,America/Chicago,N,,09/13/2012 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #8791,521 Center Street N,Birmingham,AL,35204,205-421-4671,-86.83567854,33.51178845,,America/Chicago,N,,09/13/2012 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #1946,8154 Hwy 31 N Dunstan,Calera,AL,35040-1101,205-690-9036,-86.753774,33.104628,,America/Chicago,N,,11/27/1991 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #615,3120 26th Street N,Birmingham,AL,35207-4504,205-421-3515,-86.819212,33.55331,,America/Chicago,N,,02/03/1983 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #7275,3001 12th Ave N,Birmingham,AL,35234-3219,659-268-0111,-86.799885,33.533272,,America/Chicago,N,,05/03/2007 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13464,8996 Al Highway 22,Maplesville,AL,36750-3200,205-225-3131,-86.872907,32.783078,,America/Chicago,N,,07/06/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #8480,24586 Us Highway 31,Jemison,AL,35085,205-479-6026,-86.74283508,32.95786901,,America/Chicago,N,,08/25/2011 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #8154,5401 1st Ave. N.,Birmingham,AL,35212-2403,256-715-5224,-86.752955,33.539011,,America/Chicago,N,,09/24/2009 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #10298,6629 1st Avenue N,Birmingham,AL,35206-5012,205-948-2720,-86.7394171,33.55000047,,America/Chicago,N,,12/19/2013 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #415,2100 Pinson Valley Parkway,Tarrant,AL,35217-2007,205-445-9970,-86.76637801,33.58909713,,America/Chicago,N,,04/06/1979 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #865,7330 1st Ave N,Birmingham,AL,35206-4213,205-909-1433,-86.732806,33.558151,,America/Chicago,N,,11/01/1984 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13953,2910 Tabernacle Rd,Columbus,MS,39702-9622,662-240-2251,-88.293875,33.515734,,America/Chicago,N,,04/18/2024 00:00:00,N,,,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #13683,16 Oswalt Rd,New Hope,MS,39702,662-368-2561,-88.327639,33.448298,,America/Chicago,N,,10/26/2023 00:00:00,N,,,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #2714,9747 Al Highway 18,Vernon,AL,35592,205-431-3012,-88.11116,33.75464,,America/Chicago,N,,12/01/1995 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #307,306 E Jackson St,Demopolis,AL,36732-2254,334-654-8571,-87.834548,32.51147,,America/Chicago,N,,09/17/1981 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12545,446 Washington,Uniontown,AL,36786,334-231-2116,-87.516174,32.449688,,America/Chicago,N,,09/02/2020 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #8171,608 Springville Rd,Birmingham,AL,35215-7402,205-421-7873,-86.687794,33.608904,,America/Chicago,N,,03/11/2010 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #4150,2157 Carson Rd,Birmingham,AL,35215,205-725-2051,-86.70608,33.642786,,America/Chicago,N,,02/21/2002 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #8978,2020 Center Point Parkway,Center Point,AL,35215,205-909-1171,-86.6843502,33.63976198,,America/Chicago,N,,11/15/2012 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13792,850 Tuscaloosa Road,Columbus,MS,39702,662-240-2555,-88.367124,33.51949,,America/Chicago,N,,10/19/2023 00:00:00,N,,,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #7451,202 Alabama St,Columbus,MS,39702,662-570-6121,-88.384552,33.495568,,America/Chicago,N,,11/09/2006 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #13380,701 Highway 31 South,Warrior,AL,35180-0000,205-717-3175,-86.81523,33.80372,,America/Chicago,N,,03/30/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #9012,1307 North Washington Street,Livingston,AL,35470,205-736-6013,-88.183807,32.608079,,America/Chicago,N,,06/07/2012 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12506,5705 Us Highway 278,Sulligent,AL,35586,334-456-3742,-88.134735,33.900898,,America/Chicago,N,,03/26/2020 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12672,60 Mike Parra Rd,Columbus,MS,39705-1292,662-240-2403,-88.42291,33.604424,,America/Chicago,N,,03/25/2021 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #402,1018 Highland Avenue,Selma,AL,36701-4951,334-267-7030,-87.02493,32.430866,,America/Chicago,N,,04/05/1979 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #13505,4369 State Hwy 160,Hayden,AL,35079,659-258-9520,-86.766049,33.885817,,America/Chicago,N,,11/18/2023 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #4103,2780 Jefferson Street,Macon,MS,39341-3009,662-493-5023,-88.560675,33.104945,,America/Chicago,N,,04/13/2000 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #12567,1009 Crossroads Plaza Drive,Moody,AL,35004,659-259-0913,-86.496254,33.592575,,America/Chicago,N,,07/31/2020 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12908,2674 Dr. J.T. Moore Street S,Orrville,AL,36767-0000,334-407-7029,-87.24193,32.306904,,America/Chicago,N,,06/16/2022 00:00:00,N,,,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #459,913 1st St Sw,Childersburg,AL,35044-1637,256-346-1751,-86.356389,33.278249,,America/Chicago,N,,04/16/1981 00:00:00,N,,,N,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #868,305 S. Main St.,Linden,AL,36748-1725,334-212-8988,-87.79757,32.303783,,America/Chicago,N,,02/21/1985 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,Y,0,Alabama,Family Dollar,2024-06-05
FAMILY DOLLAR #12872,40055 Hamilton Rd,Hamilton,MS,39746,662-661-4246,-88.43604,33.739857,,America/Chicago,N,,01/27/2022 00:00:00,N,,,Y,0,Mississippi,Family Dollar,2024-06-05
FAMILY DOLLAR #9013,700 4th Avenue,York,AL,36925,205-377-7268,-88.29680482,32.48895616,,America/Chicago,N,,06/21/2012 00:00:00,N,2020-08-18T23:59:59,2021-08-26T23:59:59,N,0,Alabama,Family Dollar,2024-06-05
