objectid,fac_name,owner_type,city,county,field_offi,loc_id,eff_date,elevation,sectional_,boundary_2,icao_ident,fss_name,land_area_,atc_tower,latitude,longitude,brand
19828,LEONARD M THOMPSON INTL,PU,MARSH HARBOUR,BAHAMAS,NONE,MYAM,7/16/2020,8.0,MIAMI,MIAMI,MYAM,MIAMI,,N,26.51012777773246,-77.08511666690545,US Airports
19748,COMOX,PR,COMOX,"B.C., CANADA",SEA,CYQQ,7/16/2020,84.0,SEATTLE,VANCOUVER,CYQQ,KAMLOOPS FIC,,Y,49.71083333275737,-124.88666666664308,US Airports
19812,WINDSOR,PU,WINDSOR,"ONTARIO, CANADA",NONE,CYQG,7/16/2020,622.0,,CLEVELAND,CYQG,LONDON FIC,,N,42.27586419409519,-82.95764852760186,US Airports
2815,HORSESHOE LANDINGS,PR,KEENESBURG,WELD,DEN,CO60,7/16/2020,4800.0,CHEYENNE,DENVER,,DENVER,,N,40.10831555601567,-104.4310672224387,US Airports
10725,AUSK STRIP,PR,CHAFFEE,CASS,DMA,8ND5,7/16/2020,1020.0,TWIN CITIES,MINNEAPOLIS,,GRAND FORKS,,N,46.76386333328385,-97.40537083336345,US Airports
9489,LAKE VILLAGE,PR,PARIS,MONROE,NONE,MU40,7/16/2020,750.0,KANSAS CITY,KANSAS CITY,,SAINT LOUIS,,N,39.460594444271585,-92.01044833308654,US Airports
12050,GAUTIERI,PR,BATAVIA,GENESEE,NYC,21NY,7/16/2020,915.0,DETROIT,CLEVELAND,,BUFFALO,,N,42.99339333286789,-78.17834944431728,US Airports
8430,SCOTT AIRSTRIP,PR,LAKE,CLARE,DET,07MI,7/16/2020,1065.0,CHICAGO,MINNEAPOLIS,,LANSING,,N,43.86418916672663,-85.02391888925087,US Airports
15632,TELFORD OVERLOOK FERGUSON FIELD,PR,TELFORD,WASHINGTON,NONE,TN02,7/16/2020,1680.0,,MEMPHIS,,NASHVILLE,5.0,N,36.20873333307094,-82.5395666672884,US Airports
16755,OLIVER,PR,KNOX CITY,KNOX,TEX,4TX7,7/16/2020,1500.0,DALLAS-FT WORTH,FORT WORTH,,FORT WORTH,,N,33.41953888907938,-99.86564833327229,US Airports
8242,MYERS,PR,BRIDGMAN,BERRIEN,DET,MI25,7/16/2020,670.0,CHICAGO,CHICAGO,,LANSING,4.0,N,41.922265278157454,-86.54557638869602,US Airports
19830,LYNDEN PINDLING INTL,PU,NASSAU,BAHAMAS,NONE,MYNN,7/16/2020,16.0,MIAMI,MIAMI,MYNN,MIAMI,,Y,25.03911444393619,-77.46636769399483,US Airports
19783,SAINT JOHN,PU,SAINT JOHN,"NEW BRUNSWICK, CANADA",NONE,CYSJ,7/16/2020,357.0,,TORONTO,CYSJ,HALIFAX FIC,,N,45.316111111133246,-65.89027777823078,US Airports
19740,BELLA BELLA/CAMPBELL ISLAND,PR,BELLA BELLA,"B.C., CANADA",NONE,CBBC,7/16/2020,141.0,,VANCOUVER,CBBC,KAMLOOPS FIC,,N,52.18500000015256,-128.15666666669694,US Airports
19815,CLAYTON J LLOYD INTL,PU,THE VALLEY,ANGUILLA,NONE,TQPF,7/16/2020,127.0,,SAN JUAN,TQPF,SAN JUAN,,Y,18.2048000002342,-63.05385277799104,US Airports
10402,CAMP DAVIS MCOLF,MN,HOLLY RIDGE,JONES,MEM,14NC,7/16/2020,60.0,CHARLOTTE,WASHINGTON,,RALEIGH,,N,34.51666666734002,-77.54999999983501,US Airports
10713,GRIEVE,PR,BUFFALO,CASS,DMA,ND59,7/16/2020,1208.0,TWIN CITIES,MINNEAPOLIS,,GRAND FORKS,,N,46.98747666671303,-97.52953638875273,US Airports
11006,LOSEKE AIRSTRIP,PR,COLUMBUS,PLATTE,NONE,NE37,7/16/2020,1490.0,OMAHA,MINNEAPOLIS,,COLUMBUS,,N,41.47251055621044,-97.2714272221077,US Airports
12153,OAK RIDGE,PR,EAST PALMYRA,WAYNE,NYC,NY16,7/16/2020,540.0,NEW YORK,CLEVELAND,,BUFFALO,,N,43.098396666821934,-77.18192361080365,US Airports
12918,NESTA,PR,LOUDENVILLE,HOLMES,DET,9OI6,7/16/2020,950.0,DETROIT,CLEVELAND,,CLEVELAND,,N,40.6328380560916,-82.17682249991712,US Airports
16215,KEYES RANCH,PR,DRIPPING SPRINGS,HAYS,TEX,14TX,7/16/2020,1150.0,SAN ANTONIO,HOUSTON,,SAN ANGELO,,N,30.289368333048035,-98.17390388889885,US Airports
16316,SHORTHORN AUX LANDING STRIP,MR,FORT HOOD/KILLEEN/,BELL,TEX,23XS,7/16/2020,720.0,SAN ANTONIO,FORT WORTH,,SAN ANGELO,,N,31.358500832742628,-97.67113027844516,US Airports
17486,LITTLE PEACH,PR,TEMPLE,BELL,TEX,TS92,7/16/2020,710.0,SAN ANTONIO,FORT WORTH,,FORT WORTH,,N,31.214618610849655,-97.42667638895931,US Airports
17886,MANN,PR,BOYKINS,SOUTHAMPTON,DCA,VG28,7/16/2020,35.0,WASHINGTON,WASHINGTON,,LEESBURG,,N,36.549040555650855,-77.19135611083142,US Airports
3400,ROSE RANCH,PR,EUSTIS,LAKE,ORL,6FD6,7/16/2020,167.0,JACKSONVILLE,JACKSONVILLE,,GAINESVILLE,,N,28.904988610906987,-81.43312333268199,US Airports
1074,J5 MIKE,PR,WOODVILLE,JACKSON,JAN,4AL5,7/16/2020,680.0,ATLANTA,MEMPHIS,,ANNISTON,,N,34.666347222025315,-86.22228611092396,US Airports
19714,ENEWETAK AUX AF,PR,ENEWETAK,MARSHALL ISLANDS,HNL,PKMA,7/16/2020,13.0,,HONOLULU CONTROL FACILITY,,HONOLULU,,N,11.34083333277517,162.3278333329556,US Airports
2164,DOUBLE CREEK AIRPARK,PR,MANTON,SHASTA,SFO,CN42,7/16/2020,2030.0,KLAMATH FALLS,OAKLAND,,RANCHO MURIETA,360.0,N,40.445711944155335,-121.88221277796065,US Airports
646,NIKOLAI CREEK,PU,TYONEK,KENAI-COOK INLET,NONE,9AK3,7/16/2020,30.0,ANCHORAGE,ANCHORAGE,,KENAI,10.0,N,61.013884443962084,-151.4489102776125,US Airports
893,HIGHFALLS STAGEFIELD AHP,MR,FORT RUCKER/HARTFORD,GENEVA,JAN,15AL,7/16/2020,220.0,NEW ORLEANS,JACKSONVILLE,,ANNISTON,,N,31.09361111118011,-85.78794444393063,US Airports
70,MARION,PR,BIG LAKE,ALEUTIAN ISLANDS,NONE,85AK,7/16/2020,150.0,ANCHORAGE,ANCHORAGE,,KENAI,,N,61.50916666685487,-149.9086111109695,US Airports
5386,FAIRFIELD MUNI,PU,FAIRFIELD,WAYNE,CHI,FWC,7/16/2020,434.3999939,ST LOUIS,KANSAS CITY,KFWC,SAINT LOUIS,173.0,N,38.37863305612795,-88.41265222167817,US Airports
5811,OSF CENTER FOR HEALTH - STREATOR,PR,STREATOR,LA SALLE,CHI,IS29,7/16/2020,639.0,CHICAGO,CHICAGO,,KANKAKEE,,N,41.11337222185545,-88.83522222235626,US Airports
5660,WILCO,PR,OREGON,OGLE,CHI,31LL,7/16/2020,805.0,CHICAGO,CHICAGO,,KANKAKEE,,N,41.934166667128196,-89.36499999963266,US Airports
2200,LOMA LINDA UNIV MED CTR-MURRIETA,PR,MURRIETA,RIVERSIDE,LAX,40CN,7/16/2020,1576.0,LOS ANGELES,LOS ANGELES,,RIVERSIDE,,N,33.614694443827155,-117.16995277783047,US Airports
3022,TINIAN DYNASTY,PR,SAN JOSE TINIAN,NORTHERN MARIANA IS,HNL,HI64,7/16/2020,175.0,GNC 7,HONOLULU CONTROL FACILITY,,HONOLULU,,N,14.962500000297457,145.63027777773104,US Airports
5438,EDWARD GETZELMAN,PR,HAMPSHIRE,KANE,CHI,7IL7,7/16/2020,870.0,CHICAGO,CHICAGO,,KANKAKEE,,N,42.12669111073581,-88.53342055617375,US Airports
1323,FIVE RIVERS MEDICAL CENTER,PR,POCAHONTAS,RANDOLPH,AOK,AR53,7/16/2020,433.0,ST LOUIS,MEMPHIS,,JONESBORO,,N,36.28925000011347,-90.99631944428621,US Airports
1666,GRAND CANYON BAR TEN AIRSTRIP,PR,WHITMORE,MOHAVE,PHX,1Z1,7/16/2020,4100.0,LAS VEGAS,LOS ANGELES,,PRESCOTT,100.0,N,36.25649999991267,-113.2308888890609,US Airports
5510,NORTHWESTERN LAKE FOREST HOSPITAL,PR,LAKE FOREST,LAKE,CHI,45IL,7/16/2020,680.0,CHICAGO,CHICAGO,,KANKAKEE,,N,42.25414999992416,-87.86352499998146,US Airports
