store_id,street,city,state,zip,latitude,longitude,phone,state_name,brand
2249,10522 Spring Green Blvd.,Katy,TX,77494,29.7142,-95.8134,2813923352,Texas,CVS
10177,2720 Fm 1463,Katy,TX,77494,29.7520,-95.8520,2817699255,Texas,CVS
17027,23710 Westheimer Pkwy,Katy,TX,77494,29.7364,-95.7759,,Texas,CVS
6747,602 W. Grand Pkwy South,Katy,TX,77494,29.7716,-95.7784,2813923808,Texas,CVS
10544,5902 Fm 1463 Rd.,Katy,TX,77494,29.7066,-95.8465,2812327014,Texas,CVS
11098,322 Cane Island Pkwy,Katy,TX,77494,29.7800,-95.8489,3463078534,Texas,CVS
7291,1616 S Mason Rd,Katy,TX,77450,29.7581,-95.7524,2813955707,Texas,CVS
10752,25151 Fulshear Gaston Rd.,Richmond,TX,77406,29.6853,-95.8134,2812327557,Texas,CVS
1996,24950 Franz Rd.,Katy,TX,77493,29.8023,-95.8012,2815748282,Texas,CVS
3573,110 Westgreen Blvd.,Katy,TX,77450,29.7842,-95.7364,2815782589,Texas,CVS
5484,6900 Grand Mission Blvd.,Richmond,TX,77407,29.7033,-95.7204,2812396517,Texas,CVS
16334,19955 Katy Fwy,Houston,TX,77094,29.7824,-95.7159,,Texas,CVS
10952,3950 W. Grand Parkway,Katy,TX,77449,29.8310,-95.7595,2815745407,Texas,CVS
3702,3103 N. Fry Rd.,Katy,TX,77449,29.8153,-95.7212,2816462964,Texas,CVS
17715,10241 West Grand Pkwy S.,Richmond,TX,77407,29.6581,-95.7103,,Texas,CVS
6896,11950 Mason Rd.,Richmond,TX,77406,29.6272,-95.7446,8325958871,Texas,CVS
10671,10420 Fm 1464,Richmond,TX,77407,29.6628,-95.6866,2812400123,Texas,CVS
17870,22165 Fm 529,Katy,TX,77493,29.8752,-95.7526,,Texas,CVS
6744,14606 Richmond Ave.,Houston,TX,77082,29.7295,-95.6452,2815093440,Texas,CVS
7164,7010 Fry Rd.,Cypress,TX,77433,29.8804,-95.7234,2813451119,Texas,CVS
17476,2700 Eldridge Pkwy,Houston,TX,77082,29.7326,-95.6272,,Texas,CVS
5804,10110 S. Highway 6,Sugar Land,TX,77498,29.6676,-95.6441,2819881952,Texas,CVS
1753,15010 Memorial Dr.,Houston,TX,77079,29.7788,-95.6188,2813681600,Texas,CVS
6001,13555 Beechnut St.,Houston,TX,77083,29.6880,-95.6216,2817763858,Texas,CVS
6650,1339 S. Dairy Ashford St.,Houston,TX,77077,29.7544,-95.6056,2814933260,Texas,CVS
4427,12585 Richmond Ave.,Houston,TX,77082,29.7291,-95.6052,2817498861,Texas,CVS
5972,5305 Avenue I,Rosenberg,TX,77471,29.5588,-95.7729,2812321830,Texas,CVS
