store_number,store_name,state,city,street,zip,longitude,latitude,timeZone,state_name,brand
1255,Westwood,CA,Los Angeles,1360 Westwood Blvd,90024,-118.441905700000,34.055985800000,America/Los_Angeles,California,99 Ranch Market
1006,Gardena,CA,Gardena,1340 Artesia Blvd,90248,-118.297151500000,33.872055000000,America/Los_Angeles,California,99 Ranch Market
1808,Torrance,CA,Torrance,19100 Harborgate Way,90501,-118.303001700000,33.857125700000,America/Los_Angeles,California,99 Ranch Market
1013,Van Nuys,CA,Van Nuys,6450 Sepulveda Blvd,91411,-118.465335900000,34.188030900000,America/Los_Angeles,California,99 Ranch Market
1012,Monterey Park,CA,Monterey Park,771 W Garvey Ave,91754,-118.133740900000,34.063652400000,America/Los_Angeles,California,99 Ranch Market
1038,Alhambra,CA,Alhambra,345 E Main St,91801,-118.123788900000,34.097604900000,America/Los_Angeles,California,99 Ranch Market
1208,San Gabriel,CA,San Gabriel,140 W Valley Blvd #150,91776,-118.101555400000,34.078010600000,America/Los_Angeles,California,99 Ranch Market
1017,Artesia,CA,Artesia,17713 Pioneer Blvd,90701,-118.082913300000,33.869670200000,America/Los_Angeles,California,99 Ranch Market
1007,Arcadia,CA,Arcadia,1300 S Golden W Ave,91007,-118.058950500000,34.124003900000,America/Los_Angeles,California,99 Ranch Market
1257,Santa Anita,CA,Arcadia,400 S Baldwin Ave Suite#1000,91007,-118.051589000000,34.134700300000,America/Los_Angeles,California,99 Ranch Market
1018,Hacienda Heights,CA,Hacienda Heights,1625 S Azusa Ave,91745,-117.933412800000,33.993028500000,America/Los_Angeles,California,99 Ranch Market
1005,Anaheim,CA,Anaheim,651 N Euclid St,92801,-117.943664100000,33.841125500000,America/Los_Angeles,California,99 Ranch Market
1003,Rowland Heights,CA,Rowland Heights,1015 S Nogales St,91748,-117.890715800000,33.996690000000,America/Los_Angeles,California,99 Ranch Market
1231,Chino Hills,CA,Chino Hills,2959 Chino Ave,91709,-117.740998500000,34.009608900000,America/Los_Angeles,California,99 Ranch Market
1052,Chino,CA,Chino,4024 Grand Ave,91710,-117.716294000000,33.999303100000,America/Los_Angeles,California,99 Ranch Market
1009,Irvine (Culver Dr.),CA,Irvine,15333 Culver Dr #800,92604,-117.798444600000,33.696356500000,America/Los_Angeles,California,99 Ranch Market
1219,Irvine (Walnut Ave),CA,Irvine,5402 Walnut Ave,92604,-117.769679900000,33.690459900000,America/Los_Angeles,California,99 Ranch Market
1035,Rancho Cucamonga,CA,Rancho Cucamonga,9775 Base Line Rd,91730,-117.591863600000,34.120119900000,America/Los_Angeles,California,99 Ranch Market
1256,Eastvale,CA,Eastvale,4956 Hamner Ave,91752,-117.555891700000,33.998714400000,America/Los_Angeles,California,99 Ranch Market
1036,Corona,CA,Corona,430 N McKinley St,92879,-117.521537400000,33.888713600000,America/Los_Angeles,California,99 Ranch Market
1039,San Diego (Balboa Ave),CA,San Diego,5950 Balboa Ave,92111,-117.176959400000,32.821638000000,America/Los_Angeles,California,99 Ranch Market
1016,San Diego (Clairemon Mesa Blvd),CA,San Diego,7330 Clairemont Mesa Blvd,92111,-117.160757600000,32.833557600000,America/Los_Angeles,California,99 Ranch Market
1051,Chula Vista,CA,Chula Vista,505 Telegraph Canyon Rd,91910,-117.040514700000,32.629458000000,America/Los_Angeles,California,99 Ranch Market
1032,Las Vegas (Spring Mountain Rd),NV,Las Vegas,4155 W Spring Mountain Rd,89102,-115.195231500000,36.125488800000,America/Los_Angeles,Nevada,99 Ranch Market
