locationname,marketname,city,countrycode,address,zip,state,latitude,longitude,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall
Morton Ranch,"Houston, TX",Katy,US,2826 W Grand Pkwy N,77449,TX,29.8140416,-95.7721704,Amanda Baca,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/morton-ranch?utm_source=yext&utm_medium=link,30.0,11.0,2017.0,2017-11-30,interior,True,Stand Alone,False
Mason Road,"Houston, TX",Katy,US,369 S Mason Rd,77450,TX,29.78057,-95.75114,Rusty Wylie,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/mason-road?utm_source=yext&utm_medium=link,14.0,9.0,1995.0,1995-09-14,interior,True,Stand Alone,False
Elyson,"Houston, TX",Katy,US,22159 FM 529 Rd,77493,TX,29.87525474,-95.76644227,Amanda Baca,FUTURE,America/Chicago,https://www.chick-fil-a.com/locations/tx/elyson?utm_source=yext&utm_medium=link,,,,2024-02-21,interior,False,Stand Alone,
Katy Green,"Houston, TX",Houston,US,19303 Katy Fwy,77094,TX,29.7843262,-95.706516,Rusty Wylie,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/katy-green?utm_source=yext&utm_medium=link,11.0,6.0,2015.0,2015-06-11,interior,True,Stand Alone,False
Katy Mills,"Houston, TX",Katy,US,25601 Nelson Way,77494,TX,29.774121,-95.819225,"Cavin, Cynthia (Cynthia)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/katy-mills?utm_source=yext&utm_medium=link,26.0,4.0,2012.0,2011-12-08,interior,True,Stand Alone,False
Cinco Ranch,"Houston, TX",Katy,US,23860 Westheimer Pkwy,77494,TX,29.73551,-95.778,"Wylie, Martin (Rusty)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/cinco-ranch?utm_source=yext&utm_medium=link,2.0,6.0,2005.0,2005-06-02,none,True,Stand Alone,False
Hwy. 6 at West Little York,"Houston, TX",Houston,US,6175 Highway 6 N,77084,TX,29.87031039999999,-95.6458567,Wade Bradford,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/hwy-6-at-west-little-york?utm_source=yext&utm_medium=link,31.0,3.0,2016.0,2016-03-31,interior,True,Stand Alone,False
Cypress Towne Lake,"Houston, TX",Cypress,US,9823 Barker Cypress Rd,77433,TX,29.9211211,-95.6867373,"Oakes, David (David)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/cypress-towne-lake?utm_source=yext&utm_medium=link,29.0,9.0,2016.0,2016-09-29,interior,True,Stand Alone,False
Fry Road,"Houston, TX",Cypress,US,10802 Fry Road,77433,TX,29.942134,-95.71702599999999,David Oakes,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/fry-road?utm_source=yext&utm_medium=link,23.0,8.0,2023.0,2023-08-23,none,True,Stand Alone,
Copperfield,"Houston, TX",Houston,US,8440 Highway 6 N,77095,TX,29.9016824,-95.6338682,"Rutland, Sydnea (Sydnea)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/copperfield?utm_source=yext&utm_medium=link,8.0,9.0,1994.0,1994-09-08,interior,True,Stand Alone,False
Parkway Village,"Houston, TX",Houston,US,13412 Briar Forest Dr,77077,TX,29.755828,-95.62655989999999,"DeCola, James (James)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/parkway-village?utm_source=yext&utm_medium=link,20.0,2.0,2014.0,2014-02-20,interior,True,Stand Alone,False
