locationname,marketname,city,countrycode,address,zip,state,latitude,longitude,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall
Memorial & Dairy Ashford,"Houston, TX",Houston,US,753 Dairy Ashford Rd,77079,TX,29.77339,-95.60688,"Kubala, Greg (Greg)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/memorial-dairy-ashford?utm_source=yext&utm_medium=link,26.0,2.0,2015.0,2015-02-26,interior,True,Stand Alone,False
Bella Terra,"Houston, TX",Richmond,US,5644 W Grand Pkwy S,77406,TX,29.6908375,-95.7714175,"Parker, Larry (Cliff)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/bella-terra?utm_source=yext&utm_medium=link,19.0,6.0,2014.0,2014-06-19,interior,True,Stand Alone,False
290 and Spring Cypress,"Houston, TX",Cypress,US,25835 Highway 290,77429,TX,29.9693156,-95.6930081,"Kober, Norman (Norm)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/290-and-spring-cypress?utm_source=yext&utm_medium=link,6.0,10.0,2005.0,2005-10-06,interior,True,Stand Alone,False
The Crossing at Katy Fulshear,"Houston, TX",Katy,US,6635 FM 1463 Rd,77494,TX,29.6969277,-95.845224,"Holmes, Courtney (Courtney)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/the-crossing-at-katy-fulshear?utm_source=yext&utm_medium=link,5.0,9.0,2019.0,2019-09-05,interior,True,Stand Alone,False
Hwy. 6 & Bellaire,"Houston, TX",Houston,US,6895 Highway 6 S,77083,TX,29.7030298,-95.6433936,"Anthony-Garrett, Willie (Willie)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/hwy-6-bellaire?utm_source=yext&utm_medium=link,19.0,8.0,1993.0,1993-08-19,none,True,Stand Alone,False
Hwy. 290 & Jones Road,"Houston, TX",Jersey Village,US,17430 Northwest Fwy,77040,TX,29.8906238,-95.5835216,Glenn Thigpen,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/hwy-290-jones-road?utm_source=yext&utm_medium=link,25.0,4.0,2018.0,2018-04-25,interior,True,Stand Alone,False
1960 and Eldridge Parkway,"Houston, TX",Houston,US,12325 FM 1960 Rd W,77065,TX,29.922496,-95.602325,"Pamphile, Colleen (Colleen)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/1960-and-eldridge-parkway?utm_source=yext&utm_medium=link,14.0,3.0,2002.0,2002-03-14,none,True,Stand Alone,False
Beltway 8 & Hammerly Blvd.,"Houston, TX",Houston,US,2267 W Sam Houston Pkwy N,77043,TX,29.8118001,-95.5645107,Austin Rice,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/beltway-8-hammerly-blvd?utm_source=yext&utm_medium=link,13.0,9.0,2018.0,2018-09-13,interior,True,Stand Alone,False
Fairfield Towne Center,"Houston, TX",Cypress,US,28644 Highway 290,77433,TX,29.9925592,-95.7496209,"Kober, Norman (Norm)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/fairfield-towne-center?utm_source=yext&utm_medium=link,14.0,8.0,2014.0,2014-08-14,interior,True,Stand Alone,False
Waterview Town Center,"Houston, TX",Richmond,US,19245 W Bellfort St,77407,TX,29.6609217,-95.7196696,"Parker, Larry (Cliff)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/waterview-town-center?utm_source=yext&utm_medium=link,26.0,3.0,2020.0,2020-03-26,interior,True,Stand Alone,False
Westheimer & Kirkwood,"Houston, TX",Houston,US,2606 S Kirkwood Rd,77077,TX,29.735396,-95.5891743,"Kubala, Greg (Greg)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/westheimer-kirkwood?utm_source=yext&utm_medium=link,19.0,12.0,2002.0,,interior,True,Stand Alone,False
Memorial City Mall,"Houston, TX",Houston,US,303 Memorial City Ste 385,77024,TX,29.780523,-95.539886,Rafael McLeod,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/memorial-city-mall?utm_source=yext&utm_medium=link,17.0,12.0,1983.0,1983-12-17,none,False,Food Court,True
Beltway 8 at West Road,"Houston, TX",Houston,US,9440 W Sam Houston Pkwy N,77064,TX,29.90768,-95.55508,"Thigpen, Michael (Glenn)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/beltway-8-at-west-road?utm_source=yext&utm_medium=link,6.0,6.0,2013.0,2013-06-06,interior,True,Stand Alone,False
Spring Cypress & Grant Road,"Houston, TX",Cypress,US,14011 Spring Cypress Rd,77429,TX,30.003708,-95.635495,"Chaluh, David (David)",FUTURE,America/Chicago,https://www.chick-fil-a.com/locations/tx/spring-cypress-grant-road?utm_source=yext&utm_medium=link,,,,2024-03-07,none,False,Stand Alone,
East Alief,"Houston, TX",Houston,US,6840 W Sam Houston Pkwy S,77072,TX,29.703061,-95.55817,"Fortsch, Jeffrey (Jeff)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/east-alief?utm_source=yext&utm_medium=link,14.0,1.0,2016.0,2016-01-14,interior,True,Stand Alone,False
Northwest Crossing,"Houston, TX",Houston,US,13240 Northwest Fwy,77040,TX,29.8478568,-95.5019925,"Hernandez, Francisco (Francisco)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/northwest-crossing?utm_source=yext&utm_medium=link,20.0,5.0,2010.0,2010-05-20,interior,True,Stand Alone,False
Westheimer & Fondren,"Houston, TX",Houston,US,8609 Westheimer Rd,77063,TX,29.736933,-95.517841,"Gibson, Branden (Branden)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/westheimer-fondren?utm_source=yext&utm_medium=link,28.0,6.0,2007.0,2007-06-28,interior,True,Stand Alone,False
Willowbrook Mall,"Houston, TX",Houston,US,1174 Willowbrook Mall,77070,TX,29.95987433,-95.538364,"Kober, Darlene (Darlene)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/willowbrook-mall?utm_source=yext&utm_medium=link,23.0,9.0,1981.0,1981-09-23,none,False,Food Court,True
249 at Jones Road,"Houston, TX",Houston,US,21622 State Highway 249,77070,TX,30.0021599,-95.5825248,"Smith, Cynthia (Cindy)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/249-at-jones-road?utm_source=yext&utm_medium=link,31.0,1.0,2002.0,2002-01-31,interior,True,Stand Alone,False
99 & Cypress Rosehill,"Houston, TX",Tomball,US,20010 Cypress Rosehill Rd,77377,TX,30.0542257,-95.69720699999999,"Sienko, Eric (Eric)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/99-cypress-rosehill?utm_source=yext&utm_medium=link,10.0,11.0,2023.0,2023-11-10,interior,True,Stand Alone,
1960 & Cutten,"Houston, TX",Houston,US,7007 FM 1960 Rd W,77069,TX,29.9678668,-95.53378,"Caddenhead, Kevin (Kevin)",TEMPORARY_CLOSE,America/Chicago,https://www.chick-fil-a.com/locations/tx/1960-cutten?utm_source=yext&utm_medium=link,13.0,6.0,1996.0,1996-05-30,interior,True,Stand Alone,False
59 & West Airport Drive-Thru Only,"Houston, TX",Stafford,US,12161 Southwest Fwy,77477,TX,29.6442633,-95.5747261,"Alvarado, Jean (Jean-Paul)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/59-west-airport-drive-thru-only?utm_source=yext&utm_medium=link,3.0,2.0,2011.0,2011-02-03,none,True,Stand Alone,False
59 & Fondren,"Houston, TX",Houston,US,7539 Southwest Fwy,77074,TX,29.6975168,-95.5196851,"Kinney, Steven (Steven)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/59-fondren?utm_source=yext&utm_medium=link,8.0,3.0,2021.0,2021-03-08,none,True,Stand Alone,False
Houston Christian University,"Houston, TX",Houston,US,7502 Fondren Rd,77074,TX,29.6929877,-95.51475769999999,"Graves, Quartus (Quart)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/houston-christian-university?utm_source=yext&utm_medium=link,26.0,8.0,2013.0,2013-08-01,none,False,,False
Northway Center,"Houston, TX",Houston,US,11011 Northwest Fwy,77092,TX,29.817506,-95.467695,Francisco Hernandez,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/northway-center?utm_source=yext&utm_medium=link,15.0,12.0,2021.0,2021-12-15,interior,True,Stand Alone,
Hwy. 249 at West Road,"Houston, TX",Houston,US,12935 State Highway 249,77086,TX,29.9132708,-95.4844466,"Munson, Brad (Brad)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/hwy-249-at-west-road?utm_source=yext&utm_medium=link,13.0,4.0,2017.0,2017-04-13,interior,True,Stand Alone,False
I-10 and Silber Road,"Houston, TX",Houston,US,7660 Katy Fwy,77024,TX,29.7867982,-95.4675824,"McLeod, Rafael (Rafael)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/i-10-and-silber-road?utm_source=yext&utm_medium=link,31.0,1.0,2013.0,2013-01-31,none,True,Stand Alone,False
Sugar Land,"Houston, TX",Sugar Land,US,2323 Highway 6,77478,TX,29.5962055,-95.6183809,"Kubala, Brent (Brent)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/sugar-land?utm_source=yext&utm_medium=link,12.0,12.0,2022.0,2022-12-12,none,True,Stand Alone,
First Colony Mall,"Houston, TX",Sugar Land,US,16535 Southwest Fwy,77479,TX,29.5906686,-95.6256088,"Kubala, Brent (Brent)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/first-colony-mall?utm_source=yext&utm_medium=link,14.0,3.0,1996.0,1996-03-13,none,False,Food Court,True
Galleria I,"Houston, TX",Houston,US,5015 Westheimer Rd Ste 1330,77056,TX,29.7390219,-95.4630822,"Farol, Nicholas (Nicholas)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/galleria-i?utm_source=yext&utm_medium=link,2.0,12.0,1987.0,1987-12-02,none,False,Food Court,True
S. Rice and Westpark,"Houston, TX",Houston,US,5325 S Rice Ave,77081,TX,29.7241811,-95.4675829,"Kinney, Steven (Steven)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/s-rice-and-westpark?utm_source=yext&utm_medium=link,12.0,1.0,2017.0,2017-01-12,interior,True,Stand Alone,False
Greatwood,"Houston, TX",Sugar Land,US,20010 Southwest Fwy,77479,TX,29.56325,-95.68685,Quart Graves,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/greatwood?utm_source=yext&utm_medium=link,24.0,6.0,2004.0,2004-06-24,interior,True,Stand Alone,False
Gleannloch Village,"Houston, TX",Spring,US,8510 Spring Cypress Rd,77379,TX,30.0362325,-95.5529494,"Ludwig, Michael (Mike)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/gleannloch-village?utm_source=yext&utm_medium=link,24.0,5.0,2018.0,2018-05-24,interior,True,Stand Alone,False
Tomball,"Houston, TX",Tomball,US,14314 FM 2920 Rd,77377,TX,30.0899356,-95.6397655,"Horsley, Scott (Matthew)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/tomball?utm_source=yext&utm_medium=link,18.0,11.0,2004.0,2004-11-18,interior,True,Stand Alone,False
Rosenberg,"Houston, TX",Rosenberg,US,24734 Southwest Fwy,77471,TX,29.54397,-95.75648,"Graves, Quartus (Quart)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/rosenberg?utm_source=yext&utm_medium=link,2.0,8.0,2007.0,2007-08-02,interior,True,Stand Alone,False
Meyerland Plaza,"Houston, TX",Houston,US,5001 Beechnut St,77096,TX,29.687853,-95.465092,Jesse Chaluh,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/meyerland-plaza?utm_source=yext&utm_medium=link,9.0,12.0,1999.0,1999-12-01,interior,True,Stand Alone,False
1960 & Walters,"Houston, TX",Houston,US,3635 Cypress Creek Pkwy,77068,TX,29.9956491,-95.4831716,"Caddenhead, Kevin (Kevin)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/1960-walters?utm_source=yext&utm_medium=link,28.0,5.0,2015.0,2015-05-28,interior,True,Stand Alone,False
N. Loop 610 & Shepherd,"Houston, TX",Houston,US,925 North Loop W,77008,TX,29.8118482,-95.4163514,Joe Glynn,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/n-loop-610-shepherd?utm_source=yext&utm_medium=link,5.0,6.0,2014.0,2014-06-05,none,True,Stand Alone,False
Meyer Park Center,"Houston, TX",Houston,US,9799 S Post Oak Rd,77096,TX,29.6744269,-95.4595296,"Chaluh, Nissim (Jesse)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/tx/meyer-park-center?utm_source=yext&utm_medium=link,1.0,12.0,2022.0,2022-12-01,none,True,Stand Alone,
Ford City (IL),"Chicago, IL",Chicago,US,4733 W 76th St,60652,IL,41.753646,-87.7410359,"Franklin, Erin (Erin)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/ford-city-il?utm_source=yext&utm_medium=link,19.0,11.0,2020.0,2020-11-19,interior,True,Stand Alone,False
Chicago Ridge,"Chicago, IL",Chicago Ridge,US,9600 Ridgeland Ave,60415,IL,41.71737,-87.78035,"Espin, Chelsea (Chelsea)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/chicago-ridge?utm_source=yext&utm_medium=link,26.0,9.0,2013.0,2013-09-26,interior,True,Stand Alone,False
North Riverside,"Chicago, IL",North Riverside,US,7201 W Cermak Rd,60546,IL,41.849955,-87.844119,"Botero, Alvaro (Alvaro)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/north-riverside?utm_source=yext&utm_medium=link,27.0,3.0,2014.0,2014-03-27,interior,True,Stand Alone,False
Illinois Medical District (IL) In-Line,"Chicago, IL",Chicago,US,713 S Seeley Ave,60612,IL,41.8730731,-87.676811,"Groom, Emily (Emily)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/illinois-medical-district-il-in-line?utm_source=yext&utm_medium=link,15.0,6.0,2023.0,2023-06-15,none,False,In-Line,
South Loop (IL),"Chicago, IL",Chicago,US,1106 S Clinton St,60607,IL,41.8688015,-87.6407351,"Edwards, Kareem (Kareem)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/south-loop-il?utm_source=yext&utm_medium=link,21.0,1.0,2021.0,2021-01-21,none,True,Stand Alone,False
University of Illinois - Chicago,"Chicago, IL",Chicago,US,750 S Halsted St,60607,IL,41.8721948,-87.6477753,"Good, John (John)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/university-of-illinois-chicago?utm_source=yext&utm_medium=link,16.0,5.0,2017.0,2017-05-20,none,False,,False
Countryside,"Chicago, IL",Countryside,US,6007 S La Grange Rd,60525,IL,41.780677,-87.867548,"Summers, Ryan (Ryan)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/countryside?utm_source=yext&utm_medium=link,3.0,3.0,2016.0,2016-03-03,interior,True,Stand Alone,False
Chicago Union Station,"Chicago, IL",Chicago,US,225 S Canal St,60606,IL,41.8786006,-87.6388812,"Cabrera, Mark (Mark)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/chicago-union-station?utm_source=yext&utm_medium=link,3.0,6.0,2020.0,2020-04-27,none,False,,False
Crestwood (IL),"Chicago, IL",Crestwood,US,13050 S Cicero,60445,IL,41.6540405,-87.7388172,"Pena-Rogers, Ximena (Ximena)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/crestwood-il?utm_source=yext&utm_medium=link,21.0,11.0,2019.0,2019-11-21,interior,True,Stand Alone,False
Millennium Park (IL) In-Line,"Chicago, IL",Chicago,US,122 S Michigan Ave,60603,IL,41.8800946,-87.62469500000002,Layne Steen,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/millennium-park-il-in-line?utm_source=yext&utm_medium=link,6.0,8.0,2020.0,2020-08-06,none,False,In-Line,False
State and Lake In-Line,"Chicago, IL",Chicago,US,177 N State St,60601,IL,41.8854189,-87.627623,Pablo Velazquez,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/state-and-lake-in-line?utm_source=yext&utm_medium=link,20.0,6.0,2013.0,2013-06-20,none,False,In-Line,False
Michigan Avenue (IL) In-Line,"Chicago, IL",Chicago,US,500 N Michigan Ave Ste 140,60611,IL,41.8911615,-87.62471149999999,"Carruth, Seth (Seth)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/michigan-avenue-il-in-line?utm_source=yext&utm_medium=link,13.0,8.0,2020.0,2020-08-13,interior,False,In-Line,False
Loyola Water Tower In-Line,"Chicago, IL",Chicago,US,30 E Chicago Ave,60611,IL,41.89727,-87.62711,Steve Silich,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/loyola-water-tower-in-line?utm_source=yext&utm_medium=link,16.0,6.0,2011.0,2011-06-16,none,False,In-Line,False
Bucktown (IL),"Chicago, IL",Chicago,US,1910 W Fullerton Ave,60614,IL,41.9251943,-87.6764109,"Faretta, Joshua (Josh)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/bucktown-il?utm_source=yext&utm_medium=link,14.0,1.0,2021.0,2021-01-14,interior,True,Stand Alone,False
Melrose Park,"Chicago, IL",Melrose Park,US,2 Winston Plz,60160,IL,41.9076579,-87.8486243,"Rhodes, Matthew (Matt)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/melrose-park?utm_source=yext&utm_medium=link,13.0,10.0,2016.0,2016-10-13,interior,True,Stand Alone,False
Willowbrook,"Chicago, IL",Willowbrook,US,7101 Kingery Hwy,60527,IL,41.76066183,-87.9435715,"Park, Hyung-Jin (Doug)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/willowbrook?utm_source=yext&utm_medium=link,13.0,2.0,2014.0,2014-02-13,interior,True,Stand Alone,False
Addison & Elston (IL) In-Line,"Chicago, IL",Chicago,US,3246 W Addison St,60618,IL,41.946792,-87.709561,"Galati, Joshua (Josh)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/addison-elston-il-in-line?utm_source=yext&utm_medium=link,8.0,6.0,2023.0,2023-06-08,none,False,Stand Alone,
Wrigleyville (IL) In-Line,"Chicago, IL",Chicago,US,3500 N Clark St,60657,IL,41.9456542,-87.6555569,"Pulgine, Anthony (Nick)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/wrigleyville-il-in-line?utm_source=yext&utm_medium=link,6.0,4.0,2023.0,2023-04-06,none,False,Stand Alone,
Orland Park,"Chicago, IL",Orland Park,US,15605 S La Grange Rd,60462,IL,41.6067195,-87.8525199,Kevin Skarin,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/orland-park?utm_source=yext&utm_medium=link,28.0,10.0,2010.0,2010-10-28,interior,True,Stand Alone,False
Norridge (IL),"Chicago, IL",Norridge,US,4512 N Harlem Ave,60706,IL,41.9626135,-87.807782,Hunter Clinton,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/norridge-il?utm_source=yext&utm_medium=link,9.0,1.0,2020.0,2020-01-09,interior,True,Stand Alone,False
Homewood (IL),"Chicago, IL",Homewood,US,17450 Halsted St,60430,IL,41.5721769,-87.6368686,"Wasson, Skyler (Skyler)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/homewood-il?utm_source=yext&utm_medium=link,5.0,9.0,2019.0,2019-09-05,interior,True,Stand Alone,False
Elmhurst,"Chicago, IL",Elmhurst,US,235 South IL Route 83,60126,IL,41.892556,-87.961782,"Vaught, Sara (Sara)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/elmhurst?utm_source=yext&utm_medium=link,6.0,2.0,2014.0,2014-02-06,interior,True,Stand Alone,False
Lombard,"Chicago, IL",Lombard,US,717 E Butterfield Rd,60148,IL,41.83892,-87.99854,Dave Terhune,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/lombard?utm_source=yext&utm_medium=link,29.0,3.0,2012.0,2012-03-29,interior,True,Stand Alone,False
Touhy Marketplace (IL),"Chicago, IL",Skokie,US,3720 Touhy Ave,60076,IL,42.0121423,-87.7221044,Mike Kim,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/touhy-marketplace-il?utm_source=yext&utm_medium=link,17.0,11.0,2022.0,2022-11-17,none,True,Stand Alone,
Niles (IL),"Chicago, IL",Niles,US,5650 W Touhy Ave,60714,IL,42.012381,-87.769836,"Meier, Robert (Rob)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/niles-il?utm_source=yext&utm_medium=link,10.0,10.0,2019.0,2019-10-10,interior,True,Stand Alone,False
Old Orchard,"Chicago, IL",Skokie,US,9341 Skokie Blvd,60077,IL,42.0510132,-87.7463265,"Kim, Michael (Mike)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/old-orchard?utm_source=yext&utm_medium=link,9.0,3.0,2017.0,2017-03-09,interior,True,Stand Alone,False
Wheaton,"Chicago, IL",Wheaton,US,301 E Loop Rd,60189,IL,41.8297794,-88.0960861,Dave Terhune,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/wheaton?utm_source=yext&utm_medium=link,11.0,11.0,2010.0,2010-11-11,interior,True,Stand Alone,False
Golf Mill (IL),"Chicago, IL",Niles,US,8575 West Golf Road,60714,IL,42.0541361,-87.8396342,"Morris, Jonathan (Jon)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/golf-mill-il?utm_source=yext&utm_medium=link,13.0,10.0,2021.0,2021-10-13,none,True,Stand Alone,False
Schererville (IN),"Chicago, IL",Schererville,US,315 US Highway 41,46375,IN,35.2424881,-85.6904792,"Knight, Justin (Justin)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/in/schererville-in?utm_source=yext&utm_medium=link,1.0,9.0,2021.0,2021-09-01,none,True,Stand Alone,False
Bolingbrook,"Chicago, IL",Bolingbrook,US,245 N Weber Rd,60490,IL,41.70177,-88.12559,"Wagner, Michael (Mike)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/bolingbrook?utm_source=yext&utm_medium=link,6.0,9.0,2012.0,2012-09-06,interior,True,Stand Alone,False
Bloomingdale,"Chicago, IL",Bloomingdale,US,354 W Army Trail Rd,60108,IL,41.93878,-88.11109,"Antolik, Joseph (Joe)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/bloomingdale?utm_source=yext&utm_medium=link,23.0,9.0,2015.0,2015-09-23,interior,True,Stand Alone,False
Mount Prospect,"Chicago, IL",Mount Prospect,US,950 N Elmhurst Rd,60056,IL,42.0830164,-87.937479,"Bhala, Vikas (Vikas)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/mount-prospect?utm_source=yext&utm_medium=link,21.0,2.0,2013.0,2013-02-21,interior,True,Stand Alone,False
Fox Valley Center,"Chicago, IL",Aurora,US,4435 Fox Valley Center Dr,60504,IL,41.7582692,-88.2064525,"Cabrera, Mark (Mark)",OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/fox-valley-center?utm_source=yext&utm_medium=link,16.0,9.0,2010.0,2010-09-16,interior,True,Stand Alone,False
Schaumburg,"Chicago, IL",Schaumburg,US,935 E Golf Rd,60173,IL,42.0493552,-88.0562106,Daryl Saylor,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/schaumburg?utm_source=yext&utm_medium=link,15.0,9.0,2011.0,2011-09-15,interior,True,Stand Alone,False
Joliet (IL),"Chicago, IL",Joliet,US,2705 Plainfield Rd,60435,IL,41.57622967,-88.155952,Kris Yoder,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/joliet-il?utm_source=yext&utm_medium=link,14.0,1.0,2021.0,2021-01-14,none,True,Stand Alone,False
Deerfield (IL),"Chicago, IL",Deerfield,US,75 S Waukegan Rd,60015,IL,42.15136667,-87.83684567,Joe Rhodes,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/deerfield-il?utm_source=yext&utm_medium=link,14.0,11.0,2019.0,2019-11-14,interior,True,Stand Alone,False
West Schaumburg,"Chicago, IL",Schaumburg,US,90 Barrington Rd,60194,IL,42.02593,-88.14508,Daryl Saylor,OPEN,America/Chicago,https://www.chick-fil-a.com/locations/il/west-schaumburg?utm_source=yext&utm_medium=link,4.0,12.0,2014.0,2014-12-04,interior,True,Stand Alone,False
