name,url,latitude,longitude,telephone,street,city,state,zip,state_name
"Macy's Meadowood Mall in Reno, NV",https://www.macys.com/stores/nv/reno/meadowood-mall_409.html,39.475864,-119.783097,(775) 826-8333,5100 Meadowood Mall Cir ,Reno,NV,89502,Nevada
"Macy's Reno Furniture and Mattress Gallery in Reno, NV",https://www.macys.com/stores/nv/reno/del-monte-plaza_413.html,39.470723,-119.787943,(775) 789-3533,6011 South Virginia Street ,Reno,NV,89502,Nevada
"Macy's Monmouth in Eatontown, NJ",https://www.macys.com/stores/nj/eatontown/monmouth-mall_52.html,40.287129,-74.054693,(732) 542-1212,180 State Route 35 Ste 2000 ,Eatontown,NJ,07724,New Jersey
"Macy's Rt. 35 Furniture and Mattress Gallery in Eatontown, NJ",https://www.macys.com/stores/nj/eatontown/rt-35-furniture-and-mattress-gallery_152.html,40.288769,-74.050423,(732) 542-5024,231 Highway 35 ,Eatontown,NJ,07724,New Jersey
"Macy's Paramus Park in Paramus, NJ",https://www.macys.com/stores/nj/paramus/paramus-park_10.html,40.956639,-74.068959,(201) 967-1400,100 Paramus Park Mall ,Paramus,NJ,07652,New Jersey
"Macy's Rt. 4 Furniture and Mattress Gallery in Paramus, NJ",https://www.macys.com/stores/nj/paramus/shoppes-on-iv_126.html,40.914928,-74.047019,(201) 342-8501,275 Route 4 West ,Paramus,NJ,07652,New Jersey
"Macy's Paramus Garden State Plaza in Paramus, NJ",https://www.macys.com/stores/nj/paramus/westfield-garden-state-plaza_75.html,40.91762,-74.075908,(201) 843-9100,500 Garden State Plz ,Paramus,NJ,07652,New Jersey
"Macy's Willowbrook in Wayne, NJ",https://www.macys.com/stores/nj/wayne/willowbrook_76.html,40.892607,-74.263511,(973) 785-9525,1100 Willowbrook Mall ,Wayne,NJ,07470,New Jersey
"Macy's Rt. 46 Furniture and Mattress Gallery in Wayne, NJ",https://www.macys.com/stores/nj/wayne/rt-46-furniture-and-mattress-gallery_176.html,40.891991,-74.259446,(973) 785-0407,200 Us Highway 46 ,Wayne,NJ,07470,New Jersey
"Macy's Albany - Crossgates Mall in Albany, NY",https://www.macys.com/stores/ny/albany/crossgates-mall_49.html,42.691004,-73.85324,(518) 452-0010,120 Washington Ave Ext Ste 49 ,Albany,NY,12203,New York
"Macy's Colonie in Albany, NY",https://www.macys.com/stores/ny/albany/colonie-center_83.html,42.709962,-73.818419,(518) 459-1950,200 Colonie Ctr ,Albany,NY,12205,New York
"Macy's Parkchester in Bronx, NY",https://www.macys.com/stores/ny/bronx/parkchester_22.html,40.836387,-73.861419,(718) 828-7000,1441 Metropolitan Ave Fl 2 ,Bronx,NY,10462,New York
"Macy's Bay Plaza in Bronx, NY",https://www.macys.com/stores/ny/bronx/mall-at-bay-plaza_82.html,40.862901,-73.827862,(929) 237-7200,250 Baychester Ave ,Bronx,NY,10475,New York
"Macy's Backstage Backstage Fordham Place in Bronx, NY",https://www.macys.com/stores/backstage/ny/bronx/fordham-place_907b.html,40.860893,-73.891798,(929) 285-3150,404 East Fordham Rd ,Bronx,NY,10458,New York
"Macy's Brooklyn Downtown in Brooklyn, NY",https://www.macys.com/stores/ny/brooklyn/downtown-brooklyn_2.html,40.690361,-73.986175,(718) 875-7200,422 Fulton St ,Brooklyn,NY,11201,New York
"Macy's Kings Plaza in Brooklyn, NY",https://www.macys.com/stores/ny/brooklyn/kings-plaza-shopping-center_6.html,40.61112,-73.919789,(718) 253-3100,5400 Avenue U ,Brooklyn,NY,11234,New York
"Macy's Backstage Backstage Sheepshead Bay in Brooklyn, NY",https://www.macys.com/stores/backstage/ny/brooklyn/sheepshead-bay_902b.html,40.584022,-73.946696,(929) 275-3490,2027 Emmons Avenue ,Brooklyn,NY,11235,New York
"Macy's Carle Place Furniture and Mattress Gallery in Carle Place, NY",https://www.macys.com/stores/ny/carleplace/carle-place-furniture-and-mattress-gallery_124.html,40.745464,-73.615704,(516) 742-8500,155 Glen Cove Road ,Carle Place,NY,11514,New York
"Macy's Carle Place Furniture Clearance Center in Carle Place, NY",https://www.macys.com/stores/ny/carleplace/carle-place-furniture-clearance-center_18.html,40.745464,-73.615704,(516) 742-8500,155 Glen Cover Road ,Carle Place,NY,11514,New York
"Macy's Queens Furniture and Mattress Gallery in Elmhurst, NY",https://www.macys.com/stores/ny/elmhurst/queens-furniture-and-mattress-gallery_125.html,40.735307,-73.874761,(718) 760-7101,88-01 Queens Boulevard ,Elmhurst,NY,11373,New York
"Macy's Queens - Rego Park in Elmhurst, NY",https://www.macys.com/stores/ny/elmhurst/queens-center-mall_1.html,40.734519,-73.871397,(718) 271-7200,9001 Queens Blvd ,Elmhurst,NY,11373,New York
"Macy's Backstage Queens Place in Elmhurst, NY",https://www.macys.com/stores/backstage/ny/elmhurst/queens-place-mall_905b.html,40.735307,-73.874761,(718) 489-5100,88-01 Queens Boulevard ,Elmhurst,NY,11373,New York
"Macy's Smith Haven in Lake Grove, NY",https://www.macys.com/stores/ny/lakegrove/smith-haven-mall_13.html,40.865002,-73.12776,(631) 724-4900,2 Smith Haven Mall ,Lake Grove,NY,11755,New York
"Macy's Smith Haven Furniture and Mattress Gallery in Lake Grove, NY",https://www.macys.com/stores/ny/lakegrove/smith-haven-mall_211.html,40.86527,-73.127671,(631) 240-2100,580 Smith Haven Mall ,Lake Grove,NY,11755,New York
"Macy's Staten Island in Staten Island, NY",https://www.macys.com/stores/ny/statenisland/staten-island-mall_7.html,40.585079,-74.166664,(718) 761-3000,100 Richmond Hill Rd ,Staten Island,NY,10314,New York
"Macy's Staten Island Furniture and Mattress Gallery in Staten Island, NY",https://www.macys.com/stores/ny/statenisland/staten-island-furniture-and-mattress-gallery_136.html,40.585179,-74.165952,(718) 494-4094,98 Richmond Hill Road ,Staten Island,NY,10314,New York
"Macy's SouthPark Mall in Charlotte, NC",https://www.macys.com/stores/nc/charlotte/southpark_787.html,35.153977,-80.831882,(704) 365-1000,4400 Sharon Rd Ste 502 ,Charlotte,NC,28211,North Carolina
"Macy's Northlake Mall in Charlotte, NC",https://www.macys.com/stores/nc/charlotte/northlake-mall_786.html,35.351177,-80.850353,(704) 599-8137,6845 Northlake Mall Dr ,Charlotte,NC,28216,North Carolina
"Macy's Triangle Town Center in Raleigh, NC",https://www.macys.com/stores/nc/raleigh/triangle-town-center_788.html,35.865598,-78.573816,(919) 760-1856,3801 Sumner Blvd ,Raleigh,NC,27616,North Carolina
"Macy's Crabtree Valley Mall in Raleigh, NC",https://www.macys.com/stores/nc/raleigh/crabtree_782.html,35.840454,-78.679593,(919) 510-8700,4325 Glenwood Ave Ste 1202 ,Raleigh,NC,27612,North Carolina
"Macy's Dayton in Centerville, OH",https://www.macys.com/stores/oh/centerville/dayton-mall_587.html,39.634664,-84.220247,(937) 439-2152,2700 Miamisburg Centerville Rd Ste 640,Centerville,OH,45459,Ohio
"Macy's Dayton Furniture Clearance in Centerville, OH",https://www.macys.com/stores/oh/centerville/dayton-mall_597.html,39.63405,-84.22051,(937) 439-2152,2700 Miamisburg Centerville Rd Ste 640,Centerville,OH,45459,Ohio
"Macy's Anderson Town Center in Cincinnati, OH",https://www.macys.com/stores/oh/cincinnati/anderson-towne-center_568.html,39.075081,-84.350998,(513) 624-4280,7440 Beechmont Ave ,Cincinnati,OH,45255,Ohio
"Macy's Kenwood Furniture and Mattress Gallery in Cincinnati, OH",https://www.macys.com/stores/oh/cincinnati/kenwood-square_571.html,39.19772,-84.378572,(513) 745-8980,7800 Montgomery Road Sycamore Plaza,Cincinnati,OH,45236,Ohio
"Macy's Kenwood Towne Center in Cincinnati, OH",https://www.macys.com/stores/oh/cincinnati/kenwood-towne-centre_560.html,39.2008741,-84.3784769,(513) 247-6400,7875 Montgomery Rd Stop 1 ,Cincinnati,OH,45236,Ohio
"Macy's Polaris Fashion Place in Columbus, OH",https://www.macys.com/stores/oh/columbus/polaris-fashion-place_586.html,40.144272,-82.98395,(614) 880-6300,1300 Polaris Pkwy ,Columbus,OH,43240,Ohio
"Macy's Easton Town Center in Columbus, OH",https://www.macys.com/stores/oh/columbus/easton-town-center_584.html,40.052995,-82.912606,(614) 342-2300,4141 Easton Loop E ,Columbus,OH,43219,Ohio
"Macy's Tuttle Crossing in Dublin, OH",https://www.macys.com/stores/oh/dublin/tuttle-crossing_585.html,40.07247,-83.132886,(614) 760-1200,5123 Tuttle Crossing Blvd ,Dublin,OH,43016,Ohio
"Macy's Tuttle Furniture and Mattress Gallery in Dublin, OH",https://www.macys.com/stores/oh/dublin/tuttle-furniture-and-mattress-gallery_596.html,40.070198,-83.13552,(614) 718-1108,5700 Britton Parkway ,Dublin,OH,43016,Ohio
"Macy's Tigard Furniture and Mattress Gallery in Tigard, OR",https://www.macys.com/stores/or/tigard/tigard-furniture-and-mattress-gallery_405.html,45.453719,-122.778437,(503) 207-7800,9009 SW Hall Blvd. ,Tigard,OR,97223,Oregon
"Macy's Washington Square in Tigard, OR",https://www.macys.com/stores/or/tigard/washington-square_392.html,45.450478,-122.781244,(503) 620-3311,9300 Sw Washington Square Rd ,Tigard,OR,97223,Oregon
"Macy's Center City Philadelphia in Philadelphia, PA",https://www.macys.com/stores/pa/philadelphia/wanamaker-building_213.html,39.951411,-75.162069,(215) 241-9000,1300 Market St ,Philadelphia,PA,19107,Pennsylvania
"Macy's Northeast (Roosevelt Mall) in Philadelphia, PA",https://www.macys.com/stores/pa/philadelphia/roosevelt-mall_155.html,40.04642,-75.054726,(215) 331-5500,2399 Cottman Ave ,Philadelphia,PA,19149,Pennsylvania
"Macy's South Hills Furniture and Mattress Gallery in Pittsburgh, PA",https://www.macys.com/stores/pa/pittsburgh/south-hills-village-mall_630.html,40.340128,-80.054818,(412) 854-6344,100 South Hills Village South Hills Village Mall,Pittsburgh,PA,15241,Pennsylvania
"Macy's Ross Park Mall in Pittsburgh, PA",https://www.macys.com/stores/pa/pittsburgh/ross-park-mall_620.html,40.540622,-80.008232,(412) 366-1400,1004 Ross Park Mall Dr ,Pittsburgh,PA,15237,Pennsylvania
"Macy's Ross Park Furniture and Mattress Gallery in Pittsburgh, PA",https://www.macys.com/stores/pa/pittsburgh/ross-park-mall_631.html,40.538908,-80.008911,(412) 630-4040,1014 Ross Park Mall Drive ,Pittsburgh,PA,15237,Pennsylvania
