name,url,latitude,longitude,telephone,street,city,state,zip,state_name
"Macy's Brea Furniture Clearance Center in Brea, CA",https://www.macys.com/stores/ca/brea/brea-furniture-clearance-center_489.html,33.914365,-117.884808,(714) 990-1400,200 Brea Mall ,Brea,CA,92821,California
"Macy's Brea Mall in Brea, CA",https://www.macys.com/stores/ca/brea/brea-mall_524.html,33.914365,-117.884808,(714) 990-1400,200 Brea Mall ,Brea,CA,92821,California
"Macy's Otay Ranch Town Center in Chula Vista, CA",https://www.macys.com/stores/ca/chulavista/otay-ranch-town-center_555.html,32.623801,-116.967741,(619) 591-7100,2015 Birch Rd Ste 2 ,Chula Vista,CA,91915,California
"Macy's Chula Vista Center in Chula Vista, CA",https://www.macys.com/stores/ca/chulavista/chula-vista-center_546.html,32.630326,-117.086118,(619) 427-1161,555 Broadway St Ste 0 ,Chula Vista,CA,91910,California
"Macy's Fresno Furniture and Mattress Gallery in Fresno, CA",https://www.macys.com/stores/ca/fresno/fresno-furniture-and-mattress-gallery_365.html,36.809612,-119.755483,(559) 222-6611,1732 E. Shaw Avenue ,Fresno,CA,93710,California
"Macy's Fashion Fair Mall in Fresno, CA",https://www.macys.com/stores/ca/fresno/fashion-fair-mall_359.html,36.806326,-119.779668,(559) 228-3333,4888 N Fresno St ,Fresno,CA,93726,California
"Macy's Shops at River Park in Fresno, CA",https://www.macys.com/stores/ca/fresno/river-park-shopping-center_369.html,36.850801,-119.789595,(559) 451-3333,7890 N Blackstone Ave ,Fresno,CA,93720,California
"Macy's Century City in Los Angeles, CA",https://www.macys.com/stores/ca/losangeles/westfield-century-city_518.html,34.05961,-118.419418,(310) 556-1611,10250 Santa Monica Blvd Dept 2 ,Los Angeles,CA,90067,California
"Macy's Eagle Rock Plaza in Los Angeles, CA",https://www.macys.com/stores/ca/losangeles/eagle-rock-plaza_509.html,34.14277,-118.226179,(323) 258-8303,2828 Colorado Blvd ,Los Angeles,CA,90041,California
"Macy's Downtown LA Plaza in Los Angeles, CA",https://www.macys.com/stores/ca/losangeles/bloc-plaza_487.html,34.048079,-118.258299,(213) 628-9311,750 W 7th St ,Los Angeles,CA,90017,California
"Macy's Beverly Center in Los Angeles, CA",https://www.macys.com/stores/ca/losangeles/beverly-center_512.html,34.075331,-118.377493,(310) 854-6655,8500 Beverly Blvd STE 136 ,Los Angeles,CA,90048,California
"Macy's Stoneridge Shopping Center in Pleasanton, CA",https://www.macys.com/stores/ca/pleasanton/stoneridge-shopping-center_333.html,37.69358,-121.928217,(925) 463-3333,1300 Stoneridge Mall Rd ,Pleasanton,CA,94588,California
"Macy's Pleasanton Furniture and Mattress Gallery in Pleasanton, CA",https://www.macys.com/stores/ca/pleasanton/rose-pavilion_343.html,37.699504,-121.875015,(925) 227-4800,4255 Rosewood Drive ,Pleasanton,CA,94588,California
"Macy's Roseville Furniture and Mattress Gallery in Roseville, CA",https://www.macys.com/stores/ca/roseville/ridge-at-creekside_415.html,38.770358,-121.262892,(916) 786-5333,1152 Galleria Blvd. ,Roseville,CA,95678,California
"Macy's Westfield Galleria at Roseville in Roseville, CA",https://www.macys.com/stores/ca/roseville/westfield-galleria-at-roseville_408.html,38.7753,-121.268399,(916) 771-3333,1197 Galleria Blvd ,Roseville,CA,95678,California
"Macy's Arden Fair Mall in Sacramento, CA",https://www.macys.com/stores/ca/sacramento/arden-fair-mall_407.html,38.599765,-121.424664,(916) 925-2845,1701 Arden Way ,Sacramento,CA,95815,California
"Macy's Sacramento Downtown Commons in Sacramento, CA",https://www.macys.com/stores/ca/sacramento/downtown-commons_406.html,38.580628,-121.501496,(916) 444-3333,414 K St ,Sacramento,CA,95814,California
"Macy's Mission Valley Home in San Diego, CA",https://www.macys.com/stores/ca/sandiego/mission-valley_553.html,32.768964,-117.146317,(619) 297-2511,1555 Camino De La Reina ,San Diego,CA,92108,California
"Macy's Westfield UTC in San Diego, CA",https://www.macys.com/stores/ca/sandiego/westfield-university-towne-center_547.html,32.869054,-117.212322,(858) 453-2060,4333 La Jolla Village Dr ,San Diego,CA,92122,California
"Macy's Fashion Valley in San Diego, CA",https://www.macys.com/stores/ca/sandiego/fashion-valley_544.html,32.767325,-117.167414,(619) 299-9811,7017 Friars Rd ,San Diego,CA,92108,California
"Macy's Eastridge in San Jose, CA",https://www.macys.com/stores/ca/sanjose/eastridge_362.html,37.326276,-121.814665,(408) 238-3333,2210 Eastridge Loop ,San Jose,CA,95122,California
"Macy's Westfield Oakridge in San Jose, CA",https://www.macys.com/stores/ca/sanjose/westfield-oakridge_360.html,37.253498,-121.863317,(408) 224-3333,5411 Thornwood Dr ,San Jose,CA,95123,California
"Macy's Hillsdale Mall in San Mateo, CA",https://www.macys.com/stores/ca/sanmateo/hillsdale-shopping-center_429.html,37.537993,-122.300795,(650) 341-3333,115 Hillsdale Mall ,San Mateo,CA,94403,California
"Macy's Hillsdale Furniture and Mattress Gallery in San Mateo, CA",https://www.macys.com/stores/ca/sanmateo/hillsdale-shopping-center_432.html,37.540773,-122.302885,(650) 350-1111,2838 South El Camino ,San Mateo,CA,94403,California
"Macy's Coddingtown Mall in Santa Rosa, CA",https://www.macys.com/stores/ca/santarosa/coddingtown-shopping-center_330.html,38.457953,-122.727856,(707) 579-3333,555 Coddingtown Ctr ,Santa Rosa,CA,95401,California
"Macy's Santa Rosa Plaza in Santa Rosa, CA",https://www.macys.com/stores/ca/santarosa/santa-rosa-plaza_325.html,38.440447,-122.717189,(707) 523-3333,800 Santa Rosa Plz ,Santa Rosa,CA,95401,California
"Macy's Cherry Creek Mall in Denver, CO",https://www.macys.com/stores/co/denver/cherry-creek-shopping-center_344.html,39.716214,-104.951293,(303) 390-2200,15 S Steele St ,Denver,CO,80209,Colorado
"Macy's Cherry Creek Furniture and Mattress Gallery in Denver, CO",https://www.macys.com/stores/co/denver/cherry-creek-shopping-center_357.html,39.717559,-104.956219,(303) 394-3333,3122 E. 1st Ave ,Denver,CO,80206,Colorado
"Macy's Northfield in Denver, CO",https://www.macys.com/stores/co/denver/shops-at-northfield_355.html,39.784447,-104.891839,(303) 227-7222,8298 E Northfield Blvd ,Denver,CO,80238,Colorado
"Macy's Altamonte Mall in Altamonte Springs, FL",https://www.macys.com/stores/fl/altamontesprings/altamonte-mall_812.html,28.66679,-81.377302,(407) 830-2300,451 E Altamonte Dr Ste 1201 ,Altamonte Springs,FL,32701,Florida
"Macy's Altamonte Furniture and Mattress Gallery in Altamonte Springs, FL",https://www.macys.com/stores/fl/altamontesprings/altamonte-furniture-and-mattress-gallery_820.html,28.6573168,-81.4160507,(407) 389-2500,820 West Town Parkway ,Altamonte Springs,FL,32714,Florida
"Macy's Boca Town Center in Boca Raton, FL",https://www.macys.com/stores/fl/bocaraton/town-center-at-boca-raton_757.html,26.36606,-80.131771,(561) 393-4400,5700 Glades Rd ,Boca Raton,FL,33431,Florida
"Macy's Boca Raton Furniture and Mattress Gallery in Boca Raton, FL",https://www.macys.com/stores/fl/bocaraton/glades-medical-center_767.html,26.368939,-80.192393,(561) 620-4500,9339 Glades Rd. ,Boca Raton,FL,33434,Florida
"Macy's Countryside Furniture and Mattress Gallery in Clearwater, FL",https://www.macys.com/stores/fl/clearwater/village-at-countryside_842.html,28.010876,-82.735154,(727) 712-5525,26256 U.S. Highway 19 North ,Clearwater,FL,33761,Florida
"Macy's Westfield Countryside in Clearwater, FL",https://www.macys.com/stores/fl/clearwater/countryside-mall_831.html,28.016118,-82.733204,(727) 724-7312,27001 Us Highway 19 N Ste 8280 ,Clearwater,FL,33761,Florida
"Macy's Galleria in Fort Lauderdale, FL",https://www.macys.com/stores/fl/fortlauderdale/galleria-at-fort-lauderdale_761.html,26.137023,-80.115565,(954) 537-2300,2314 E Sunrise Blvd ,Fort Lauderdale,FL,33304,Florida
"Macy's Fort Lauderdale Furniture and Mattress Gallery in Fort Lauderdale, FL",https://www.macys.com/stores/fl/fortlauderdale/federal-hwy_768.html,26.183831,-80.119251,(954) 567-6500,4501 N. Federal Highway ,Fort Lauderdale,FL,33308,Florida
"Macy's South Dade Furniture and Mattress Gallery in Miami, FL",https://www.macys.com/stores/fl/miami/south-dade-furniture-and-mattress-gallery_780.html,25.646866,-80.331424,(305) 254-5700,13251 South Dixie Highway ,Miami,FL,33156,Florida
"Macy's South Dade Furniture Clearance Center in Miami, FL",https://www.macys.com/stores/fl/miami/south-dade-furniture-clearance-center_779.html,25.646866,-80.331424,(305) 254-5711,13251 South Dixie Highway ,Miami,FL,33156,Florida
"Macy's Dadeland in Miami, FL",https://www.macys.com/stores/fl/miami/dadeland-mall_776.html,25.689532,-80.311565,(305) 662-3400,7303 N Kendall Dr ,Miami,FL,33156,Florida
"Macy's The Falls in Miami, FL",https://www.macys.com/stores/fl/miami/falls_777.html,25.64605,-80.340474,(305) 278-3300,9100 Sw 136th St ,Miami,FL,33176,Florida
"Macy's Orlando Fashion Square in Orlando, FL",https://www.macys.com/stores/fl/orlando/orlando-fashion-square_813.html,28.555161,-81.340106,(407) 896-5300,3505 E Colonial Dr ,Orlando,FL,32803,Florida
"Macy's The Mall at Millenia in Orlando, FL",https://www.macys.com/stores/fl/orlando/mall-at-millenia_810.html,28.48742,-81.433456,(407) 264-2300,4298 Millenia Blvd ,Orlando,FL,32839,Florida
"Macy's Florida Mall in Orlando, FL",https://www.macys.com/stores/fl/orlando/florida-mall_811.html,28.446638,-81.394995,(407) 854-2300,8001 S Orange Blossom Trl Ste 1100 Ste 1100,Orlando,FL,32809,Florida
"Macy's Pembroke Lakes Mall in Pembroke Pines, FL",https://www.macys.com/stores/fl/pembrokepines/pembroke-lakes-mall_771.html,26.011492,-80.302443,(954) 438-2400,11605 Pines Blvd ,Pembroke Pines,FL,33026,Florida
"Macy's Pembroke Pines Furniture and Mattress Gallery in Pembroke Pines, FL",https://www.macys.com/stores/fl/pembrokepines/pines-blvd_775.html,26.005624,-80.329845,(954) 438-2500,13640 Pines Blvd. ,Pembroke Pines,FL,33027,Florida
"Macy's University Town Center in Sarasota, FL",https://www.macys.com/stores/fl/sarasota/mall-at-university-town-center_828.html,27.385002,-82.450828,(941) 232-7300,110 University Town Center Dr ,Sarasota,FL,34243,Florida
"Macy's Westfield Siesta Key in Sarasota, FL",https://www.macys.com/stores/fl/sarasota/crossings-at-siesta-key_824.html,27.300561,-82.52815,(941) 329-3300,3501 S Tamiami Trl Ste 600 ,Sarasota,FL,34239,Florida
"Macy's WestShore Plaza in Tampa, FL",https://www.macys.com/stores/fl/tampa/westshore-plaza_830.html,27.948003,-82.528333,(813) 286-5300,298 Westshore Plz ,Tampa,FL,33609,Florida
"Macy's Westfield Citrus Park in Tampa, FL",https://www.macys.com/stores/fl/tampa/citrus-park-town-center_832.html,28.068067,-82.573376,(813) 926-7300,7801 Citrus Park Town Ctr ,Tampa,FL,33625,Florida
"Macy's North Point Mall in Alpharetta, GA",https://www.macys.com/stores/ga/alpharetta/north-point-mall_732.html,34.045646,-84.297134,(770) 410-2600,5000 N Point Cir ,Alpharetta,GA,30022,Georgia
"Macy's North Point Furniture and Mattress Gallery in Alpharetta, GA",https://www.macys.com/stores/ga/alpharetta/mansell-crossing_742.html,34.044704,-84.303094,(678) 795-2512,7231 North Point Parkway ,Alpharetta,GA,30022,Georgia
"Macy's Cumberland Mall in Atlanta, GA",https://www.macys.com/stores/ga/atlanta/cumberland-mall_744.html,33.880964,-84.470022,(770) 434-2600,2860 Cumberland Mall Se Ste 1300 ,Atlanta,GA,30339,Georgia
"Macy's Lenox  Square Mall in Atlanta, GA",https://www.macys.com/stores/ga/atlanta/lenox-square_730.html,33.847848,-84.363602,(404) 231-2800,3393 Peachtree Rd Ne Ste 8480 ,Atlanta,GA,30326,Georgia
"Macy's Perimeter Furniture Showroom and Mattress Gallery in Atlanta, GA",https://www.macys.com/stores/ga/atlanta/perimeter-mall_741.html,33.923972,-84.340998,(770) 396-2800,4300 Ashford Dunwoody Road ,Atlanta,GA,30346,Georgia
"Macy's Northlake Mall in Atlanta, GA",https://www.macys.com/stores/ga/atlanta/northlake-mall_738.html,33.849384,-84.254541,(770) 491-2985,4880 Briarcliff Rd Ne ,Atlanta,GA,30345,Georgia
"Macy's Gwinnett Place Mall in Duluth, GA",https://www.macys.com/stores/ga/duluth/gwinnett-place-mall_734.html,33.957533,-84.133053,(770) 497-2600,2100 Pleasant Hill Rd Ste 2318 ,Duluth,GA,30096,Georgia
"Macy's Gwinnett  Furniture and Mattress Gallery in Duluth, GA",https://www.macys.com/stores/ga/duluth/gwinnett-furniture-and-mattress-gallery_740.html,33.957336,-84.124568,(770) 623-2200,3360 Ventura Parkway ,Duluth,GA,30096,Georgia
"Macy's Town Center Furniture Clearance Center (GA) in Kennesaw, GA",https://www.macys.com/stores/ga/kennesaw/town-center-at-cobb_755.html,34.017369,-84.564255,(678) 290-2525,400 Ernest G Barrett Parkway ,Kennesaw,GA,30144,Georgia
"Macy's Town Center Furniture and Mattress Gallery in Kennesaw, GA",https://www.macys.com/stores/ga/kennesaw/town-center-at-cobb_756.html,34.017369,-84.564255,(678) 290-2500,400 Ernest W Barrett Parkway ,Kennesaw,GA,30144,Georgia
"Macy's Town Center Mall in Kennesaw, GA",https://www.macys.com/stores/ga/kennesaw/town-center-at-cobb_743.html,34.017369,-84.564255,(770) 423-2600,400 Ernest W Barrett Pkwy Nw Ste 400,Kennesaw,GA,30144,Georgia
"Macy's Ala Moana Center in Honolulu, HI",https://www.macys.com/stores/hi/honolulu/ala-moana-center_466.html,21.291288,-157.842965,(808) 941-2345,1450 Ala Moana Blvd Ste 1300,Honolulu,HI,96814,Hawaii
"Macy's Waikiki Beachcomber by Outrigger in Honolulu, HI",https://www.macys.com/stores/hi/honolulu/international-market-place_473.html,21.278114,-157.827235,(808) 926-5217,2314 Kalakaua Ave ,Honolulu,HI,96815,Hawaii
"Macy's Kahala Mall in Honolulu, HI",https://www.macys.com/stores/hi/honolulu/kahala-mall_470.html,21.275517,-157.786481,(808) 737-5429,4211 Waialae Ave Ste 1010 ,Honolulu,HI,96816,Hawaii
"Macy's By Macys Evergreen Plaza in Evergreen Park, IL",https://www.macys.com/stores/il/evergreenpark/evergreen-plaza-shopping-center_723.html,41.71758,-87.6821,(708) 459-6320,9700 South Westen Avenue ,Evergreen Park,IL,60805,Illinois
"Macy's Backstage By Macys Evergreen Plaza in Evergreen Park, IL",https://www.macys.com/stores/backstage/il/evergreenpark/evergreen-plaza-shopping-center_723b.html,41.71758,-87.6821,(708) 459-6320,9700 South Westen Avenue ,Evergreen Park,IL,60805,Illinois
"Macy's Oak Park in Overland Park, KS",https://www.macys.com/stores/ks/overlandpark/oak-park-mall_610.html,38.955912,-94.716949,(913) 888-4910,11201 W 95th St ,Overland Park,KS,66214,Kansas
"Macy's Oak Park Furniture and Mattress Gallery in Overland Park, KS",https://www.macys.com/stores/ks/overlandpark/oak-park-mall_619.html,38.954395,-94.716756,(913) 888-4910,11845 West 95th Street ,Overland Park,KS,66214,Kansas
"Macy's Somerset in Troy, MI",https://www.macys.com/stores/mi/troy/somerset-collection_301.html,42.562926,-83.182275,(248) 816-4000,2750 W Big Beaver Rd ,Troy,MI,48084,Michigan
"Macy's Oakland in Troy, MI",https://www.macys.com/stores/mi/troy/oakland-mall_303.html,42.537526,-83.113486,(248) 597-2200,500 W 14 Mile Rd ,Troy,MI,48083,Michigan
"Macy's Southdale in Edina, MN",https://www.macys.com/stores/mn/edina/southdale-center_231.html,44.881449,-93.326451,(952) 924-6600,100 Southdale Ctr ,Edina,MN,55435,Minnesota
"Macy's le Furniture Clearance Center in Edina, MN",https://www.macys.com/stores/mn/edina/le-furniture-clearance-center_225.html,44.87163,-93.32723,(952) 924-6600,7235 France Avenue South ,Edina,MN,55435,Minnesota
"Macy's Southdale Furniture and Mattress Gallery in Edina, MN",https://www.macys.com/stores/mn/edina/southdale-furniture-and-mattress-gallery_234.html,44.87152,-93.327319,(952) 896-2160,7235 France Avenue South ,Edina,MN,55435,Minnesota
"Macy's Rosedale Furniture and Mattress Gallery in Roseville, MN",https://www.macys.com/stores/mn/roseville/rose-mall_246.html,45.009488,-93.158073,(651) 639-2040,1375 Commerce Street ,Roseville,MN,55113,Minnesota
"Macy's Rosedale in Roseville, MN",https://www.macys.com/stores/mn/roseville/rosedale-center_233.html,45.013158,-93.172039,(651) 639-6600,900 Rosedale Ctr Ste B,Roseville,MN,55113,Minnesota
"Macy's Summerlin in Las Vegas, NV",https://www.macys.com/stores/nv/lasvegas/downtown-summerlin_558.html,36.147636,-115.334054,(702) 854-6229,2075 Festival Plaza Dr ,Las Vegas,NV,89135,Nevada
"Macy's Fashion Show in Las Vegas, NV",https://www.macys.com/stores/nv/lasvegas/fashion-show-las-vegas_532.html,36.128213,-115.172998,(702) 731-5111,3200 Las Vegas Blvd S Ste 200 ,Las Vegas,NV,89109,Nevada
"Macy's Meadows Mall in Las Vegas, NV",https://www.macys.com/stores/nv/lasvegas/meadows-mall_539.html,36.173355,-115.195821,(702) 258-2100,4100 Meadows Ln ,Las Vegas,NV,89107,Nevada
"Macy's Las Vegas Home in Las Vegas, NV",https://www.macys.com/stores/nv/lasvegas/shan-tau-square_543.html,36.126339,-115.200572,(702) 579-6333,4450 Spring Mountain Rd ,Las Vegas,NV,89102,Nevada
"Macy's Market Square in Las Vegas, NV",https://www.macys.com/stores/nv/lasvegas/market-square_721.html,36.06439,-115.24466,(702) 854-6165,7020 Arroyo Crossing Pkwy ,Las Vegas,NV,89118,Nevada
