store_number,street,city,state,zip,latitude,longitude,state_name,brand,updated
8344,966 Route 17 N,Ramsey,NJ,07446,41.06598639,-74.13065176,New Jersey,Wawa,2024-03-10
8326,150 Essex Street,Lodi,NJ,07644-2701,40.89193,-74.073249,New Jersey,Wawa,2024-03-10
8338,505 S River Street,Hackensack,NJ,07601-6621,40.8627,-74.0363,New Jersey,Wawa,2024-03-10
8335,7 Jewell St,Garfield,NJ,07026-3715,40.881211,-74.119048,New Jersey,Wawa,2024-03-10
8353,7408 Tonnelle Ave,North Bergen,NJ,07047,40.803289,-74.019006,New Jersey,Wawa,2024-03-10
8457,1512 Route 23,Butler,NJ,07405,41.003617,-74.356339,New Jersey,Wawa,2024-03-10
8487,1512 Route 23,Wayne,NJ,07470,40.935548,-74.268438,New Jersey,Wawa,2024-03-10
8349,28 Little Falls Road,Fairfield,NJ,07004,40.888292,-74.273566,New Jersey,Wawa,2024-03-10
8441,11 South Franklin Ave,Belleville,NJ,07109,40.78890123,-74.17269903,New Jersey,Wawa,2024-03-10
8318,200 Harrison Ave,Kearny,NJ,07032,40.748888,-74.13657,New Jersey,Wawa,2024-03-10
8438,1 Njsh 15,Augusta,NJ,07822,41.119196,-74.712797,New Jersey,Wawa,2024-03-10
8455,164 Main Street,Orange,NJ,07050,40.76999624,-74.22589676,New Jersey,Wawa,2024-03-10
8302,350 New Road & Edwards Road,Parsippany,NJ,07054,40.85007,-74.350742,New Jersey,Wawa,2024-03-10
8488,370 Rt 46 East,Mountain Lakes,NJ,07046,40.885046,-74.463744,New Jersey,Wawa,2024-03-10
8429,767 State Route 15 South,Lake Hopatcong,NJ,07849,40.9615,-74.597,New Jersey,Wawa,2024-03-10
8350,1511 Springfield Ave,Maplewood,NJ,07040,40.723,-74.2525,New Jersey,Wawa,2024-03-10
8410,28 Route 10,East Hanover,NJ,07936,40.8129,-74.3916,New Jersey,Wawa,2024-03-10
8320,595 Spring St,Elizabeth,NJ,07201-2028,40.67318,-74.199879,New Jersey,Wawa,2024-03-10
8465,1750 Route 22 East,Union,NJ,07083,40.695865,-74.25417,New Jersey,Wawa,2024-03-10
8445,685 Morris Turnpike,Springfield,NJ,07081,40.7177,-74.3296,New Jersey,Wawa,2024-03-10
8439,1951 E Edgar Road,Linden,NJ,07036,40.645463,-74.227328,New Jersey,Wawa,2024-03-10
8434,358 Route 10,Randolph,NJ,07869,40.864715,-74.55761,New Jersey,Wawa,2024-03-10
8392,1187 St. George Avenue,Roselle,NJ,07203,40.646996,-74.249952,New Jersey,Wawa,2024-03-10
8379,500 North Avenue E.,Cranford,NJ,07016,40.658785,-74.284304,New Jersey,Wawa,2024-03-10
8497,800 W. Edgar Road,Linden,NJ,07036,40.619175,-74.251091,New Jersey,Wawa,2024-03-10
8389,280 St. George Avenue,Rahway,NJ,07065,40.595664,-74.29133,New Jersey,Wawa,2024-03-10
8323,930 Us Highway 1 North,Avenel,NJ,07001-1321,40.577105,-74.287018,New Jersey,Wawa,2024-03-10
8464,1470 South Avenue,Plainfield,NJ,07062,40.63461741,-74.39272734,New Jersey,Wawa,2024-03-10
8306,75 Appleton Avenue,Leonardo,NJ,07737-1348,40.415506,-74.066539,New Jersey,Wawa,2024-03-10
8317,440 King Georges Road,Woodbridge,NJ,07095-1019,40.536127,-74.297496,New Jersey,Wawa,2024-03-10
8397,855 Us 22 & Wilson Ave,North Plainfield,NJ,07060,40.624212,-74.443518,New Jersey,Wawa,2024-03-10
8460,1230 Hwy 35,Middletown,NJ,07748-2013,40.39775537,-74.11400196,New Jersey,Wawa,2024-03-10
8417,1413 Highway 36,Hazlet,NJ,07730,40.429535,-74.189817,New Jersey,Wawa,2024-03-10
8026,5121 Milford Road,East Stroudsburg,PA,18302-9106,41.055439,-75.094108,Pennsylvania,Wawa,2024-03-10
8390,299 Mountain Ave,Hackettstown,NJ,07840,40.83658,-74.822702,New Jersey,Wawa,2024-03-10
0976,204 Highway 35,Keyport,NJ,07735,40.440449,-74.22501,New Jersey,Wawa,2024-03-10
0790,14 North Bridge Ave.,Red Bank,NJ,07701,40.351151,-74.076,New Jersey,Wawa,2024-03-10
8365,2720 Woodbridge Ave,Edison,NJ,08837,40.511759,-74.363493,New Jersey,Wawa,2024-03-10
8386,555 New Durham Rd,Piscataway,NJ,08854,40.545893,-74.426042,New Jersey,Wawa,2024-03-10
8404,969 Route 9,South Amboy,NJ,08879,40.46075,-74.295154,New Jersey,Wawa,2024-03-10
8406,580 Route 1,Edison,NJ,08817,40.5067,-74.393305,New Jersey,Wawa,2024-03-10
8368,151A Highway 35,Eatontown,NJ,07724,40.294496,-74.052162,New Jersey,Wawa,2024-03-10
0934,177 Highway 34,Matawan,NJ,07747-2130,40.425542,-74.28648,New Jersey,Wawa,2024-03-10
8450,308 Highway 35,Eatontown,NJ,07724,40.279043,-74.047547,New Jersey,Wawa,2024-03-10
0781,42 Washington Road (@ Jernee M,Sayreville,NJ,08872,40.454984,-74.367611,New Jersey,Wawa,2024-03-10
8341,580 Union Ave,Bridgewater,NJ,08807-3146,40.567578,-74.563748,New Jersey,Wawa,2024-03-10
0983,656 Old Bridge Pike,South River,NJ,08882,40.46173096,-74.4005127,New Jersey,Wawa,2024-03-10
8369,1611 Route 35,Oakhurst,NJ,07755,40.25305,-74.038746,New Jersey,Wawa,2024-03-10
8376,607 Somerset St,Somerset,NJ,08873,40.486792,-74.470439,New Jersey,Wawa,2024-03-10
0112,207 Prospect Street,East Stroudsburg,PA,18301,40.993871,-75.17708,Pennsylvania,Wawa,2024-03-10
8435,933 Livingston Ave,North Brunswick,NJ,08902,40.470858,-74.469515,New Jersey,Wawa,2024-03-10
0914,426 Ryders Land,East Brunswick,NJ,08816-2763,40.435901,-74.422174,New Jersey,Wawa,2024-03-10
8412,1910 Route 27,North Brunswick,NJ,08902,40.46100722,-74.50704742,New Jersey,Wawa,2024-03-10
0940,1453 Rt. 18,Old Bridge,NJ,08857,40.390819,-74.339881,New Jersey,Wawa,2024-03-10
8315,3600 Rt 9 South,Old Bridge,NJ,08857-3516,40.377509,-74.308024,New Jersey,Wawa,2024-03-10
8366,3222 Rt. 27,Kendall Park,NJ,08824,40.432618,-74.547359,New Jersey,Wawa,2024-03-10
8660,1215 Seminole Trail,Charlottesville,VA,22901,38.06995296,-78.4842721,Virginia,Wawa,2024-03-10
8659,3267 Proffit Rd,Charlottesville,VA,22911,38.13224965,-78.43423773,Virginia,Wawa,2024-03-10
