locationNumber,store_id,address1,address2,city,state,latitude,longitude,store_type,store_name,phone_number,state_name,brand,updated
1,80110001,31451 B CHERRY HILL RD,,WESTLAND,MI,42.308545,-83.351899,C,,(734) 427-2820,Michigan,Little Caesars,2024-11-01
2,80110003,8292 N. MERRIMAN RD,,WESTLAND,MI,42.348818,-83.350871,C,,(734) 425-1450,Michigan,Little Caesars,2024-11-01
3,33990002,38960 CHERRY HILL RD,,WESTLAND,MI,42.309349,-83.423709,F,,(734) 722-0290,Michigan,Little Caesars,2024-11-01
4,80110005,2051 COOLIDGE ROAD,,BERKLEY,MI,42.491196,-83.183876,C,,(248) 541-0444,Michigan,Little Caesars,2024-11-01
5,19970003,25909 5 MILE,,REDFORD,MI,42.398937,-83.29789,F,,(313) 533-6170,Michigan,Little Caesars,2024-11-01
6,19970002,24492 W 10 MILE RD,,SOUTHFIELD,MI,42.472227,-83.284547,F,,(248) 355-2334,Michigan,Little Caesars,2024-11-01
8,12370001,7211 ALLEN RD,,ALLEN PARK,MI,42.256186,-83.214049,F,,(313) 382-8881,Michigan,Little Caesars,2024-11-01
10,12370002,23110 OUTER DRIVE,,ALLEN PARK,MI,42.276643,-83.214628,F,,(313) 562-7540,Michigan,Little Caesars,2024-11-01
13,81110015,2024 E. 8 MILE ROAD,BELMONT SHOPPING CENTER,DETROIT,MI,42.446408,-83.080522,C,,(313) 892-7570,Michigan,Little Caesars,2024-11-01
14,80110016,4052 E 14 MILE RD,,WARREN,MI,42.534828,-83.067162,C,,(586) 268-8686,Michigan,Little Caesars,2024-11-01
16,81110018,14351 HARPER,,DETROIT,MI,42.404671,-82.965218,C,,(313) 372-5900,Michigan,Little Caesars,2024-11-01
17,18340004,33344 WOODWARD AVENUE,,BIRMINGHAM,MI,42.53449,-83.201712,F,,(248) 723-1355,Michigan,Little Caesars,2024-11-01
18,37890001,30820 SOUTHFIELD ROAD,COUNTRY CORNER SHOPPING CENTER,SOUTHFIELD,MI,42.516297,-83.222574,F,,(248) 644-6822,Michigan,Little Caesars,2024-11-01
20,38490026,5961 HIGHLAND ROAD,,WATERFORD,MI,42.659306,-83.403877,F,,(248) 674-0472,Michigan,Little Caesars,2024-11-01
21,17370003,7633 MICHIGAN AVENUE,,DETROIT,MI,42.330788,-83.137071,F,,(313) 843-6262,Michigan,Little Caesars,2024-11-01
22,81110024,10200 W 7 MILE RD,,DETROIT,MI,42.431305,-83.163208,C,,(313) 345-8333,Michigan,Little Caesars,2024-11-01
24,33990003,1171 S WAYNE ROAD,,WESTLAND,MI,42.300594,-83.388008,F,,(734) 728-3700,Michigan,Little Caesars,2024-11-01
25,80110027,19619 MACK AVE,,GROSSE POINTE WOODS,MI,42.425793,-82.910141,C,,(313) 884-0450,Michigan,Little Caesars,2024-11-01
28,80110030,8801 W. 9 MILE RD,,OAK PARK,MI,42.459755,-83.161583,C,,(248) 542-6866,Michigan,Little Caesars,2024-11-01
29,80110031,936 SOUTHFIELD RD,,LINCOLN PARK,MI,42.248531,-83.170431,C,,(313) 386-7750,Michigan,Little Caesars,2024-11-01
30,12510001,29205 DEQUINDRE RD,,MADISON HEIGHTS,MI,42.507105,-83.085996,F,,(248) 548-9191,Michigan,Little Caesars,2024-11-01
31,80110034,26056 FORD ROAD,,DEARBORN HEIGHTS,MI,42.326835,-83.295299,C,,(313) 561-2450,Michigan,Little Caesars,2024-11-01
33,20150001,27301 HARPER AVE,,SAINT CLAIR SHORES,MI,42.492373,-82.897795,F,,(586) 773-0520,Michigan,Little Caesars,2024-11-01
35,36470023,31541 HARPER AVENUE,,ST CLAIR SHORES,MI,42.527168,-82.894585,F,,(586) 294-6300,Michigan,Little Caesars,2024-11-01
36,81110039,19400 W. 7 MILE RD,,DETROIT,MI,42.429832,-83.233757,C,,(313) 387-2400,Michigan,Little Caesars,2024-11-01
40,81110043,530 EAST WARREN,,DETROIT,MI,42.358727,-83.057701,C,,(313) 832-2200,Michigan,Little Caesars,2024-11-01
41,17370002,13222 WOODWARD AVE,H.P. GATEWAY PLAZA,HIGHLAND PARK,MI,42.402412,-83.094666,F,,(313) 869-6300,Michigan,Little Caesars,2024-11-01
43,80110046,25665 JOY ROAD,,DEARBORN HEIGHTS,MI,42.35574,-83.293327,C,,(313) 278-6270,Michigan,Little Caesars,2024-11-01
45,36470026,39050 VAN DYKE AVE,,STERLING HEIGHTS,MI,42.582317,-83.029297,F,,(586) 264-0300,Michigan,Little Caesars,2024-11-01
46,19970001,3853 MONROE,,DEARBORN,MI,42.282278,-83.250894,F,,(313) 563-3520,Michigan,Little Caesars,2024-11-01
49,32500001,4556 HOWE RD,,WAYNE,MI,42.274404,-83.372916,F,,(734) 729-4700,Michigan,Little Caesars,2024-11-01
51,80110057,41527 W. 10 MILE ROAD,,NOVI,MI,42.466676,-83.456781,C,,(248) 349-6650,Michigan,Little Caesars,2024-11-01
52,13030002,21019 FARMINGTON ROAD,,FARMINGTON HILLS,MI,42.444369,-83.376219,F,,(248) 474-5353,Michigan,Little Caesars,2024-11-01
53,81110059,14319 GREENFIELD,,DETROIT,MI,42.39193,-83.198715,C,,(313) 838-8930,Michigan,Little Caesars,2024-11-01
54,32500002,9319 WAYNE RD,,ROMULUS,MI,42.236221,-83.385666,F,,(734) 942-9340,Michigan,Little Caesars,2024-11-01
55,38490023,453 NORTH PERRY STREET,,PONTIAC,MI,42.648232,-83.286797,F,,(248) 335-6151,Michigan,Little Caesars,2024-11-01
