store_id,store_name,street,city,state,zip,url,latitude,longitude,state_name,brand,updated
2242860,Richmond,3600 Klose Way,Richmond,CA,94806,https://locations.99only.com/ca/richmond/discount-store-297.html,37.9825283,-122.3179684,California,99 Cents Only,2024-07-27
2242779,San Leandro,699 Lewelling Boulevard,San Leandro,CA,94578,https://locations.99only.com/ca/sanleandro/discount-store-180.html,37.6878718,-122.1351291,California,99 Cents Only,2024-07-27
2242809,Hayward,20882 Mission Blvd,Hayward,CA,94541,https://locations.99only.com/ca/hayward/discount-store-217.html,37.684944,-122.0980352,California,99 Cents Only,2024-07-27
2242872,Fremont,41989 Fremont Blvd,Fremont,CA,94538,https://locations.99only.com/ca/fremont/discount-store-320.html,37.5243848,-121.9584204,California,99 Cents Only,2024-07-27
2242820,Antioch,2515 Somersville Rd,Antioch,CA,94509,https://locations.99only.com/ca/antioch/discount-store-228.html,38.0002186,-121.8385581,California,99 Cents Only,2024-07-27
2242844,San Jose,1915 W. San Carlos St,San Jose,CA,95128,https://locations.99only.com/ca/sanjose/discount-store-270.html,37.3237555,-121.9292671,California,99 Cents Only,2024-07-27
2242697,Silverlake,3600 W. Sunset Blvd,Los Angeles,CA,90026,https://locations.99only.com/ca/losangeles/discount-store-83.html,34.08999,-118.27736,California,99 Cents Only,2024-07-27
2242680,Los Angeles - Washington,422 E. Washington Blvd,Los Angeles,CA,90015,https://locations.99only.com/ca/losangeles/discount-store-62.html,34.0287877,-118.2611832,California,99 Cents Only,2024-07-27
2242681,Sunset,5270 Sunset Blvd,Los Angeles,CA,90027,https://locations.99only.com/ca/losangeles/discount-store-63.html,34.0976862,-118.3050067,California,99 Cents Only,2024-07-27
2242698,La Brea,852 N. La Brea Ave,Los Angeles,CA,90038,https://locations.99only.com/ca/losangeles/discount-store-84.html,34.0868782,-118.3437293,California,99 Cents Only,2024-07-27
2242651,Fairfax,601 S. Fairfax Ave,Los Angeles,CA,90036,https://locations.99only.com/ca/losangeles/discount-store-16.html,34.0646705,-118.3616753,California,99 Cents Only,2024-07-27
2242661,Wilshire,6121 Wilshire Blvd,Los Angeles,CA,90048,https://locations.99only.com/ca/losangeles/discount-store-41.html,34.0634111,-118.3623813,California,99 Cents Only,2024-07-27
2242677,East LA,3451 Whittier Blvd,Los Angeles,CA,90023,https://locations.99only.com/ca/losangeles/discount-store-59.html,34.0272627,-118.1990224,California,99 Cents Only,2024-07-27
2242656,Huntington Park - Pacific,6124 Pacific Blvd,Huntington Park,CA,90255,https://locations.99only.com/ca/huntingtonpark/discount-store-33.html,33.9846696,-118.224805,California,99 Cents Only,2024-07-27
2242732,Highland Park,6235 York Blvd,Los Angeles,CA,90042,https://locations.99only.com/ca/losangeles/discount-store-125.html,34.1152155,-118.1827535,California,99 Cents Only,2024-07-27
