store_number,address,city,state,zip,latitude,longitude,phone,state_name,brand,updated
7671,2404 University Blvd E,Tuscaloosa,AL,35404-4142,33.205627,-87.502162,2054628535,Alabama,Dollar General,2024-03-13
11229,1650 Crescent Ridge Rd Ne,Tuscaloosa,AL,35404-1724,33.233858,-87.481719,2054628595,Alabama,Dollar General,2024-03-13
1558,4628 University Blvd E St,Tuscaloosa,AL,35404-5189,33.196091,-87.475761,2054628608,Alabama,Dollar General,2024-03-13
8939,200 14th St,Tuscaloosa,AL,35401-2082,33.200724,-87.537238,2058612865,Alabama,Dollar General,2024-03-13
8921,2600 Mcfarland Blvd E #0,Tuscaloosa,AL,35405-1810,33.1861,-87.5263,2054628730,Alabama,Dollar General,2024-03-13
4157,1717 Skyland Blvd E,Tuscaloosa,AL,35405-4235,33.1683,-87.5145,2058612860,Alabama,Dollar General,2024-03-13
9730,3116 Stillman Blvd,Tuscaloosa,AL,35401-2211,33.2041,-87.5781,2054628601,Alabama,Dollar General,2024-03-13
9118,1913 Lurleen Wallace Blvd,Northport,AL,35476-3171,33.2293,-87.5763,2057226285,Alabama,Dollar General,2024-03-13
10113,6520 Hargrove Rd E,Tuscaloosa,AL,35405-7756,33.146578,-87.473359,2054698555,Alabama,Dollar General,2024-03-13
11520,5225 Highway 69 N,Northport,AL,35473-2042,33.2571,-87.5707,2055234159,Alabama,Dollar General,2024-03-13
23593,6349 Highway 69 S,Tuscaloosa,AL,35405,33.1538,-87.5476,6592250440,Alabama,Dollar General,2024-03-13
8600,655 Bear Creek Rd,Tuscaloosa,AL,35405-5958,33.144778,-87.54666,2054628616,Alabama,Dollar General,2024-03-13
7806,4419 Highway 43 N,Northport,AL,35473-2424,33.251184,-87.602553,2054628580,Alabama,Dollar General,2024-03-13
12664,3600 Culver Rd,Tuscaloosa,AL,35401-9509,33.181283,-87.611339,2058721665,Alabama,Dollar General,2024-03-13
23107,10424 Old Greensboro Rd,Tuscaloosa,AL,35405-9138,33.11157,-87.55977,6592330593,Alabama,Dollar General,2024-03-13
10930,4801 Rose Blvd,Northport,AL,35476-5950,33.303674,-87.605289,2058721651,Alabama,Dollar General,2024-03-13
12641,11573 Hwy 82 E,Duncanville,AL,35456-1652,33.09003,-87.45824,2056149985,Alabama,Dollar General,2024-03-13
10746,15343 Highway 11 N,Coaling,AL,35453-2408,33.1702,-87.3425,2056322075,Alabama,Dollar General,2024-03-13
12895,13870 Highway 69 S,Tuscaloosa,AL,35405-9074,33.080052,-87.560288,2056320365,Alabama,Dollar General,2024-03-13
4237,16124 Ste B Hwy 216,Brookwood,AL,35444-3756,33.2613,-87.3133,2054628530,Alabama,Dollar General,2024-03-13
11292,14590 Highway 82 W,Coker,AL,35452-3500,33.250536,-87.685375,2057376110,Alabama,Dollar General,2024-03-13
17441,15088 Hwy 43 N,Northport,AL,35475-4300,33.3495,-87.6112,2055234581,Alabama,Dollar General,2024-03-13
21689,16458 Highway 69 N,Northport,AL,35475-5200,33.385,-87.5446,2054698660,Alabama,Dollar General,2024-03-13
16166,13491 Hwy 11 South,Fosters,AL,35463-9501,33.094362,-87.687134,2058612920,Alabama,Dollar General,2024-03-13
23220,10909 Public Safety Dr,Vance,AL,35490-2445,33.17556,-87.23372,6592500468,Alabama,Dollar General,2024-03-13
23134,12505 Boyd Rd,Echola,AL,35457,33.27951,-87.77952,2057371802,Alabama,Dollar General,2024-03-13
1075,40707 Al Highway 69,Moundville,AL,35474-4354,33.003171,-87.617397,2054628700,Alabama,Dollar General,2024-03-13
24655,35481 Al Highway 69 S,Moundville,AL,35474,32.9847,-87.6249,9566661045,Alabama,Dollar General,2024-03-13
6314,12915 Northside Rd,Northport,AL,35475,33.46649,-87.62744,2054628140,Alabama,Dollar General,2024-03-13
7580,28716 Hwy 5 Ste 3,Woodstock,AL,35188-0248,33.213877,-87.161806,2058750070,Alabama,Dollar General,2024-03-13
16312,13079 Broadway Dr,Mccalla,AL,35111-1519,33.279345,-87.153356,2054177213,Alabama,Dollar General,2024-03-13
21460,20861 Eastern Valley Rd,Mccalla,AL,35111-5533,33.2266,-87.1232,2057740387,Alabama,Dollar General,2024-03-13
11293,4900 Truman Aldrich Pkwy,West Blocton,AL,35184-2100,33.115288,-87.129121,2058750061,Alabama,Dollar General,2024-03-13
7987,22583 Highway 216,Mccalla,AL,35111-2705,33.2781,-87.0877,2058810580,Alabama,Dollar General,2024-03-13
3291,25157 Hwy 82 E,Gordo,AL,35466-0229,33.3211,-87.9095,2056564098,Alabama,Dollar General,2024-03-13
19386,9083 Lock 17 Rd,Adger,AL,35006-1169,33.4497,-87.1474,2052770783,Alabama,Dollar General,2024-03-13
25015,13752 Doughty Rd,Berry,AL,35546-3610,33.5621,-87.6579,2055454722,Alabama,Dollar General,2024-03-13
14314,2517 County Rd 36,Akron,AL,35441-2048,32.870666,-87.721232,2056143885,Alabama,Dollar General,2024-03-13
22196,7710 Highway 5,Brent,AL,35034-3443,32.9234,-87.18659,2057491812,Alabama,Dollar General,2024-03-13
9138,155 Birmingham Rd Ste 116,Centreville,AL,35042-2949,32.94737,-87.144939,2059286820,Alabama,Dollar General,2024-03-13
15005,5545 Eastern Valley Road,Mccalla,AL,35111-3307,33.309719,-87.023798,2057740742,Alabama,Dollar General,2024-03-13
16897,5851 Johns Rd,Hueytown,AL,35023,33.3955,-87.0365,2058810519,Alabama,Dollar General,2024-03-13
9861,1750 4th Ave Sw,Bessemer,AL,35022-5223,33.353247,-86.994707,2058812595,Alabama,Dollar General,2024-03-13
1501,17719 Highway 18 E,Berry,AL,35546-0483,33.6597,-87.6041,2058784382,Alabama,Dollar General,2024-03-13
19397,1185 Alliance Rd,Bessemer,AL,35023-7245,33.5462,-87.126,2054611566,Alabama,Dollar General,2024-03-13
16437,6607 Warrior River Road,Bessemer,AL,35023-5577,33.47997,-87.06254,2058812610,Alabama,Dollar General,2024-03-13
3289,671 9th Ave Sw,Bessemer,AL,35022-4503,33.385508,-86.980079,2057749548,Alabama,Dollar General,2024-03-13
14237,3459 Warrior River Road,Bessemer,AL,35023-1039,33.463504,-87.025265,2058580802,Alabama,Dollar General,2024-03-13
8252,1345 Hueytown Rd,Hueytown,AL,35023-2439,33.446035,-86.996953,2058810640,Alabama,Dollar General,2024-03-13
12126,2417 19th Street N,Bessemer,AL,35020-8846,33.419169,-86.981452,2057749610,Alabama,Dollar General,2024-03-13
22283,515 Eastern Valley Rd,Bessemer,AL,35020-7835,33.36973,-86.96399,2057743986,Alabama,Dollar General,2024-03-13
4937,134 7th St Nw,Reform,AL,35481-2377,33.3831,-88.02356,2058280172,Alabama,Dollar General,2024-03-13
14881,115 Rock Creek Road,Sylvan Springs,AL,35118-9369,33.509333,-87.027049,2052770300,Alabama,Dollar General,2024-03-13
6682,208 Forest Rd,Hueytown,AL,35023-1614,33.44924,-86.985793,2055781011,Alabama,Dollar General,2024-03-13
22249,730 14th St N,Bessemer,AL,35020,33.40028,-86.96393,2054177324,Alabama,Dollar General,2024-03-13
11942,3011 9th Ave N,Bessemer,AL,35020-3547,33.419089,-86.950104,2058004287,Alabama,Dollar General,2024-03-13
18723,2911 Dartmouth Ave,Bessemer,AL,35020,33.4092,-86.9361,2057749655,Alabama,Dollar General,2024-03-13
7355,3979 Parkwood Rd Ste#117,Bessemer,AL,35022-5627,33.337539,-86.916121,2058810560,Alabama,Dollar General,2024-03-13
9415,149 Scott St,Carrollton,AL,35447-2205,33.262,-88.094,2056564435,Alabama,Dollar General,2024-03-13
8705,120 Greensboro St,Eutaw,AL,35462-1450,32.840101,-87.8853,2053361033,Alabama,Dollar General,2024-03-13
9527,10604 Main St,Oakman,AL,35579-0431,33.718457,-87.385975,2056661470,Alabama,Dollar General,2024-03-13
17400,11254 Hwy 269,Parrish,AL,35580-5311,33.6773,-87.2446,2058320103,Alabama,Dollar General,2024-03-13
20032,915 4th St,Pleasant Grove,AL,35127-1060,33.4998,-86.9804,2055178882,Alabama,Dollar General,2024-03-13
19956,129 Alabama Highway 39,Clinton,AL,35448,32.9138,-87.9943,2053361375,Alabama,Dollar General,2024-03-13
25551,870 Demopolis Hwy,Eutaw,AL,35462,32.824,-87.8847,2055610207,Alabama,Dollar General,2024-03-13
3715,602 Demopolis St,Greensboro,AL,36744-1914,32.70072,-87.60016,3343523142,Alabama,Dollar General,2024-03-13
8036,27 Park Rd Ste 202,Pleasant Grove,AL,35127-1900,33.4894,-86.9564,2053797710,Alabama,Dollar General,2024-03-13
16796,4132 Jefferson Ave,Birmingham,AL,35221-1620,33.45103,-86.90088,2055381118,Alabama,Dollar General,2024-03-13
4962,110 Cedar St,Montevallo,AL,35115-4135,33.0933,-86.8623,2058580425,Alabama,Dollar General,2024-03-13
7175,4979 Highway 17,Helena,AL,35080-3510,33.276508,-86.852021,2057917093,Alabama,Dollar General,2024-03-13
10065,404 Columbus St E,Fayette,AL,35555-2615,33.683633,-87.827305,2052777125,Alabama,Dollar General,2024-03-13
11948,3150 Birmingport Road,Birmingham,AL,35224-2861,33.529854,-86.941098,2054028910,Alabama,Dollar General,2024-03-13
9539,2260 Kent Dairy Rd,Alabaster,AL,35007-0692,33.21384,-86.824854,2056247270,Alabama,Dollar General,2024-03-13
3674,601 Memorial Pkwy Ne,Aliceville,AL,35442-2741,33.127772,-88.145214,5672671072,Alabama,Dollar General,2024-03-13
2366,1400 Temple Ave N,Fayette,AL,35555-1718,33.7027,-87.8275,3342677103,Alabama,Dollar General,2024-03-13
7784,6123 Hwy 269,Parrish,AL,35580-0206,33.744,-87.269,2058321693,Alabama,Dollar General,2024-03-13
18436,6490 Flat Top Rd,West Jefferson,AL,35130-9136,33.6464,-87.0566,2056752182,Alabama,Dollar General,2024-03-13
22129,101 Frankfurt Cir,Birmingham,AL,35211,33.43852,-86.86748,2058580710,Alabama,Dollar General,2024-03-13
21541,4168 Highway 119,Montevallo,AL,35115-8644,33.1428,-86.8231,2056790702,Alabama,Dollar General,2024-03-13
1607,515 First Street Sw,Alabaster,AL,35007-9744,33.240032,-86.820051,2056248808,Alabama,Dollar General,2024-03-13
