location_name,location_number,street,city,state_name,zip,phone,latitude,longitude,open_date,state,brand,updated
Orange - Connecticut,1388,439 Boston Post Rd.,Orange,Connecticut,064773507,2037958600,41.259112,-73.011775,1993-04-19,CT,Olive Garden,2024-03-30
Danbury,1463,36 Backus Ave.,Danbury,Connecticut,068107329,2037432144,41.374711,-73.486486,1995-11-06,CT,Olive Garden,2024-03-30
North Haven,1776,310 Universal Drive North,North Haven,Connecticut,064733163,2032341327,41.35504,-72.872338,2008-12-08,CT,Olive Garden,2024-03-30
Centereach Mall,1507,257 Centereach Mall,Centereach,New York,117202738,6315854027,40.859118,-73.082171,1996-09-09,NY,Olive Garden,2024-03-30
Bay Shore,4475,1715 Sunrise Highway,Bay Shore,New York,117066007,6316655213,40.737139,-73.244328,2014-10-06,NY,Olive Garden,2024-03-30
Westbury Plaza,1455,1246 Old Country Rd,Westbury,New York,115905651,5166833377,40.745335,-73.599744,1994-08-01,NY,Olive Garden,2024-03-30
"Yonkers, NY",4478,9025 Xavier Drive,Yonkers,New York,107041315,9143754505,40.92910166,-73.8518713,2014-12-15,NY,Olive Garden,2024-03-30
Bronx,4482,200 Baychester Ave,Bronx,New York,104754583,7189311045,40.86443171,-73.82772962,2014-09-22,NY,Olive Garden,2024-03-30
West Hartford,1648,1441 New Britain Ave,West Hartford,Connecticut,061101659,8605219049,41.725591,-72.759225,2005-05-23,CT,Olive Garden,2024-03-30
Valley Stream,4411,610 W Sunrise Hwy,Valley Stream,New York,115811010,5165931580,40.665151,-73.722614,2013-01-21,NY,Olive Garden,2024-03-30
Merced,6483,721 W Olive Ave,Merced,California,953482426,2094465144,37.31965,-120.48129,2023-03-06,CA,Olive Garden,2024-03-30
Turlock - Countryside Plaza,4430,2749 Countryside Drive,Turlock,California,953808434,2096322694,37.51703,-120.87966,2012-09-10,CA,Olive Garden,2024-03-30
Modesto,1294,2200 Plaza Parkway,Modesto,California,953506222,2095448057,37.671056,-121.037688,1991-09-30,CA,Olive Garden,2024-03-30
Fresno - The Marketplace at El Paseo,4494,6725 North Riverside Drive,Fresno,California,937229309,5592751034,36.8363969,-119.91126741,2017-06-26,CA,Olive Garden,2024-03-30
Clovis - Sierra Vista Mall,1256,389 East Shaw Avenue,Clovis,California,936123818,5593237297,36.80879,-119.704848,1991-02-18,CA,Olive Garden,2024-03-30
Tracy - West Valley Mall,1582,3140 Naglee Road,Tracy,California,953047319,2098359926,37.759262,-121.461604,2003-04-14,CA,Olive Garden,2024-03-30
Stockton,1779,2671 W March Lane,Stockton,California,952076522,2099549018,37.985451,-121.342565,2009-03-02,CA,Olive Garden,2024-03-30
Eastridge Mall,4468,2226 Eastridge Loop,San Jose,California,951221465,4082742447,37.32565,-121.81072,2013-11-04,CA,Olive Garden,2024-03-30
Salinas,1335,1580 North Main Street,Salinas,California,939065101,8314496158,36.711973,-121.65388,1992-04-13,CA,Olive Garden,2024-03-30
San Jose,1184,940 Blossom Hill Road,San Jose,California,951231202,4082251420,37.249867,-121.864534,1990-03-12,CA,Olive Garden,2024-03-30
Oxnard,1340,1891 Ventura Boulevard,Oxnard,California,930361823,8059836656,34.224284,-119.152391,1992-09-14,CA,Olive Garden,2024-03-30
Thousand Oaks,4402,158 W Hillcrest Drive,Thousand Oaks,California,913604209,8057771744,34.18193495,-118.88364394,2012-01-09,CA,Olive Garden,2024-03-30
Fallbrook Center,4473,6501 Fallbrook Ave,West Hills,California,913073519,8189329801,34.18824956,-118.62373434,2014-05-05,CA,Olive Garden,2024-03-30
Chatsworth - Northridge Galleria,1079,19724 Nordhoff Place,Chatsworth,California,913116604,8187726090,34.234811,-118.563319,1988-01-25,CA,Olive Garden,2024-03-30
Santa Clarita,1563,27003 McBean Pkwy,Santa Clarita,California,913555145,6617998161,34.420729,-118.563274,2002-04-29,CA,Olive Garden,2024-03-30
"Culver City, Westfield Mall",4433,6000 Sepulveda Blvd,Culver City,California,902306425,3103139185,33.98505753,-118.39508246,2012-10-29,CA,Olive Garden,2024-03-30
Burbank Empire Shopping Center,1570,1741 N. Victory Place,Burbank,California,915021646,8185593640,34.190638,-118.32901,2002-05-20,CA,Olive Garden,2024-03-30
Los Angeles - Midtown,6415,4835 Venice Blvd,Los Angeles,California,900195664,3238012417,34.04675201,-118.34179819,2021-07-19,CA,Olive Garden,2024-03-30
Manhattan Beach,1723,2610 N. Sepulveda Blvd.,Manhattan Beach,California,902662724,3105450423,33.894989,-118.395108,1986-11-24,CA,Olive Garden,2024-03-30
Glendale - Galleria,1322,101 N Brand Boulevard,Glendale,California,912032639,8182407119,34.14743073,-118.25562499,1992-02-24,CA,Olive Garden,2024-03-30
Arcadia,1255,430 E Huntington Drive,Arcadia,California,910063748,6268210636,34.139707,-118.021871,1991-05-13,CA,Olive Garden,2024-03-30
Montebello,4453,1866 Montebello Town Ctr,Montebello,California,906402166,3237211320,34.037364,-118.082314,2013-05-06,CA,Olive Garden,2024-03-30
Whittier - The Quad,1248,13500 Whittier Blvd,Whittier,California,906051934,5626935999,33.961622,-118.030905,1991-02-25,CA,Olive Garden,2024-03-30
City of Industry - Puente Hills Mall,1016,17585 Castleton St,City Of Industry,California,917481702,6269654710,33.994729,-117.920261,1986-07-07,CA,Olive Garden,2024-03-30
San Dimas,4407,582 N Lone Hill Ave,San Dimas,California,917731725,9095995650,34.11248352,-117.82848521,2012-05-21,CA,Olive Garden,2024-03-30
Downey - Stonewood Mall,1303,9253 Firestone Blvd,Downey,California,902415320,5629239773,33.933124,-118.118263,1992-11-30,CA,Olive Garden,2024-03-30
Cerritos CA - Los Cerritos Center,1071,11171 183rd Street,Cerritos,California,907035415,5628608855,33.866134,-118.096436,1987-12-14,CA,Olive Garden,2024-03-30
Hyattsville - Prince George Plaza,1651,3480 East West Highway,Hyattsville,Maryland,207821914,3018530289,38.967252,-76.958532,2006-10-09,MD,Olive Garden,2024-03-30
Vienna,1361,8133 Leesburg Pike,Vienna,Virginia,221822751,7038933175,38.915389,-77.227165,1992-11-09,VA,Olive Garden,2024-03-30
Falls Church,1262,3548-52 S Jefferson Street,Falls Church,Virginia,220413119,7036717507,38.846973,-77.118949,1991-05-06,VA,Olive Garden,2024-03-30
Laurel Mall,1364,14650 Baltimore Ave.,Laurel,Maryland,207074954,3014980881,39.091449,-76.858493,1993-01-25,MD,Olive Garden,2024-03-30
Sterling,1557,45970 Waterview Plaza,Sterling,Virginia,201666556,5714340713,39.033242,-77.410246,2001-05-21,VA,Olive Garden,2024-03-30
Capitol Heights,4499,1681 Ritchie Station Court,Capitol Heights,Maryland,207435067,3013242133,38.86748124,-76.85126605,2017-12-05,MD,Olive Garden,2024-03-30
Fairfax,1462,12980 Fair Lakes Shopping Center,Fairfax,Virginia,220335176,7036314840,38.858691,-77.391189,1994-10-03,VA,Olive Garden,2024-03-30
Columbia MD,1261,8315 Benson Drive,Columbia,Maryland,210453116,4102900040,39.186026,-76.79949,1991-11-04,MD,Olive Garden,2024-03-30
Bowie Town Center,1560,4101 Towne Center Blvd,Bowie,Maryland,207162214,3012624769,38.945683,-76.734749,2002-02-04,MD,Olive Garden,2024-03-30
Hanover MD - Arundel Mills,1826,7061 Arundel Mills Circle,Hanover,Maryland,210761387,4107962750,39.15450889,-76.72914562,2011-05-23,MD,Olive Garden,2024-03-30
Hayward,1382,24688 Hesperian Blvd,Hayward,California,945452434,5107826385,37.647824,-122.10656,1993-09-27,CA,Olive Garden,2024-03-30
Vallejo,1418,1176 Admiral Callaghan Lane,Vallejo,California,945913700,7076480431,38.135111,-122.217391,1994-01-10,CA,Olive Garden,2024-03-30
Fremont,1143,39145 Farwell Dr,Fremont,California,945381014,5107967500,37.531354,-121.999346,1989-01-16,CA,Olive Garden,2024-03-30
Pittsburg,1341,4195 Century Blvd,Pittsburg,California,945657102,9257786208,38.006996,-121.842182,1992-07-27,CA,Olive Garden,2024-03-30
Milpitas - Great Mall,1858,1350 Great Mall Drive,Milpitas,California,950358037,4089358176,37.412977,-121.895828,2011-02-21,CA,Olive Garden,2024-03-30
Rohnert Park,1325,6430 Redwood Drive,Rohnert Park,California,949282326,7075863607,38.34789,-122.715468,1992-04-20,CA,Olive Garden,2024-03-30
Vacaville,1722,100 Nut Tree Parkway,Vacaville,California,956873251,7074482715,38.368886,-121.957657,2007-12-03,CA,Olive Garden,2024-03-30
Overland Park - Metcalf South Mall,1111,6750 W 95th Street,Overland Park,Kansas,662121466,9133818645,38.95709,-94.663425,1988-09-05,KS,Olive Garden,2024-03-30
Olathe Point,1535,15090 West 119th Street,Olathe,Kansas,660629628,9137684372,38.913335,-94.76028,2001-03-12,KS,Olive Garden,2024-03-30
Independence,1056,13910 E 40 Hwy,Independence,Missouri,640555860,8163730411,39.036131,-94.416488,1987-08-24,MO,Olive Garden,2024-03-30
Lee's Summit,1849,650 NW Blue Parkway,Lees Summit,Missouri,640865734,8163479778,38.92653395,-94.40155342,2010-08-23,MO,Olive Garden,2024-03-30
KC - Speedway Plaza,1795,10670 Parallel Parkway,Kansas City,Kansas,661093647,9137889320,39.12895,-94.82643,2010-05-03,KS,Olive Garden,2024-03-30
Kansas City - North Barry Road,1170,500 N.W. Barry Rd,Kansas City,Missouri,641552739,8164687540,39.24691,-94.586687,1989-11-20,MO,Olive Garden,2024-03-30
Liberty,1753,105 North Blue Jay Drive,Liberty,Missouri,640681906,8164077719,39.244991,-94.448509,2008-02-11,MO,Olive Garden,2024-03-30
Blue Springs,1833,801 NE Coronado,Blue Springs,Missouri,640143004,8162243093,39.02674774,-94.25191396,2010-03-15,MO,Olive Garden,2024-03-30
Saint Joseph - The Shoppes at North Village,1765,5312 N Belt Highway,Saint Joseph,Missouri,645061209,8169019211,39.814942,-94.815975,2008-02-11,MO,Olive Garden,2024-03-30
Topeka - West Ridge Mall,1223,1925 SW Wanamaker Rd,Topeka,Kansas,666043821,7852717526,39.031317,-95.762801,1990-10-22,KS,Olive Garden,2024-03-30
Gastonia - The Shops at Gastonia,1683,432 Cox Road,Gastonia,North Carolina,280540609,7048641709,35.263736,-81.1329,2006-04-17,NC,Olive Garden,2024-03-30
Charlotte - Premium Outlets,6457,4910 Trojan Drive,Charlotte,North Carolina,282786629,7049698236,35.16543812282266,-80.9679293173719,2023-05-01,NC,Olive Garden,2024-03-30
Northlake Commons,1682,8225 Northlake Commons Blvd,Charlotte,North Carolina,282162272,7044944473,35.348419,-80.854616,2006-03-13,NC,Olive Garden,2024-03-30
Pineville - Carolina Place Mall,1312,9421 Pineville Matthews Road,Pineville,North Carolina,281347546,7045442334,35.086424,-80.877416,1992-01-27,NC,Olive Garden,2024-03-30
Rock Hill - Dave Lyle Boulevard,1568,519 John Ross Parkway,Rock Hill,South Carolina,297308910,8039800125,34.941637,-80.980184,2002-04-22,SC,Olive Garden,2024-03-30
