name,street,location,city,clientkey,latitude,longitude,phone,zip,state,temp_closed,timezone,state_name,brand,updated
DollarTree,1103 South First St,F/S South First St,Madill,8782,34.0706729,-96.7627198,580-263-5781,73446,OK,0,America/Chicago,Oklahoma,Dollar Tree,2024-06-05
DollarTree,519 University Place Ste 701,WalMart Shopping Center,Durant,2362,34.0013800988848,-96.4101601328801,580-634-0570,74701-7101,OK,,America/Chicago,Oklahoma,Dollar Tree,2024-06-05
DollarTree,"2401 12th Ave, NW Ste114",Ardmore Commons,Ardmore,3587,34.18747,-97.15833,580-319-9925,73401-1472,OK,,America/Chicago,Oklahoma,Dollar Tree,2024-06-05
DollarTree,1910 W. Morton Street,1910 West Morton Street,Denison,6718,33.7598041,-96.5643988,903-462-1011,75020-1617,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,3416 Town Ctr,Sherman Town Center,Sherman,2868,33.66657,-96.61243,903-209-4372,75092-2574,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,1701 W Broadway,Sulphur BTS,Sulphur,9065,34.5061679,-96.9889466,580-495-4593,73086,OK,0,America/Chicago,Oklahoma,Dollar Tree,2024-06-05
DollarTree,719 E Taylor Street,Taylor Plaza,Sherman,8430,33.6576508,-96.6073317,903-209-4401,75090-2859,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,1501 North Grand Avenue Suite A,Gainesville Shopping Center,Gainesville,2549,33.6403460549329,-97.1333168858371,940-641-7034,76240-2332,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,1620 S Mississippi,Shoppes at Atoka,Atoka,8251,34.3722898,-96.1365102,580-239-7065,74525,OK,,America/Chicago,Oklahoma,Dollar Tree,2024-06-05
DollarTree,2004 North Hwy 121,Dollar Tree Plaza,Bonham,7076,33.5956369,-96.1909565,903-304-6018,75418,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,1100 North Hills Shopping Center,North Hills Shopping Center,Ada,2045,34.7908272727273,-96.6655936363636,580-559-8733,74820-1865,OK,,America/Chicago,Oklahoma,Dollar Tree,2024-06-05
DollarTree,444 S Highway 377,Former IGA Market,Pilot Point,9399,33.3931579,-96.948718,940-286-0567,76258-4372,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,1704 W White St,F/S W White St,Anna,8862,33.3450976,-96.5709843,945-777-8008,75409,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,915 South Highway 377,Aubrey,Aubrey,6534,33.29286,-96.98549,940-488-7055,76227-5536,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,207 N US Highway 69,Leonard,Leonard,6837,33.3819618,-96.2396273,945-215-0682,75452-2332,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,1970 N Central Exp Ste 120,1970 N Central Expy,McKinney,5875,33.2188339931626,-96.6352741443223,214-250-5276,75069-2908,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,1620 N. Hardin Blvd Suite 1400,380 Promenade at Headington Heights,McKinney,8264,33.2136205,-96.6617574,469-525-4011,75071,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,1530 S Independence Pwy,Independence & Westridge,McKinney,9099,33.1904447,-96.7525767,945-234-4372,75072,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,1038 West University Dri,Denton Center,Denton,5880,33.2298654777547,-97.1424265340832,940-783-4219,76201,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,2700 E Eldorado Pkwy Ste 200,Little Elm Towne Crossing,Little Elm,3670,33.17823,-96.89091,469-287-3013,75068-5998,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,5133 El Dorado Pkwy,Parkway Town Crossing,Frisco,4057,33.1750185140886,-96.8430931806159,469-598-2196,75033-8670,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,3001 S. Central Expy Ste 304,McKinney Marketplace,McKinney,4580,33.1708288332848,-96.6404320534582,945-224-1510,75070-7512,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,5151 McKinney Ranch Pkwy Suite 100,McKinney Ranch Parkway,McKinney,7341,33.1587726,-96.6827334,469-617-4320,75070-6863,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,2305 Colorado Blvd,Colorado Square,Denton,1108,33.1902856502224,-97.1044941500202,940-252-9105,76205-7525,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,302 W Princeton Drive,Freestanding (Princeton Dr),Princeton,6814,33.1752286,-96.5040183,469-378-6004,75407-9021,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,6951 Preston Road Suite 200,Frisco Commons,Frisco,6293,33.136324762585,-96.8043816402872,469-294-1766,75034-5817,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,8676 State Highway 121 Ste 104,McKinney Towne Crossing,McKinney,3294,33.1293695,-96.727741,469-656-6078,75070-2234,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,"170 E Stacy Rd, Ste 2120",The Village at Allen,Allen,4341,33.1297181818182,-96.6548184848485,469-675-8832,75002-8736,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,3924 Teasley Lane,Wal Mart Center,Denton,8439,33.1610873,-97.1082226,940-783-4204,76210,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,3265 Preston Rd,The Centre at Preston Ridge,Frisco,4097,33.1069152964506,-96.80583,972-987-1845,75034-9446,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,105 N Greenville Ave. Suite C,Cottonwood Creek Shopping Center,Allen,2224,33.10063,-96.66187,945-256-9690,75002-2294,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,4858 State Hwy 121,Lewisville Town Crossing,The Colony,4155,33.0674429725523,-96.8841489906714,469-777-8973,75056-2915,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,"6205 Coit Rd, Ste 200",Marketplace at Plano,Plano,6083,33.0579355555556,-96.7705588888889,469-443-7644,75024-5480,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,3190 FM 407 Rd. Ste 105,Highland Village,Highland Village,5619,33.0724000964842,-97.0813687201958,469-455-8966,75077-7049,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,2109 W. Parker Road Suite B,Parker West Shopping Center,Plano,2352,33.04108,-96.7336742857143,469-443-3379,75023-7758,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,1612 N Green Ave,Tractor Supply Shopping Center,Purcell,8656,35.0309629,-97.3650998,405-442-6157,73080,OK,,America/Chicago,Oklahoma,Dollar Tree,2024-06-05
DollarTree,2404 K Avenue,Park Mall Plano,Plano,9306,33.0298471,-96.6980972,945-284-0020,75074,TX,0,America/Chicago,Texas,Dollar Tree,2024-06-05
DollarTree,951 W Main Street #B,Albertsons Center,Lewisville,5708,33.0434125554536,-97.0165360304977,469-455-8965,75067-3515,TX,,America/Chicago,Texas,Dollar Tree,2024-06-05
