store_number,store_type,store_name,timezone,latitude,longitude,street,city,state,zip,phone,state_name
1051,R,Governors Crossing,-5,30.44241,-84.247844,101 N Blairstone Rd Ste 301,Tallahassee,FL,32301-2877,8502196211,Florida
887,R,Southwood S/C,-5,30.404006,-84.237789,3551 Blairstone Rd,Tallahassee,FL,32301-8826,8502191150,Florida
1573,R,Publix at Gaines Street Station,-5,30.435043,-84.291871,625 W Gaines St,Tallahassee,FL,32304,8505771915,Florida
852,R,Lake Ella Plaza,-5,30.462677,-84.284775,1700 N Monroe St,Tallahassee,FL,32303-5535,8502221975,Florida
1401,R,Mahan Village S/C,-5,30.462328,-84.225952,3122 Mahan Dr,Tallahassee,FL,32308-2500,8504020141,Florida
782,R,Ocala Corners,-5,30.445449,-84.318756,800 Ocala Rd,Tallahassee,FL,32304-1669,8505753929,Florida
1427,R,Capital Circle,-5,30.48003,-84.234603,2111 NE Capital Circle,Tallahassee,FL,32308-4303,8505239851,Florida
610,R,Forest Village S/C,-5,30.373265,-84.291555,5032 Capital Cir SW Ste 1,Tallahassee,FL,32305-7886,8508781133,Florida
1306,R,Village Square,-5,30.508525,-84.246295,3521 Thomasville Rd,Tallahassee,FL,32309-7134,8508930137,Florida
857,R,Vineyards S/C,-5,30.479983,-84.167055,6615 Mahan Dr,Tallahassee,FL,32308-1400,8508784899,Florida
1656,R,Oak Valley,-5,30.530854,-84.363355,5678 Capital Cir NW,Tallahassee,FL,32303,8505620088,Florida
533,R,Bradfordville S/C,-5,30.562759,-84.213308,6753 Thomasville Rd,Tallahassee,FL,32312-3966,8506685702,Florida
1836,R,Bannerman Village,-5,30.584866,-84.250122,8462 Bannerman Blvd,Tallahassee,FL,32312-9118,4482066622,Florida
1798,R,Crawfordville Cmns,-5,30.20537,-84.366224,2343 Crawfordville Hwy,Crawfordville,FL,32327,8509264072,Florida
1498,R,Park Place,-5,30.837661,-83.946651,13775 US Highway 19 S,Thomasville,GA,31792-5398,2292269800,Georgia
1540,R,Parkway Centre,-5,31.186568,-83.759181,378 Veterans Pkwy N,Moultrie,GA,31788,2292174812,Georgia
430,R,Baytree Village,-5,30.845683,-83.322825,1741 Gornto Rd,Valdosta,GA,31601-8408,2292422409,Georgia
1435,R,Perimeter Park,-5,30.880967,-83.285124,3330 Inner Perimeter Rd,Valdosta,GA,31602-7063,2296719835,Georgia
1709,R,Live Oak Crossing,-5,30.320305,-82.971141,2215 Ohio Ave N,Live Oak,FL,32064,3863396378,Florida
1875,R,Panama City Centre,-6,30.231797,-85.586981,4601 Lindsey Crossing,Panama City,FL,32404-9325,8507726111,Florida
450,R,Albany Square,-5,31.621182,-84.223328,2715 Dawson Rd,Albany,GA,31707-1673,2294312880,Georgia
1422,R,Plaza at Tifton,-5,31.462656,-83.52865,620 Virginia Ave. North,Tifton,GA,31794-4227,2293861166,Georgia
823,R,Lynn Haven Center,-6,30.223108,-85.651508,2310 S Highway 77,Lynn Haven,FL,32444-4616,8502716180,Florida
1375,R,Cottonwood Corner,-6,31.197465,-85.374528,1620 Ross Clark Cir,Dothan,AL,36301-5439,3346731200,Alabama
1349,R,Lee Crossings,-5,31.655549,-84.175229,1212 US Highway 19 S,Leesburg,GA,31763-4877,2294310294,Georgia
481,R,23rd Street Plaza,-6,30.191726,-85.669366,650 W 23rd St,Panama City,FL,32405-3921,8507479780,Florida
1369,R,Northside Mall,-6,31.248393,-85.429023,3525 Ross Clark Cir Ste 100,Dothan,AL,36303-5935,3347924281,Alabama
1377,R,Westway,-6,31.239415,-85.462146,4650 W Main St Ste 700,Dothan,AL,36305-9421,3347926801,Alabama
1173,R,Magnolia Plaza,-6,30.16029,-85.752151,2419 Thomas Dr,Panama City Beach,FL,32408-5808,8502364415,Florida
1241,R,Breakfast Point,-6,30.197011,-85.809869,11240 Panama City Beach Pkwy,Panama City Beach,FL,32407-2449,8502364515,Florida
1192,R,Lake City Commons,-5,30.181497,-82.664327,255 NW Commons Loop,Lake City,FL,32055-7700,3867195446,Florida
1005,R,Ocean Park,-6,30.26629,-85.972931,23026 Panama City Beach Pkwy,Panama City Beach,FL,32413-1107,8502334392,Florida
1760,R,Watersound,-6,30.298754,-86.023305,11291 US Hwy 98 E,Inlet Beach,FL,32461,8502137031,Florida
1870,R,Douglas Square,-5,31.489819,-82.852873,1329 S Peterson Ave,Douglas,GA,31533,9124936058,Georgia
1351,R,Shoppes/Freeport,-6,30.487789,-86.124435,16400 US Highway 331 S,Freeport,FL,32439,8508352296,Florida
153,R,Watercolor Cr,-6,30.328297,-86.126002,110 Watercolor Way,Santa Rosa Beach,FL,32459-7354,8505344565,Florida
1505,R,Alachua Market Pl,-5,29.805534,-82.521748,16193 NW US Hwy 441,Alachua,FL,32615-6393,3864183430,Florida
1402,R,Park Place,-6,31.326005,-85.838266,847 Boll Weevil Cir Ste 112,Enterprise,AL,36330-2476,3343481489,Alabama
1258,R,South Walton,-6,30.375179,-86.213089,2038 US Highway 98 W,Santa Rosa Beach,FL,32459-5322,8502670582,Florida
690,R,Steeplechase,-5,29.655461,-82.494836,14130 W Newberry Rd,Newberry,FL,32669-2759,3523325114,Florida
735,R,Springhill Commons,-5,29.691764,-82.440116,9200 NW 39th Ave,Gainesville,FL,32606-7331,3523751285,Florida
306,R,Newberry Square,-5,29.663878,-82.425091,1200 NW 76th Blvd,Gainesville,FL,32606-6750,3523320661,Florida
1111,R,Market Square,-5,29.629295,-82.436256,2755 SW 91st St,Gainesville,FL,32608-2749,3523311037,Florida
435,R,Hunter's Crossing,-5,29.702001,-82.390648,5200 NW 43rd St Ste 401,Gainesville,FL,32606-4483,3523755310,Florida
885,R,Grand Boulevard,-6,30.379611,-86.311201,725 Grand Blvd,Sandestin,FL,32550-7873,8506222326,Florida
1376,R,Millhopper S/C,-5,29.671977,-82.387281,4115 NW 16th Blvd,Gainesville,FL,32605-3505,3523361488,Florida
527,R,Tower Square,-5,29.601921,-82.420646,5801 SW 75th St,Gainesville,FL,32608-8513,3523751110,Florida
1784,R,Westgate,-5,29.650911,-82.37113,3315 W University Ave,Gainesville,FL,32607-2539,3523724276,Florida
1312,R,Butler Plaza West,-5,29.621908,-82.382131,3930 SW Archer Rd,Gainesville,FL,32608-2342,3523797271,Florida
680,R,Butler Plaza,-5,29.625058,-82.379172,3100 SW 35th Blvd,Gainesville,FL,32608-2415,3523674324,Florida
537,R,The Exchange S/C,-5,29.687329,-82.340649,3720 NW 13th St Ste 9,Gainesville,FL,32609-5910,3523353785,Florida
1038,R,Williston Plaza,-5,29.604962,-82.372845,5200 SW 34th St,Gainesville,FL,32608-5010,3523751094,Florida
1560,R,University Vlg Mkt,-5,29.653429,-82.33885,203 NW 13th St,Gainesville,FL,32601,3523752775,Florida
795,R,Gainesville S/C,-5,29.663957,-82.325783,1302 N Main St,Gainesville,FL,32601-2346,3523752919,Florida
677,R,Paradise Key,-6,30.39047,-86.43019,4425 Commons Dr E,Destin,FL,32541-3414,8508379094,Florida
1461,R,The Crossing,-6,30.514539,-86.449452,1520 John Sims Pkwy E,Niceville,FL,32578-2138,8506783002,Florida
2023,R,Destin Publix,-6,30.390962,-86.484352,771 Harbor Blvd Unit 100,Destin,FL,32541-2620,,Florida
1525,R,Park Place,-6,31.780548,-85.954718,1147 US Hwy 231 S,Troy,AL,36081,3348075761,Alabama
1602,R,Northcrest,-6,30.793721,-86.555664,1355 N Ferdon Blvd,Crestview,FL,32536,8506820820,Florida
801,R,Bent Creek S/C,-6,30.737943,-86.566707,2250 S Ferdon Blvd,Crestview,FL,32536-8457,8506820942,Florida
1303,R,Racetrack Road,-6,30.441629,-86.600485,610 Eglin Pkwy NE,Fort Walton Beach,FL,32547-2832,8508626789,Florida
766,R,Paradise Pointe,-6,30.404763,-86.603232,251 Miracle Strip Pkwy SE,Fort Walton Beach,FL,32548-5853,8507961841,Florida
383,R,Sun Plaza S/C,-6,30.426628,-86.644655,421 Mary Esther Cut Off NW,Fort Walton Beach,FL,32548-4084,8503010033,Florida
1616,R,Rainbow Square,-5,29.059185,-82.45643,11352 N Williams St Ste 400,Dunnellon,FL,34432,3525221988,Florida
1859,R,Plaza at Normandy,-5,30.269337,-81.850575,11341 Normandy Blvd Ste 201,Jacksonville,FL,32221,,Florida
736,R,Middleburg Cr Ctr,-5,30.065401,-81.871829,2640 Blanding Blvd,Middleburg,FL,32068-9107,9042915123,Florida
1233,R,Perry,-5,32.472881,-83.706041,275 Perry Pkwy,Perry,GA,31069-9275,4782187577,Georgia
1169,R,OakLeaf Commons,-5,30.161466,-81.835925,1075 Oakleaf Plantation Pkwy Ste 200,Orange Park,FL,32065-3627,9042915108,Florida
128,R,OakLeaf Plantation,-5,30.193377,-81.82557,9518 Argyle Forest Blvd,Jacksonville,FL,32222-2800,9043175755,Florida
1390,R,Cross Country Plz,-5,32.482721,-84.944368,3201 Macon Rd Ste 201,Columbus,GA,31906-1725,7065612160,Georgia
797,R,Crystal Springs,-5,28.889448,-82.54895,6760 W Gulf To Lake Hwy,Crystal River,FL,34429-9348,3527954679,Florida
1037,R,Normandy Crossing,-5,30.297005,-81.775629,7749 Normandy Blvd,Jacksonville,FL,32221-7657,9047811952,Florida
263,R,Oak Hill Village,-5,30.24686,-81.775196,7628 103rd St Ste 24,Jacksonville,FL,32210-8719,9047773122,Florida
1365,R,Shops at Foxwood,-5,29.215708,-82.199574,2765 NW 49th Ave Ste 301,Ocala,FL,34482-6215,3526221318,Florida
562,R,Milgen Plaza,-5,32.51959,-84.893939,5435 Woodruff Farm Rd,Columbus,GA,31907-1395,7065688820,Georgia
1115,R,The Village S/C,-5,30.139004,-81.774757,950 Blanding Blvd,Orange Park,FL,32065-5910,9042766029,Florida
1008,R,Warner Robins,-5,32.547164,-83.692066,1114 Georgia Highway 96,Kathleen,GA,31047-2111,4789876707,Georgia
668,R,Pine Tree Plaza,-5,30.163219,-81.748924,410 Blanding Blvd,Orange Park,FL,32073-5051,9042766016,Florida
1868,R,Midland Commons,-5,32.545638,-84.874749,6901 Ray Wright Way,Columbus,GA,31909-7700,7063580289,Georgia
649,R,Argyle Village Sq,-5,30.194521,-81.744011,6001 Argyle Forest Blvd Ste 45,Jacksonville,FL,32244-6127,9049085906,Florida
518,R,Homosassa Springs,-5,28.804732,-82.57889,3942 S Suncoast Blvd,Homosassa,FL,34448-2601,3526210884,Florida
474,R,Bradley Park Sq,-5,32.53442,-84.966855,1639 Bradley Park Dr Ste 600,Columbus,GA,31904-3625,7065713420,Georgia
475,R,Citrus Hills S/C,-5,28.90191,-82.446094,2685 N Forest Ridge Blvd,Hernando,FL,34442-5123,3525276550,Florida
1835,R,Wynnehaven Plaza,-6,30.41071,-86.800006,10040 Navarre Pkwy,Navarre,FL,32566-3013,8509364023,Florida
1622,R,Merganser Commons,-5,32.546452,-83.595158,510 GA Hwy 247 S,Bonaire,GA,31005,4783223620,Georgia
1086,R,Phenix Crossing,-5,32.521423,-85.0282,5408 Summerville Rd Ste 200,Phenix City,AL,36867-7481,3342918525,Alabama
631,R,Roosevelt Square,-5,30.280037,-81.717691,4495 Roosevelt Blvd Ste 103,Jacksonville,FL,32210-3390,9043880512,Florida
1201,R,Canopy Oak S/C,-5,29.084233,-82.2546,8075 SW Highway 200 Unit 111,Ocala,FL,34481-7823,3522910292,Florida
650,R,Parkway Centre,-5,32.55766,-84.904652,7600 Schomburg Rd,Columbus,GA,31909-1833,7065653260,Georgia
856,R,Heathbrook Commons,-5,29.12523,-82.208099,5400 SW College Rd Ste 200,Ocala,FL,34474-5757,3528731936,Florida
1880,R,Old Town Marketplace,-5,32.566059,-84.934027,8132 Veterans Pkwy Bldg 3,Columbus,GA,31909-1802,7062236574,Georgia
1477,R,Grand Oaks Twn Ctr,-5,29.147537,-82.167453,2575 SW 42nd St Ste 100,Ocala,FL,34471-1355,3522377186,Florida
1820,R,Cherrywood Market,-5,29.08349,-82.21984,9570 SW 62nd Avenue Rd,Ocala,FL,34476,3523512815,Florida
