store_number,store_name,street,city,state,zip,latitude,longitude,state_name,brand,updated
32631,FM 1093 AT GREEN,25647 Westheimer Pkwy,Katy,TX,77494,29.749788,-95.798871,Texas,McDonald's,2024-03-31
34885,CINCO RANCH AT S,27140 Cinco Ranch Blvd,Katy,TX,77494,29.715545,-95.813882,Texas,McDonald's,2024-03-31
35856,I-10 AND 1463,26149 Katy Freeway,Katy,TX,77494,29.776382,-95.831192,Texas,McDonald's,2024-03-31
13012,KATY-HWY 90,5701 Hwy 90,Katy,TX,77494,29.785563,-95.822533,Texas,McDonald's,2024-03-31
33124,FRY AT GRAND PKW,7104 S Fry Rd,Katy,TX,77494,29.716436,-95.77805,Texas,McDonald's,2024-03-31
34024,FM 1093/FM1463,6748 Fm 1463 Rd,Fulshear,TX,77441,29.696103,-95.846967,Texas,McDonald's,2024-03-31
24921,WESTHEIMER AT MA,22148 Westheimer Pkwy,Katy,TX,77450,29.734545,-95.753754,Texas,McDonald's,2024-03-31
31514,GRND PKWY@BELLA,5660 W GRAND PARKWAY (Walmart),Richmond,TX,77406,29.690155,-95.774638,Texas,McDonald's,2024-03-31
6931,KATY-MASON RD,22003 Katy Freeway,Katy,TX,77450,29.783057,-95.753122,Texas,McDonald's,2024-03-31
37954,GRAND PARKWAY AN,22914 Morton Ranch Rd,Katy,TX,77449,29.817446,-95.769667,Texas,McDonald's,2024-03-31
33245,I-10 AT S FRY,405 S Fry Rd,Katy,TX,77450,29.780602,-95.718467,Texas,McDonald's,2024-03-31
27323,1313 FRY ROAD,1313 FRY RD (Walmart),Katy,TX,77449,29.78912,-95.722262,Texas,McDonald's,2024-03-31
7315,KATY-FRY RD,1845 N Fry Rd,Katy,TX,77449-3348,29.793255,-95.719504,Texas,McDonald's,2024-03-31
35857,GRAND PARKWAY AN,7805 W Grand Parkway South,Richmond,TX,77407,29.663982,-95.742143,Texas,McDonald's,2024-03-31
35329,BROOKSHIRE,308 Fm 359,Brookshire,TX,77423,29.777646,-95.952197,Texas,McDonald's,2024-03-31
33415,FM 1464 @ ORCHID,7003 Fm 1464,Richmond,TX,77083,29.702868,-95.687218,Texas,McDonald's,2024-03-31
39241,GRAND PKWY & W.,10513 West Grand Parkway South,Richmond,TX,77407,29.65182,-95.709958,Texas,McDonald's,2024-03-31
29298,PECAN GROVE,2025 Fm 359,Richmond,TX,77469,29.624076,-95.744407,Texas,McDonald's,2024-03-31
40619,529/CYPRESS,22302 Fm 529 Rd,Cypress,TX,77433,29.875429,-95.761076,Texas,McDonald's,2024-03-31
31073,FRY ROAD AT LITT,6110 North Fry,Katy,TX,77449,29.862326,-95.719958,Texas,McDonald's,2024-03-31
32591,FRY RD (W*M),6060 FRY RD  (Walmart #4538),Katy,TX,77449,29.860692,-95.716435,Texas,McDonald's,2024-03-31
36846,BARKER CYPRESS &,3971 Barker Cypress Road,Houston,TX,77084,29.830146,-95.685854,Texas,McDonald's,2024-03-31
8140,HOUSTON.FM 529,17970 Fm 529,Houston,TX,77095,29.880213,-95.682229,Texas,McDonald's,2024-03-31
5039,HOUSTON-HWY. 6,4650 Hwy 6,Houston,TX,77084-2822,29.842542,-95.645192,Texas,McDonald's,2024-03-31
30361,15955 FM 529,15955 FM 529 (Walmart #1040),Houston,TX,77095,29.87696,-95.651795,Texas,McDonald's,2024-03-31
36342,BARKER CYPRESS A,9715 Barker Cypress Road,Cypress,TX,77433,29.919144,-95.686905,Texas,McDonald's,2024-03-31
10370,HWY6 AT 529,7302 Hwy 6 N,Houston,TX,77095-2512,29.884234,-95.644141,Texas,McDonald's,2024-03-31
35729,FRY AND CYPRESS,10912 Fry Rd,Cypress,TX,77433,29.942917,-95.715587,Texas,McDonald's,2024-03-31
21596,ELDRIDGE L,6330 N Eldridge Pky,Houston,TX,77041,29.863995,-95.60768,Texas,McDonald's,2024-03-31
26315,ELDRDGE&WESTRLOC,1504 Eldridge Pky,Houston,TX,77077,29.757444,-95.625733,Texas,McDonald's,2024-03-31
5266,HWY6 PIPING ROCK,2303 Hwy 6 S,Houston,TX,77077,29.739675,-95.643608,Texas,McDonald's,2024-03-31
20889,CROSSROADS,13145 Fm 1960 W,Houston,TX,77065,29.917048,-95.614034,Texas,McDonald's,2024-03-31
2134,MEMORIAL DR HOU,14450 Memorial Dr,Houston,TX,77079-6706,29.770546,-95.601642,Texas,McDonald's,2024-03-31
24919,HWY290@BARKER-CY,25666 Northwest Freeway,Cypress,TX,77429,29.968497,-95.69039,Texas,McDonald's,2024-03-31
3883,CHGO-68TH&PULASK,6737 South Pulaski Avenue,Chicago,IL,60629-4152,41.770089,-87.722199,Illinois,McDonald's,2024-03-31
335,CHGO-57TH&KEDZIE,5733 S Kedzie Ave,Chicago,IL,60639,41.788561,-87.703214,Illinois,McDonald's,2024-03-31
32057,CHGO 65/WESTERN,6515 S Western Ave,Chicago,IL,60636,41.77516,-87.68319,Illinois,McDonald's,2024-03-31
7069,CHGO-64TH&CICERO,6430 S Cicero,Chicago,IL,60638,41.775856,-87.742643,Illinois,McDonald's,2024-03-31
22338,CHGO-53RD&PULASK,5253 S Pulaski,Chicago,IL,60632,41.797153,-87.722534,Illinois,McDonald's,2024-03-31
10720,CHGO-79TH&WESTRN,7832 S Western,Chicago,IL,60620-5822,41.751294,-87.683395,Illinois,McDonald's,2024-03-31
2006,CHGO-84TH&PULASK,8415 S Pulaski Rd,Chicago,IL,60652-3119,41.74007,-87.721285,Illinois,McDonald's,2024-03-31
38788,47TH FRANCISCO,2844 W. 47th Street,Chicago,IL,60632,41.808525,-87.696326,Illinois,McDonald's,2024-03-31
4737,CHGO-63RD&,6336 S Ashland,Chicago,IL,60636-2725,41.777973,-87.664521,Illinois,McDonald's,2024-03-31
6310,CHGO-47TH&CICERO,4704 S Cicero Avenue,Chicago,IL,60638,41.807379,-87.743462,Illinois,McDonald's,2024-03-31
27597,EVERGREEN PARK/8,8715 S Kedzie,Evergreen Park,IL,60805-1025,41.734486,-87.701889,Illinois,McDonald's,2024-03-31
4897,BURBANK-79TH&LON,5355 W 79th St,Burbank,IL,60459-1452,41.748651,-87.75527,Illinois,McDonald's,2024-03-31
5293,CHGO-83RD&ASHLND,8321 South Ashland,Chicago,IL,60620,41.742465,-87.662777,Illinois,McDonald's,2024-03-31
6494,CHGO-47TH&LAFLIN,1454 W 47th St,Chicago,IL,60609-3235,41.808959,-87.662271,Illinois,McDonald's,2024-03-31
2505,CHGO-ARCHR&PERSH,3867 Archer Ave,Chicago,IL,60632-1005,41.823377,-87.688595,Illinois,McDonald's,2024-03-31
753,OAK LWN-91ST&CIC,9128 South Cicero Avenue,Oak Lawn,IL,60453,41.726831,-87.741474,Illinois,McDonald's,2024-03-31
38525,EVERGREEN PARK 3,9156 S. Western Ave,Evergreen Park,IL,60805,41.725478,-87.682679,Illinois,McDonald's,2024-03-31
4184,CHGO-42ND&,4158 S Ashland,Chicago,IL,60609-2330,41.817907,-87.665747,Illinois,McDonald's,2024-03-31
805,CHGO-6720 ARCHER,6720 W Archer Ave,Chicago,IL,60638,41.792351,-87.789879,Illinois,McDonald's,2024-03-31
812,CHGO-76TH&VINCNS,7601 S Vincennes Ave,Chicago,IL,60620-1622,41.755288,-87.632212,Illinois,McDonald's,2024-03-31
5682,CHGO-69TH&LAFAYT,6900 S Lafayette,Chicago,IL,60621-3782,41.768531,-87.626935,Illinois,McDonald's,2024-03-31
21446,CHGO-95TH&CHARLS,1637 W 95th St,Chicago,IL,60643,41.720691,-87.66442,Illinois,McDonald's,2024-03-31
11627,BRDGVW-76TH&HARL,7701 South Harlem,Bridgeview,IL,60455,41.751233,-87.79936,Illinois,McDonald's,2024-03-31
