store_id,store_name,address,city,zip,state,region,phone,url,latitude,longitude,state_name,brand
TX196,West Houston Hyundai,17007 Katy Freeway,Houston,77094,TX,SC,832-739-6300,www.westhoustonhyundai.com,29.78379440307617,-95.67780303955078,Texas,Hyundai
TX205,Brookshire Hyundai,34656 Katy Freeway,Brookshire,77423,TX,SC,281-937-2055,www.brookshirehyundai.com,29.77956199645996,-95.96041870117188,Texas,Hyundai
TX155,Texan Hyundai,27309 Southwest Freeway,Rosenberg,77471,TX,SC,832-586-8600,www.texanhyundai.com,29.531503,-95.796633,Texas,Hyundai
TX195,Northwest Hyundai,19300 Northwest Freeway,Houston,77065,TX,SC,281-894-5200,www.northwesthyundai.com,29.90837860107422,-95.60873413085938,Texas,Hyundai
TX145,Sterling Mccall Hyundai,10505 Southwest Freeway,Houston,77074,TX,SC,713-981-3990,www.sterlingmccallhyundai.com,29.6643864,-95.5515817,Texas,Hyundai
TX203,Steele South Loop Hyundai,8811 Lakes At 610 Drive,Houston,77054,TX,SC,713-341-3413,www.steelesouthloophyundai.com,29.67637062072754,-95.41776275634766,Texas,Hyundai
TX104,North Freeway Hyundai,20440 I-45 North,Spring,77373,TX,SC,832-446-4000,www.northfreewayhyundai.com,30.1022509,-95.4357231,Texas,Hyundai
TX111,Humble Hyundai,18877 Highway 59 N,Humble,77338,TX,SC,832-644-4000,www.humblehyundai.com,29.9920473,-95.2746824,Texas,Hyundai
TX192,Big Star Hyundai,18100 Gulf Freeway,Friendswood,77546,TX,SC,281-819-9400,www.bigstarhyundai.com,29.55705070495606,-95.15966033935547,Texas,Hyundai
TX086,Wiesner Hyundai,1645 I-45 North Suite 400,Conroe,77304,TX,SC,936-523-6300,www.wiesnerhyundai.com,30.323599,-95.476118,Texas,Hyundai
TX153,Hyundai Of Brenham,1710 Highway 290 W,Brenham,77833,TX,SC,979-830-1000,www.brenhamhyundai.com,30.1541289,-96.3924585,Texas,Hyundai
TX169,Baytown Hyundai,4343 East Freeway 1-10,Baytown,77521,TX,SC,281-839-1020,www.baytownhyundai.com,29.803954,-94.9938899,Texas,Hyundai
TX150,Demontrond Hyundai,3260 Gulf Freeway,Texas City,77591,TX,SC,713-574-5211,www.demontrondhyundai.com,29.413302,-95.039361,Texas,Hyundai
TX116,Don Davis Hyundai,214 W. Highway 332,Lake Jackson,77566,TX,SC,979-292-0077,www.dondavishyundai.com,29.048959,-95.46759,Texas,Hyundai
TX180,College Station Hyundai,3405 State Highway 6 South,College Station,77845,TX,SC,979-213-5510,www.collegestationhyundai.com,30.6637177,-96.3252381,Texas,Hyundai
TX117,Mac Haik Hyundai,4404 N. Navarro,Victoria,77904,TX,SC,361-576-1221,www.hyundaivictoria.com,28.836055,-97.001172,Texas,Hyundai
TX177,Hyundai Of Silsbee,4100 Highway 96 Bypass,Silsbee,77656,TX,SC,409-373-6740,www.hyundaiofsilsbeetx.com,30.3358771,-94.1517907,Texas,Hyundai
TX103,Philpott Motors Hyundai,2289 Highway 69 N,Nederland,77627,TX,SC,409-727-1451,www.philpottmotors.net,29.9659159,-94.0168239,Texas,Hyundai
TX171,South Point Hyundai,4610 South Ih 35,Austin,78745,TX,SC,512-445-0300,www.southpointhyundai.com,30.2096536,-97.7567106,Texas,Hyundai
TX200,"Steele Hyundai Kyle, Inc",24795 Ih 35,Kyle,78640,TX,SC,512-262-2020,www.steelehyundaikyle.com,29.95242118835449,-97.87581634521484,Texas,Hyundai
TX095,Round Rock Hyundai,2405 N Interstate 35,Round Rock,78664,TX,SC,512-244-0000,www.roundrockhyundai.com,30.535663,-97.690133,Texas,Hyundai
TX187,Hyundai Of Lufkin,3101 S. Medford Drive,Lufkin,75901,TX,SC,936-630-1200,www.hyundaioflufkin.com,31.3159113,-94.7059547,Texas,Hyundai
TX201,Steele Hyundai New Braunfels,485 N. Business Ih 35,New Braunfels,78130,TX,SC,830-632-2200,www.steelehyundainewbraunfels.com,29.69544982910156,-98.10365295410156,Texas,Hyundai
TX206,Waco Hyundai,1501 W Loop 340,Waco,76712,TX,SC,254-420-2366,www.wacohyundai.com,31.49896812438965,-97.17173767089844,Texas,Hyundai
TX197,Killeen Hyundai,3301 E Central Texas Expressway,Killeen,76543,TX,SC,254-226-3900,www.killeenhyundai.com,31.0849723815918,-97.70507049560547,Texas,Hyundai
TX108,Perry Hyundai,3824 N W Stallings Drive,Nacogdoches,75964,TX,SC,936-564-0276,www.perryhyundai.com,31.6394897,-94.6827837,Texas,Hyundai
TX077,World Car Hyundai,12908 Ih 35 North,San Antonio,78233,TX,SC,210-599-5959,www.worldcarhyundainorth.com,29.556443,-98.344539,Texas,Hyundai
LA009,Navarre Hyundai,1280 E. College Street,Lake Charles,70607,LA,SC,337-474-1999,www.navarrehyundai.com,30.1963319,-93.2031669,Louisiana,Hyundai
TX087,World Car Hyundai,7915 Ih 35 South,San Antonio,78224,TX,SC,210-254-6000,www.worldcarhyundaisouth.com,29.355282,-98.525968,Texas,Hyundai
TX016,Red Mccombs Hyundai,4800 Nw Loop 410,San Antonio,78229,TX,SC,210-684-7440,www.mccombssuperiorhyundai.com,29.5060908,-98.577596,Texas,Hyundai
TX127,Red Mccombs Hyundai Northwest,13663 Ih-10 West,San Antonio,78249,TX,SC,210-798-4500,www.hyundainorthwest.com,29.5553173,-98.5891314,Texas,Hyundai
TX081,Autonation Hyundai Corpus Christi,6686 S Padre Island Drive,Corpus Christi,78412,TX,SC,361-444-0156,www.autonationhyundaicorpuschristi.com,27.6982572,-97.3504364,Texas,Hyundai
TX190,Principle Hyundai  Boerne,32275 W I-10,Boerne,78006,TX,SC,210-635-1000,www.principlehyundaiboerne.com,29.75931167602539,-98.71178436279297,Texas,Hyundai
TX185,Patterson Hyundai Tyler,3120 Southwest Loop 323,Tyler,75701,TX,SC,903-561-2404,www.pattersonhyundaityler.com,32.3140031,-95.3400434,Texas,Hyundai
TX151,Hyundai Of Longview,3680 North Highway 259,Longview,75605,TX,SC,903-663-8710,www.hyundaioflongview.com,32.5626192,-94.7306813,Texas,Hyundai
TX132,Huffines Hyundai Mckinney,1301 N. Central Expressway,Mckinney,75070,TX,SC,469-525-4300,www.huffineshyundaimckinney.com,33.1799688,-96.6958939,Texas,Hyundai
TX040,Huffines Hyundai Plano,909 Coit Road,Plano,75075,TX,SC,972-867-5000,www.huffineshyundaiplano.com,33.0120587,-96.7677285,Texas,Hyundai
TX174,Van Hyundai,1825 N Ih 35 East,Carrollton,75006,TX,SC,214-483-1547,www.vanhyundai.com,32.9678449,-96.8887202,Texas,Hyundai
TX183,Clay Cooley Hyundai Of Rockwall,1540 Interstate 30 East,Rockwall,75087,TX,SC,972-722-6365,www.rockwallhyundai.net,32.9141485,-96.4364795,Texas,Hyundai
TX063,"Eckert Hyundai, Inc.",4011 South I-35 E,Denton,76210,TX,SC,940-243-6200,www.eckerthyundai.com,33.1880224,-97.0977187,Texas,Hyundai
TX189,Clay Cooley Hyundai Mesquite,16230 Lbj Freeway,Mesquite,75150,TX,SC,972-908-9100,www.hyundaimesquite.com,32.83157730102539,-96.62968444824219,Texas,Hyundai
TX062,Freeman Hyundai,1800 E. Airport Freeway,Irving,75062,TX,SC,972-438-2121,www.freemanhyundai.com,32.8358318,-96.9203655,Texas,Hyundai
TX198,Texoma Hyundai,2500 Texoma Parkway,Sherman,75090,TX,SC,903-487-0334,www.texomahyundai.com,33.66621780395508,-96.59818267822266,Texas,Hyundai
TX199,Greenville Hyundai,7311 I 30 Frontage Road,Greenville,75402,TX,SC,903-704-4089,www.greenvillehyundai.com,33.09587478637695,-96.1065673828125,Texas,Hyundai
TX204,Clay Cooley Hyundai Of Terrell,100 Highway 205,Terrell,75160,TX,SC,972-524-3775,www.terrellhyundai.com,32.73929595947266,-96.30150604248047,Texas,Hyundai
TX202,Clay Cooley Hyundai Of Dallas,39444 Lbj Freeway,Dallas,75232,TX,SC,214-694-2700,www.mydallashyundai.com,32.64352416992188,-96.85324096679688,Texas,Hyundai
