index,store_num,timezone,address,city,state,zip,phone,latitude,longitude,state_abbr,state_name
0,027800,America/Chicago,25109 Market Place Drive,Katy,{'isocode': 'US-TX'},77494,+12818459250,29.7818313296,-95.8032630852,TX,Texas
1,024393,America/Chicago,23557 Westheimer Pkwy.,Katy,{'isocode': 'US-TX'},77494,+12813913504,29.7331990603,-95.7752792317,TX,Texas
2,030623,America/Chicago,26628 FM 1093,Richmond,{'isocode': 'US-TX'},77406,+13467624346,29.6962011885,-95.8387419907,TX,Texas
3,026789,America/Chicago,5640 W Grand Parkway S,Richmond,{'isocode': 'US-TX'},77406,+12812325738,29.691419745,-95.771583857,TX,Texas
4,003566,America/Chicago,601 S Mason Rd,Katy,{'isocode': 'US-TX'},77450,+12815781342,29.7744750714,-95.7512245288,TX,Texas
5,032962,America/Chicago,22642 Morton Ranch Road,Katy,{'isocode': 'US-TX'},77449,+12813473309,29.8176628833,-95.7651769446,TX,Texas
6,009406,America/Chicago,1730 Fry Road,Houston,{'isocode': 'US-TX'},77084,+12814927933,29.7910803845,-95.7185984132,TX,Texas
7,035730,America/Chicago,7967 Grand Parkway,Richmond,{'isocode': 'US-TX'},77407,+12817620501,29.662854715,-95.7404942041,TX,Texas
8,035726,America/Chicago,34003 Katy Freeway,Brookshire,{'isocode': 'US-TX'},77423,+12819343100,29.7782498726,-95.9530258882,TX,Texas
9,036711,America/Chicago,1216 Barker Cypress,Houston,{'isocode': 'US-TX'},77084,+13463220436,29.7873373748,-95.688034,TX,Texas
10,035733,America/Chicago,8030 FM 1464,Richmond,{'isocode': 'US-TX'},77407,+12813026147,29.6925725581,-95.6885802002,TX,Texas
11,027806,America/Chicago,6117 N. Fry Road,Katy,{'isocode': 'US-TX'},77449,+12818585024,29.8627770998,-95.7210659746,TX,Texas
12,035683,America/Chicago,6907 Highway 6 South,Houston,{'isocode': 'US-TX'},77083,+12818799882,29.7013655562,-95.6434054284,TX,Texas
13,035724,America/Chicago,11719 Hwy 6 South,Sugar Land,{'isocode': 'US-TX'},77498,+12814944684,29.647071829,-95.6508315038,TX,Texas
14,027802,America/Chicago,17721 FM 529 Rd,Houston,{'isocode': 'US-TX'},77095,+12813458197,29.8787170089,-95.6798126373,TX,Texas
15,032599,America/Chicago,8923 Fry Road,Cypress,{'isocode': 'US-TX'},77433,+12817582139,29.9119163739,-95.7270480219,TX,Texas
16,003162,America/Chicago,4970 Highway 6 North,Houston,{'isocode': 'US-TX'},77084,+12818558006,29.8483475009,-95.6452954724,TX,Texas
26,009485,America/Chicago,7502 Hwy 6 North,Houston,{'isocode': 'US-TX'},77095,+12815508099,29.8867918594,-95.6433502372,TX,Texas
28,035689,America/Chicago,14601 Memorial,Houston,{'isocode': 'US-TX'},77079,+12814964840,29.7696471034,-95.6066549872,TX,Texas
29,022614,America/Chicago,17525 Spring Cypress Road,Cypress,{'isocode': 'US-TX'},77429,+12812133177,29.9699376852,-95.6917467178,TX,Texas
30,027808,America/Chicago,12351 FM 1960 West,Houston,{'isocode': 'US-TX'},77065,+12818073602,29.9230180253,-95.6012303997,TX,Texas
32,038744,America/Chicago,12727 Telge Rd.,Cypress,{'isocode': 'US-TX'},77429,+13464761811,29.9633961831,-95.6504305614,TX,Texas
34,035698,America/Chicago,12543 Westheimer,Houston,{'isocode': 'US-TX'},77077,+12816791899,29.735764,-95.604129,TX,Texas
35,036248,America/Chicago,5350 S Pulaski,Chicago,{'isocode': 'US-IL'},60632,+18728886490,41.7953188061,-87.7235975336,IL,Illinois
36,036218,America/Chicago,6631 South Cicero,Chicago,{'isocode': 'US-IL'},60638,+17734982642,41.7721113506,-87.7418095196,IL,Illinois
37,036247,America/Chicago,7906 S. Western Avenue,Chicago,{'isocode': 'US-IL'},60620,+17734243609,41.749795427,-87.6832047879,IL,Illinois
38,040318,America/Chicago,4656 S Cicero Ave,Chicago,{'isocode': 'US-IL'},60638,+18722050810,41.808,-87.7436,IL,Illinois
39,035389,America/Chicago,4614 S Damen Ave,Chicago,{'isocode': 'US-IL'},60609,+13125508345,41.809284,-87.675335,IL,Illinois
40,040351,America/Chicago,9540 S Cicero Avenue,Oak Lawn,{'isocode': 'US-IL'},60453,+17085296960,41.7186122391,-87.7412270832,IL,Illinois
41,036389,America/Chicago,255 W Garfield Blvd,Chicago,{'isocode': 'US-IL'},60621,+17734150656,41.7940244589,-87.6326035177,IL,Illinois
42,027900,America/Chicago,1644 W 95th St,Chicago,{'isocode': 'US-IL'},60643,+17737795600,41.7214523664,-87.6645196896,IL,Illinois
43,002513,America/Chicago,6944 Archer,Chicago,{'isocode': 'US-IL'},60638,+17735865455,41.7922676151,-87.7956242154,IL,Illinois
44,016508,America/Chicago,6049 West 95th Street,Oak Lawn,{'isocode': 'US-IL'},60453,+17084223433,41.719447576,-87.7721510584,IL,Illinois
45,034775,America/Chicago,2410 S Western Ave,Chicago,{'isocode': 'US-IL'},60608,+17734757502,41.8480317169,-87.6858667216,IL,Illinois
46,036181,America/Chicago,2225 S Cicero Avenue,Cicero,{'isocode': 'US-IL'},60804,+17086526161,41.8494434417,-87.7440088929,IL,Illinois
47,026028,America/Chicago,Chicago Ridge Mall 444 Chicago Ridge Mall,Chicago Ridge,{'isocode': 'US-IL'},60415,+17084235510,41.7163,-87.7826000001,IL,Illinois
48,002433,America/Chicago,6956 Ogden Ave,Berwyn,{'isocode': 'US-IL'},60402,+17087494747,41.8254733126,-87.7971956251,IL,Illinois
49,040147,America/Chicago,5601 W Cermak Rd,Cicero,{'isocode': 'US-IL'},60804,+17083292751,41.850711,-87.764227,IL,Illinois
50,033459,America/New_York,38-1 Junction Blvd,Corona,{'isocode': 'US-NY'},11368,+19293141881,40.7496012245,-73.8694938477,NY,New York
51,036317,America/New_York,9506 63rd Drive,Rego Park,{'isocode': 'US-NY'},11374,+19294871150,40.7295489377,-73.8625730476,NY,New York
52,019851,America/New_York,8301 37th Ave,Jackson Heights,{'isocode': 'US-NY'},11372,+17184789530,40.7499870693,-73.8832725473,NY,New York
53,035334,America/New_York,31-22 Farrington Street,Flushing,{'isocode': 'US-NY'},11354,+19294682525,40.7687454571,-73.8336844678,NY,New York
54,036429,America/New_York,83-10 Astoria Blvd,East Elmhurst,{'isocode': 'US-NY'},11370,+19294871525,40.7644845003,-73.8854796941,NY,New York
55,039960,America/New_York,60-12 Northern Blvd,Woodside,{'isocode': 'US-NY'},11377,+17185648050,40.753683,-73.901794,NY,New York
56,003200,America/New_York,172-12 Northern Blvd.,Flushing,{'isocode': 'US-NY'},11358,+17183596709,40.7574585896,-73.7935274776,NY,New York
57,036027,America/New_York,22-24 31st Street,Astoria,{'isocode': 'US-NY'},11105,+19294870952,40.7757243649,-73.9114927206,NY,New York
58,037525,America/New_York,61-22H Fresh Pond Road,Middle Village,{'isocode': 'US-NY'},11379,+17188854298,40.7138461973,-73.9015166667,NY,New York
59,039952,America/New_York,9701 Atlantic Ave,Woodhaven,{'isocode': 'US-NY'},11421,+17188074462,40.6893552123,-73.845804807,NY,New York
60,039957,America/New_York,57-17 Myrtle Ave,Ridgewood,{'isocode': 'US-NY'},11385,+19292680918,40.7006064336,-73.902986504,NY,New York
61,033349,America/New_York,16001 Jamaica Avenue,Jamaica,{'isocode': 'US-NY'},11432,+17182977292,40.7039791423,-73.799161246,NY,New York
62,027381,America/Denver,1895 N Zaragosa,El Paso,{'isocode': 'US-TX'},79936,+19158560513,31.7598537502,-106.2707983226,TX,Texas
63,017614,America/Denver,1500 Lee Trevino Drive North,El Paso,{'isocode': 'US-TX'},79936,+19155920761,31.752422773,-106.3183229276,TX,Texas
64,022047,America/Denver,1337 George Dieter Dr.,El Paso,{'isocode': 'US-TX'},79936,+19155950607,31.7262427843,-106.3033910152,TX,Texas
65,025849,America/Denver,12230 Montana Ave.,El Paso,{'isocode': 'US-TX'},79938,+19158553088,31.8066954048,-106.2632530272,TX,Texas
66,021244,America/Denver,9523 Viscount Blvd.,El Paso,{'isocode': 'US-TX'},79925,+19155901751,31.76550314,-106.3631884655,TX,Texas
67,034355,America/Denver,9620 Montana Ave,El Paso,{'isocode': 'US-TX'},79925,+19152642112,31.794117263,-106.3568665954,TX,Texas
68,031738,America/Denver,3570 Zaragoza,El Paso,{'isocode': 'US-TX'},79938,+19158556188,31.795105263,-106.2314694331,TX,Texas
69,041735,America/Denver,8830 North Loop Dr.,El Paso,{'isocode': 'US-TX'},79907,+19154558983,31.70546,-106.31873,TX,Texas
70,040405,America/Chicago,1041 Nuevo Hueco Tanks Road,Socorro,{'isocode': 'US-TX'},79927,+19152292219,31.6851922271,-106.2686527494,TX,Texas
71,019215,America/Denver,91 S Americas Avenue,El Paso,{'isocode': 'US-TX'},79907,+19158585252,31.680625395,-106.3137720431,TX,Texas
72,027488,America/Denver,"Fort Bliss, Biggs Army Air Field 20752 Gulf Victory Way",Fort Bliss,{'isocode': 'US-TX'},79916,+19155813248,31.8490069099,-106.3560983497,TX,Texas
73,017879,America/Denver,6055 Montana Ave.,El Paso,{'isocode': 'US-TX'},79925,+19157788456,31.7853267848,-106.414455087,TX,Texas
74,029446,America/Denver,13910 Horizon Blvd,Horizon City,{'isocode': 'US-TX'},79928,+19158524910,31.6824812715,-106.2020968889,TX,Texas
75,023468,America/Denver,Fort Bliss 1611 Marshall Road,El Paso,{'isocode': 'US-TX'},79906,+19155623005,31.8181139922,-106.4306566166,TX,Texas
76,031641,America/Denver,5300 Dyer St,El Paso,{'isocode': 'US-TX'},79904,+19155660323,31.8261692386,-106.4446422873,TX,Texas
77,017450,America/Denver,9159 Dyer Street,El Paso,{'isocode': 'US-TX'},79924,+19157514204,31.87362,-106.42618,TX,Texas
78,000328,America/Denver,2103 N. Mesa St.,El Paso,{'isocode': 'US-TX'},79902,+19155339161,31.7726264129,-106.4998050081,TX,Texas
