store_number,street,city,state,zip,latitude,longitude,state_name,brand
10165,603 Elden St,Herndon,VA,20170,38.96870351,-77.38136537,Virginia,Walgreens
12361,25421 Eastern Marketplace Plz,Chantilly,VA,20152,38.91370919,-77.48918163,Virginia,Walgreens
10331,13926 Lee Hwy,Centreville,VA,20120,38.83925653,-77.42931661,Virginia,Walgreens
10712,10320 Main St,Fairfax,VA,22030,38.84605648,-77.30259314,Virginia,Walgreens
13589,225 Maple Ave E,Vienna,VA,22180,38.90373257,-77.26127388,Virginia,Walgreens
18429,46965 Cedar Lake Plz,Sterling,VA,20164,39.01717761,-77.37531461,Virginia,Walgreens
11297,3050A Nutley St,Fairfax,VA,22031,38.87118648,-77.26361072,Virginia,Walgreens
9949,42025 Village Center Plz,Aldie,VA,20105,38.9387288,-77.54753928,Virginia,Walgreens
17200,20800 Great Falls Plz,Sterling,VA,20165,39.03928927,-77.35732891,Virginia,Walgreens
10503,43250 Southern Walk Plz,Broadlands,VA,20148,39.00861983,-77.50547889,Virginia,Walgreens
19791,9579 Braddock Rd,Fairfax,VA,22032,38.81768136,-77.27584918,Virginia,Walgreens
9837,20321 Susan Leslie Dr,Ashburn,VA,20147,39.05407061,-77.48735205,Virginia,Walgreens
11234,10671 Sudley Manor Dr,Manassas,VA,20109,38.78663322,-77.51554684,Virginia,Walgreens
11771,42820 Creek View Plz,Ashburn,VA,20147,39.04268622,-77.52067596,Virginia,Walgreens
17465,5230 Port Royal Rd,Springfield,VA,22151,38.80941158,-77.22233636,Virginia,Walgreens
18089,1312 Chain Bridge Road,Mclean,VA,22101,38.93988438,-77.17519892,Virginia,Walgreens
11912,9271 Sudley Rd,Manassas,VA,20110,38.75637489,-77.46598328,Virginia,Walgreens
15444,6715A Arlington Blvd,Falls Church,VA,22042,38.86892974,-77.17522853,Virginia,Walgreens
13970,4300 Backlick Rd,Annandale,VA,22003,38.83072177,-77.1949669,Virginia,Walgreens
17638,10134 River Rd,Potomac,MD,20854,39.0167589,-77.20930994,Maryland,Walgreens
12800,8414 Old Keene Mill Rd,Springfield,VA,22152,38.77995803,-77.23587309,Virginia,Walgreens
13989,10213 Dumfries Rd,Manassas,VA,20110,38.73997768,-77.47057414,Virginia,Walgreens
19265,5841 Washington Blvd,Arlington,VA,22205,38.88519645,-77.14043531,Virginia,Walgreens
19419,4720B Langston Blvd,Arlington,VA,22207,38.8974835,-77.12270203,Virginia,Walgreens
10822,4985 Wellington Rd,Gainesville,VA,20155,38.790885,-77.608008,Virginia,Walgreens
12167,9150 Devlin Rd,Bristow,VA,20136,38.75808992,-77.57775837,Virginia,Walgreens
10690,424 Sycolin Rd Se,Leesburg,VA,20175,39.09160251,-77.55284168,Virginia,Walgreens
9838,526 Fort Evans Rd,Leesburg,VA,20176,39.10638747,-77.52872099,Virginia,Walgreens
13941,3130 Langston Blvd,Arlington,VA,22201,38.89565736,-77.09792986,Virginia,Walgreens
13149,1075 Seven Locks Rd,Rockville,MD,20854,39.06161422,-77.15986882,Maryland,Walgreens
17262,6906 Arlington Rd,Bethesda,MD,20814,38.9784974,-77.09921403,Maryland,Walgreens
17217,7100 Silver Lake Blvd,Alexandria,VA,22315,38.76437654,-77.15426997,Virginia,Walgreens
19132,3301 New Mexico Ave Nw,Washington,DC,20016,38.93350915,-77.08551506,,Walgreens
18101,448 S King St,Leesburg,VA,20175,39.1080992,-77.56723989,Virginia,Walgreens
17202,4515 Duke St,Alexandria,VA,22304,38.81269422,-77.11021868,Virginia,Walgreens
11299,12601 Smoketown Rd,Woodbridge,VA,22192,38.68005107,-77.32005686,Virginia,Walgreens
