name,street,city,state,zip,latitude,longitude,phone,slug,state_name,brand,updated
PT #10154,7901 W. Irlo Bronson Memorial Hwy,Kissimmee,FL,34747,28.3475411,-81.6070604,(407) 787-0204,pollo-tropical-us-hwy-192kissimmee-fl,Florida,Pollo Tropical,2024-03-09
PT #10155,8708 Vineland Avenue,Orlando,FL,32821,28.3792719,-81.5007035,(407) 560-8304,pollo-tropical-vineland-avenueorlando-fl,Florida,Pollo Tropical,2024-03-09
PT #10159,6674 South Semoran Blvd,Orlando,FL,32822,28.4667246,-81.3111652,(407) 850-9491,pollo-tropical-semoran-blvdorlando-fl,Florida,Pollo Tropical,2024-03-09
PT #10167,23200 S.W. 112 Court,Homestead,FL,33032,25.5512776,-80.3725852,(786) 501-9925,pollo-tropical-allapattah-rdhomestead-fl,Florida,Pollo Tropical,2024-03-09
PT #10168,21852 S. State Road 7,West Boca Raton,FL,33432,26.3517862,-80.2018991,(561) 477-2618,pollo-tropical-palmettowest-boca-raton-fl,Florida,Pollo Tropical,2024-03-09
PT #10181,1365 NW St. Lucie West Blvd,Port Lucie West,FL,34986,27.3164813,-80.3893944,(772) 873-8129,pollo-tropical-nw-stlucieport-lucie-west-fl,Florida,Pollo Tropical,2024-03-09
PT #10182,404 SE 1st Avenue,Florida City,FL,33034,25.4425106,-80.4756267,(305) 242-0173,pollo-tropical-404-se-1st-avenuehomestead-fl,Florida,Pollo Tropical,2024-03-09
PT #10184,775 Osceola Parkway,Kissimmee,FL,34741,28.3396688,-81.4093319,(407) 870-0183,pollo-tropical-775-osceola-pkwykissimmee-fl,Florida,Pollo Tropical,2024-03-09
PT #10190,825 E. 49 Street,Hialeah,FL,33013,25.8676324,-80.2663249,(786) 329-7686,pollo-tropical-825-e-49-streethialeah-fl,Florida,Pollo Tropical,2024-03-09
PT #10192,5757 W. Oakland Park Blvd.,Laurdehill,FL,33313,26.1653573,-80.2292123,(954) 375-4057,pollo-tropical-w-oakland-parklaurdehill-fl,Florida,Pollo Tropical,2024-03-09
PT #10199,5554 Federal Highway,Ft. Lauderdale,FL,33308,26.1959068,-80.1112001,(954) 375-4165,pollo-tropical-n-fed-ne-55ftlauderdale-fl,Florida,Pollo Tropical,2024-03-09
PT #10200,25570 Cierra Center Blvd,Tampa,FL,33559,28.1949125,-82.3938337,(813) 579-1625,pollo-tropical-sr-56-wesley-chapeltampa-fl,Florida,Pollo Tropical,2024-03-09
PT #10202,5415 Fruitville Road,Sarasota,FL,34232,27.3386391,-82.4616771,(941) 296-6999,pollo-tropical-5415-fruitvillesarasota-fl,Florida,Pollo Tropical,2024-03-09
PT #10218,1446 W. International Speedway Blvd.,Daytona Beach,FL,32114,29.1965029,-81.0585179,(386) 271-4951,pollo-tropical-1446-w-intldaytona-beach-fl,Florida,Pollo Tropical,2024-03-09
PT #10223,4713 Flamingo Road,Cooper City,FL,33330,26.062301,-80.3144122,(954) 375-4077,pollo-tropical-4713-flamingocooper-city-fl,Florida,Pollo Tropical,2024-03-09
PT #10224,7210 NW 36th Street,Miami,FL,33166,25.8088138,-80.3142163,(786) 221-1568,pollo-tropical-nw-36-streetmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10227,50 N. University Drive,Plantation,FL,33324,26.1217497,-80.2520516,(305) 526-4492,pollo-tropical-broward-university-plantation-fl,Florida,Pollo Tropical,2024-03-09
PT #10228,5294 North International Drive,Orlando,FL,32819,28.4657879,-81.4497001,(321) 251-6217,pollo-tropical-international-drorlando-fl,Florida,Pollo Tropical,2024-03-09
PT #10230,7501 Biscayne Blvd.,Miami,FL,33138,25.8442601,-80.1841282,(305) 944-0227,pollo-tropical-ptex-biscayne-75th-miami-fl,Florida,Pollo Tropical,2024-03-09
PT #10233,9993 Tagore Place,Orlando,FL,32832,28.3891039,-81.2448919,(407) 477-4772,pollo-tropical-lake-nona-orlando-fl,Florida,Pollo Tropical,2024-03-09
PT #10235,5450 Univ Dr,Coral Springs,FL,33067,26.2969673,-80.2506673,(954) 688-2209,pollo-tropical-5450-univ-dr-coral-springs-fl,Florida,Pollo Tropical,2024-03-09
PT #10236,7401 W 4th Ave,HIaleah,FL,33014,25.8892181,-80.2912645,(786) 221-0643,pollo-tropical-7405-w-4th-avenuehialeah-fl,Florida,Pollo Tropical,2024-03-09
PT#10248,8851 West Commercial Blvd,Tamarac,FL,33351,26.1942768,-80.2696609,(954) 716-7947,pt10248,Florida,Pollo Tropical,2024-03-09
PT #14306 JM,"1005, 1611 NW 12th Ave",Miami,FL,33136,25.790187,-80.212963,(407) 573-6112,pt-14306,Florida,Pollo Tropical,2024-03-09
PT #10217,5101 Fowler Avenue,Tampa,FL,33617,28.054555,-82.4295171,(813) 773-1382,pt-10217,Florida,Pollo Tropical,2024-03-09
PT #10249,16951 Miramar Pkwy,Miramar,FL,33027,25.9794499,-80.3733029,(954) 488-2225,pt-10249,Florida,Pollo Tropical,2024-03-09
PT #10254,13425 S. Dixie Hwy,Pinecrest,FL,33156,25.6460258,-80.3330486,(786) 522-3935,pollo-10254,Florida,Pollo Tropical,2024-03-09
PT #10001,741 N. W. 37th Avenue,Miami,FL,33125,25.7791331,-80.2549213,(305) 541-3161,pollo-tropical-nw-37th-avemiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10002,9520 S. W. 137th Avenue,Miami,FL,33186,25.6793624,-80.4170254,(305) 388-4406,pollo-tropical-sw-137th-avemiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10003,8975 S. Dixie Highway,Miami,FL,33156,25.687147,-80.3100596,(305) 662-9035,pollo-tropical-90-s-dixie-hwaymiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10004,8700 Bird Road,Miami,FL,33165,25.732435,-80.3361514,(305) 225-7858,pollo-tropical-bird-roadmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10005,18710 S. Dixie Highway,Miami,FL,33157,25.5950876,-80.3562264,(305) 254-0666,pollo-tropical-quail-s-dixie-hwaymiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10006,11521 N. Kendall Drive,Miami,FL,33176,25.6868053,-80.3803487,(305) 596-4775,pollo-tropical-n-kendall-drivemiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10007,1785 N. E. 163rd Street,N. Miami Beach,FL,33162,25.9263856,-80.1642697,(305) 945-0045,pollo-tropical-ne-163rd-stn-miami-beach-fl,Florida,Pollo Tropical,2024-03-09
PT #10008,4211 N. W. 36th Street,Miami Springs,FL,33166,25.8086487,-80.2653668,(305) 884-2268,pollo-tropical-nw-36th-stmiami-springs-fl,Florida,Pollo Tropical,2024-03-09
PT #10009,2710 S. Dixie Hwy,Miami,FL,33133,25.7390438,-80.2387856,(305) 448-9892,pollo-tropical-27-s-dixie-hwaymiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10010,16495 N. W. 67th Avenue,Miami Lakes,FL,33014,25.9228073,-80.308732,(305) 821-3858,pollo-tropical-nw-67th-avemiami-lakes-fl,Florida,Pollo Tropical,2024-03-09
PT #10011,2490 W. 60th Street,Hialeah,FL,33016,25.8766568,-80.3331524,(305) 828-2032,pollo-tropical-w-60th-sthialeah-fl,Florida,Pollo Tropical,2024-03-09
PT #10012,2011 E. Oakland Park Blvd.,Oakland Park,FL,33306,26.1675957,-80.1192604,(954) 564-6220,pollo-tropical-e-oakland-pk-blvdoaklnd-pk-fl,Florida,Pollo Tropical,2024-03-09
PT #10013,8299 Pines Blvd.,Pembrook Pines,FL,33024,26.0096047,-80.2519522,(954) 437-9153,pollo-tropical-83-pinespembroke-pines-fl,Florida,Pollo Tropical,2024-03-09
PT #10014,2298 Congress Avenue,Boynton Beach,FL,33426,26.5497215,-80.0901358,(561) 364-4313,pollo-tropical-congress-aveboynton-beach-fl,Florida,Pollo Tropical,2024-03-09
PT #10015,11806 Biscayne Blvd.,N Miami,FL,33181,25.884897,-80.1655372,(305) 895-0274,pollo-tropical-biscayne-blvdmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10016,2390 S. University Drive,Davie,FL,33324,26.091178,-80.250654,(954) 474-8040,pollo-tropical-s-university-drdavie-fl,Florida,Pollo Tropical,2024-03-09
PT #10017,4331 Lake Worth Road,Lake Worth,FL,33461,26.6185924,-80.1107313,(561) 641-7800,pollo-tropical-lake-worth-roadlake-worth-fl,Florida,Pollo Tropical,2024-03-09
PT #10018,1454 Alton Road,Miami Beach,FL,33139,25.7870823,-80.1413319,(305) 672-8888,pollo-tropical-alton-roadmiami-beach-fl,Florida,Pollo Tropical,2024-03-09
PT #10019,985 N. Homestead Blvd.,Homestead,FL,33030,25.4793165,-80.4638098,(305) 245-0410,pollo-tropical-n-homestead-blvdhomestead-fl,Florida,Pollo Tropical,2024-03-09
PT #10020,800 University Drive,Coral Springs,FL,33071,26.2423693,-80.2546528,(954) 345-7922,pollo-tropical-university-drcoral-springs-fl,Florida,Pollo Tropical,2024-03-09
PT #10021,11670 S. W. 152nd Street,Miami,FL,33157,25.6267297,-80.3816535,(954) 345-7922,pollo-tropical-sw-152nd-stmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10022,489 FL-436,Altamonte Springs,FL,32714,28.6623238,-81.40199,(407) 865-6750,pollo-tropical-west-sr-436altamonte-sprgs-fl,Florida,Pollo Tropical,2024-03-09
PT #10024,1555 N. W. 87 Avenue,Miami,FL,33172,25.7882028,-80.33642,(305) 594-7391,pollo-tropical-nw-87th-avemiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10025,19911 N. W. 2nd Avenue SR7,North Miami,FL,33169,25.9583106,-80.2051857,(305) 655-2026,pollo-tropical-nw-2nd-avenorth-miami-fl,Florida,Pollo Tropical,2024-03-09
PT #10026,13998 S. W. 56th Street,Miami,FL,33175,25.7138728,-80.4200032,(305) 382-1399,pollo-tropical-sw-56th-stmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10027,11429 Pines Blvd,Pembroke Pines,FL,33026,26.0082512,-80.3018731,(954) 430-2250,pollo-tropical-hiatuapinespembroke-pines-fl,Florida,Pollo Tropical,2024-03-09
PT #10030,581 N. W. 57th Avenue,Miami,FL,33126,25.7768487,-80.2878359,(305) 265-6101,pollo-tropical-nw-57th-avemiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10031,12961 W. Sunrise Blvd.,Ft. Lauderdale,FL,33323,26.146344,-80.327332,(954) 845-0343,pollo-tropical-w-sunrise-blvdft-lauderdle-fl,Florida,Pollo Tropical,2024-03-09
PT #10032,1811 S. Semoran Blvd.,Orlando,FL,32822,28.5211168,-81.3097258,(407) 273-2600,pollo-tropical-s-semoran-blvdorlando-fl,Florida,Pollo Tropical,2024-03-09
PT #10035,1819 S. Federal Hwy.,Ft. Lauderdale,FL,33316,26.0987465,-80.1370576,(954) 764-2141,pollo-tropical-s-federal-hwyft-lauderdale-fl,Florida,Pollo Tropical,2024-03-09
PT #10038,2350 Douglas Road,Miami,FL,33134,25.7504636,-80.255023,(305) 461-1915,pollo-tropical-douglas-rdcoral-gables-fl,Florida,Pollo Tropical,2024-03-09
PT #10039,1592 W. 49 Street,Hialeah,FL,33012,25.8663199,-80.3145428,(305) 556-8090,pollo-tropical-w-49th-sthialeah-fl,Florida,Pollo Tropical,2024-03-09
PT #10040,5720 Wiles Road,Coral Springs,FL,33067,26.2842252,-80.2025657,(954) 757-7839,pollo-tropical-wiles-roadcoral-springs-fl,Florida,Pollo Tropical,2024-03-09
PT #10042,5549 Sheridan Street,Hollywood,FL,33021,26.032834,-80.19958,(954) 987-8976,pollo-tropical-sheridan-sthollywood-fl,Florida,Pollo Tropical,2024-03-09
PT #10043,2633 Weston Rd.,Weston,FL,33331,26.0843886,-80.3717605,(954) 389-2572,pollo-tropical-weston-rdweston-fl,Florida,Pollo Tropical,2024-03-09
PT #10044,10575 N. W. 41 Street,Miami,FL,33178,25.8120481,-80.3678441,(305) 597-4596,pollo-tropical-nw-41st-stmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10045,2675 N. University Drive,Sunrise,FL,33322,26.1583473,-80.2577887,(954) 741-5238,pollo-tropical-n-university-drsunrise-fl,Florida,Pollo Tropical,2024-03-09
PT #10046,3499 Biscayne Blvd.,Miami,FL,33137,25.8091797,-80.1892065,(305) 572-9844,pollo-tropical-biscayneblvd-ne35thmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10047,16201 S.W. 88 Street,Miami,FL,33196,25.6845614,-80.4543918,(305) 752-1877,pollo-tropical-sw-88-stmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10048,3061 Northlake Blvd.,Lake Park,FL,33403,26.8087637,-80.0824112,(561) 841-3466,pollo-tropical-northlake-blvdlake-park-fl,Florida,Pollo Tropical,2024-03-09
PT #10049,3801 W. Vine Street,Kissimmee,FL,34741,28.3048796,-81.4415037,(407) 932-4363,pollo-tropical-w-vine-stkissimmee-fl,Florida,Pollo Tropical,2024-03-09
PT #10050,107 North State Road 7,Royal Palm Beach,FL,33411,26.678187,-80.203221,(561) 795-8818,pollo-tropical-n-state-rd-7royal-palm-bch-fl,Florida,Pollo Tropical,2024-03-09
PT #10052,7643 W. Colonial Drive,Orlando,FL,32818,28.5524676,-81.4885242,(407) 293-6118,pollo-tropical-w-colonial-drorlando-fl,Florida,Pollo Tropical,2024-03-09
PT #10053,3051 W. Commercial Blvd.,Fort Lauderdale,FL,33309,26.1868266,-80.1864168,(954) 484-5273,pollo-tropical-w-commericalft-lauderdale-fl,Florida,Pollo Tropical,2024-03-09
PT #10054,11860 E. Colonial Drive,Orlando,FL,32826,28.5659495,-81.2056856,(407) 380-1966,pollo-tropical-east-colonial-drorlando-fl,Florida,Pollo Tropical,2024-03-09
PT #10055,11875 S.W. 26 St,Miami,FL,33175,25.7465465,-80.3880028,(305) 223-8049,pollo-tropical-sw-26th-stmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10056,14880 S. W. 31 Street,Miramar,FL,33027,25.9793818,-80.3449396,(954) 431-7998,pollo-tropical-sw-31st-stmiramar-fl,Florida,Pollo Tropical,2024-03-09
PT #10057,2499 N Federal Highway,Boca Raton,FL,33431,26.3725655,-80.0769337,(561) 395-9751,pollo-tropical-n-federal-hwayboca-raton-fl,Florida,Pollo Tropical,2024-03-09
PT #10058,950 Linton Blvd.,Delray Beach,FL,33444,26.4392274,-80.0828694,(561) 276-9334,pollo-tropical-linton-blvddelray-beach-fl,Florida,Pollo Tropical,2024-03-09
PT #10059,10705 West Flagler Street,Miami,FL,33174,25.7686826,-80.3705885,(305) 225-5883,pollo-tropical-west-flager-stmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10063,2450 W. Atlantic Blvd.,Pompano Beach,FL,33069,26.2305373,-80.1552,(954) 977-6996,pollo-tropical-watlanticblvdpompano-beach-fl,Florida,Pollo Tropical,2024-03-09
PT #10064,1051 S. Military Trail,Deerfield Beach,FL,33442,26.3036738,-80.1309293,(954) 596-1722,pollo-tropical-s-military-trdeerfield-bch-fl,Florida,Pollo Tropical,2024-03-09
PT #10065,8200 NW 27th Avenue,Miami,FL,33147,25.8494264,-80.2423487,(305) 835-7233,pollo-tropical-nw-27th-avemiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10066,3094 NE 41st Place,Homestead,FL,33033,25.4991166,-80.4138519,(305) 247-4909,pollo-tropical-ne-41st-plhomestead-fl,Florida,Pollo Tropical,2024-03-09
PT #10067,4085 Millenia Blvd.,Orlando,FL,32839,28.49119,-81.4293363,(407) 248-3080,pollo-tropical-millenia-blvdorlando-fl,Florida,Pollo Tropical,2024-03-09
PT #10068,1550 Indian Town Rd.,Jupiter,FL,33458,26.9336351,-80.1224014,(561) 746-4440,pollo-tropical-maplewood-center-jupiter-fl,Florida,Pollo Tropical,2024-03-09
PT #10069,300 North State Rd 7,Plantation,FL,33317,26.123894,-80.201655,(954) 587-3121,pollo-tropical-north-state-rd-7plantation-fl,Florida,Pollo Tropical,2024-03-09
PT #10071,17084 Collins Ave,Sunny Isles Beach,FL,33160,25.9338958,-80.1219923,(305) 948-7229,pollo-tropical-collins-avesunny-isles-bch-fl,Florida,Pollo Tropical,2024-03-09
PT #10072,"14150 SW 8th St, Miami FL",Miami,FL,33184,25.7591234,-80.4243796,(305) 553-5646,pollo-tropical-sw-8th-stmiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10073,3085 45th Street,West Palm Beach,FL,33407,26.7599071,-80.0998887,(561) 689-3562,pollo-tropical-45th-streetwest-palm-beach-fl,Florida,Pollo Tropical,2024-03-09
PT #10074,601 W Hallandale Beach Blvd,Hallandale Beach,FL,33009,25.985026,-80.1543932,(954) 458-6767,pollo-tropical-whallandale-bchbvdhldl-bch-fl,Florida,Pollo Tropical,2024-03-09
PT #10075,7785 South Dixie Highway,West Palm Beach,FL,33405,26.649243,-80.0566793,(561) 202-0037,pollo-tropical-s-dixie-hwayw-palm-beach-fl,Florida,Pollo Tropical,2024-03-09
PT #10076,1001 W. P. Ball Boulevard,Sanford,FL,32771,28.7991709,-81.3385728,(407) 322-3977,pollo-tropical-wp-ball-blvdsanford-fl,Florida,Pollo Tropical,2024-03-09
PT #10080,1652 NE Pine Island Rd,Cape Coral,FL,33909,26.6675704,-81.9391945,(239) 772-1644,pollo-tropical-ne-pine-is-rdcape-coral-fl,Florida,Pollo Tropical,2024-03-09
PT #10082,1985 East Osceola Parkway,Kissimmee,FL,34744,28.3453928,-81.3640017,(407) 348-1222,pollo-tropical-east-osceola-pkwykissimmee-fl,Florida,Pollo Tropical,2024-03-09
PT #10083,3900 Park Blvd,Pinellas Park,FL,33781,27.8387988,-82.6869274,(727) 525-3294,pollo-tropical-park-blvdpinellas-park-fl,Florida,Pollo Tropical,2024-03-09
PT #10084,3285 West Hillsborough Ave,Tampa,FL,33614,27.9964417,-82.4965212,(813) 870-7235,pollo-tropical-w-hillsborough-avetampa-fl,Florida,Pollo Tropical,2024-03-09
PT #10086,8301 Red Bud Lake Rd,Oviedo,FL,32765,28.6551794,-81.228605,(407) 977-5719,pollo-tropical-red-bud-lake-rdoviedo-fl,Florida,Pollo Tropical,2024-03-09
PT #10087,5065 Golden Gate Parkway,Naples,FL,34116,26.1795482,-81.7082202,(239) 304-0629,pollo-tropical-golden-gate-pkynaples-fl,Florida,Pollo Tropical,2024-03-09
PT #10088,6276 W Waters Ave,Tampa,FL,33634,28.0252224,-82.5472857,(813) 880-7167,pollo-tropical-w-waters-avetampa-fl,Florida,Pollo Tropical,2024-03-09
PT #10089,19700 NW 27th Ave,Miami Gardens,FL,33056,25.9531796,-80.2463478,(305) 622-6687,pollo-tropical-nw-27-avemiami-gardens-fl,Florida,Pollo Tropical,2024-03-09
PT #10090,5780 S. University Dr,Davie,FL,33314,26.0485827,-80.2510811,(954) 252-8434,pollo-tropical-sterling-s-univ-drdavie-fl,Florida,Pollo Tropical,2024-03-09
