name,street,city,state,zip,latitude,longitude,phone,slug,state_name,brand,updated
PT #10091,3224 East Colonial Dr,Orlando,FL,32803,28.5529905,-81.3425627,(407) 228-2242,pollo-tropical-e-colonial-drorlando-fl,Florida,Pollo Tropical,2024-03-09
PT #10092,2611 Okeechobee Blvd.,W. Palm Beach,FL,33409,26.7070135,-80.0928196,(561) 688-0578,pollo-tropical-okeechobee-blvdw-palm-bch-fl,Florida,Pollo Tropical,2024-03-09
PT #10098,3777 East Tamiami Trail,Naples,FL,34112,26.1209857,-81.7595816,(239) 417-2708,pollo-tropical-east-tamiami-trailnaples-fl,Florida,Pollo Tropical,2024-03-09
PT #10099,8096 West McNab Rd,N Lauderdale,FL,33068,26.2079325,-80.2359216,(954) 721-2497,pollo-tropical-west-mcnab-rdn-lauderdale-fl,Florida,Pollo Tropical,2024-03-09
PT #10104,4863 Gate Parkway,Jacksonville,FL,32246,30.2536881,-81.5355368,(904) 646-9707,pollo-tropical-gate-parkwayjacksonville-fl,Florida,Pollo Tropical,2024-03-09
PT #10106,10989 San Jose Blvd,Jacksonville,FL,32223,30.1766931,-81.6273181,(904) 288-5990,pollo-tropical-san-jose-blvdjacksonville-fl,Florida,Pollo Tropical,2024-03-09
PT #10108,730 Skymarks Dr,Jacksonville,FL,32218,30.4805537,-81.6359803,(904) 757-2148,pollo-tropical-skymarks-drjacksonville-fl,Florida,Pollo Tropical,2024-03-09
PT #10109,12000 NW 7th Ave.,N Miami,FL,33168,25.8849333,-80.2109985,(305) 685-2179,pollo-tropical-nw-7th-aven-miami-fl,Florida,Pollo Tropical,2024-03-09
PT #10110,6704 Fores Hill Blvd,Greenacres,FL,33413,26.6507663,-80.1458894,(561) 434-9665,pollo-tropical-forest-hill-blvdgreenacres-fl,Florida,Pollo Tropical,2024-03-09
PT #10112,4335 Norfolk Parkway,West Melbourne,FL,32904,28.0361279,-80.6612599,(321) 952-6977,pollo-tropical-norfolk-pkwywest-melbourne-fl,Florida,Pollo Tropical,2024-03-09
PT #10113,17804 Ben Hill Griffin Parkway,Ft Myers,FL,33913,26.4844367,-81.7849819,(239) 433-4028,pollo-tropical-ben-hill-griffinft-myers-fl,Florida,Pollo Tropical,2024-03-09
PT #10117,2320 N Federal Highway,Pompano Beach,FL,33064,26.2596253,-80.0991262,(954) 946-9592,pollo-tropical-n-federal-hwypompano-beach-fl,Florida,Pollo Tropical,2024-03-09
PT #10119,2200 SE Federal Highway,Stuart,FL,34994,27.1783313,-80.2379038,(772) 287-2891,pollo-tropical-se-federal-highwaystuart-fl,Florida,Pollo Tropical,2024-03-09
PT #10120,828 Providence Rd,Brandon,FL,33511,27.9251247,-82.3171878,(813) 681-2679,pollo-tropical-providence-rdbrandon-fl,Florida,Pollo Tropical,2024-03-09
PT #10122,15298 N Dale Mabry Highway,Tampa,FL,33618,28.0891289,-82.5039745,(813) 961-0379,pollo-tropical-n-dale-mabry-highwaytampa-fl,Florida,Pollo Tropical,2024-03-09
PT #10124,5425 W Atlantic Blvd,Margate,FL,33063,26.2357443,-80.2004519,(954) 977-3714,pollo-tropical-w-atlantic-blvdmargate-fl,Florida,Pollo Tropical,2024-03-09
PT #10125,18390 SW 137th Ave,Miami,FL,33187,25.5968257,-80.4139388,(305) 253-8235,pollo-tropical-sw-137th-avemiami-fl-2,Florida,Pollo Tropical,2024-03-09
PT #10126,6195 South Jog Road,Lake Worth,FL,33467,26.586793,-80.1467398,(561) 966-2782,pollo-tropical-south-jog-rdlake-worth-fl,Florida,Pollo Tropical,2024-03-09
PT #10128,7845 W. Hialeah Gardens Blvd.,Hialeah,FL,33018,25.8938525,-80.3507044,(305) 821-8535,pollo-tropical-hialeah-gardenshialeah-fl,Florida,Pollo Tropical,2024-03-09
PT #10129,7090 Coral Way,Miami,FL,33155,25.7476507,-80.3102832,(305) 261-6021,pollo-tropical-coral-terracemiami-fl,Florida,Pollo Tropical,2024-03-09
PT #10130,12611 S. Cleveland Avenue,Ft. Myers,FL,33907,26.5592074,-81.8711365,(239) 275-1118,pollo-tropical-s-cleveland-aveft-myers-fl,Florida,Pollo Tropical,2024-03-09
PT #10131,1780 Sheridan St,Hollywood,FL,33020,26.0330639,-80.1425707,(954) 927-4732,pollo-tropical-1780-sheridan-sthollywood-fl,Florida,Pollo Tropical,2024-03-09
PT #10133,8051 Dani Drive,Ft. Myers,FL,33966,26.6080078,-81.810508,(239) 275-1142,pollo-tropical-9321-ben-c-prattfort-myers-fl,Florida,Pollo Tropical,2024-03-09
PT #10138,14683 S. Military Trail,Delray Beach,FL,33484,26.4583581,-80.1240809,(561) 495-5225,pollo-tropical-s-militarydelray-beach-fl,Florida,Pollo Tropical,2024-03-09
PT #10148,20403 Biscayne Blvd,Aventura,FL,33180,25.9647899,-80.1459394,(305) 935-9520,pollo-tropical-20403-biscayneaventura-fl,Florida,Pollo Tropical,2024-03-09
PT #10150,1277 SW 8th Street,Miami,FL,33135,25.7660579,-80.2158703,(305) 856-9221,pollo-tropical-sw-8th-stlittle-havana-fl,Florida,Pollo Tropical,2024-03-09
PT #10151,311 S. State Road 7,Hollywood,FL,33023,26.0072574,-80.2069238,(754) 263-5960,pollo-tropical-hollywood-blv441hollywood-fl,Florida,Pollo Tropical,2024-03-09
