store_id,store_name,street,city,state,zip,timezone,phone,latitude,longitude,url,state_name,brand
6012,Kansas City – State Ave,7500 State Ave,Kansas City,KS,66102,America/Chicago,(913) 334-4080,39.1169442,-94.7522124,us/ks/kansas-city/7500-state-ave/store-6012,Kansas,Arby's
6051,Mission – Johnson Dr,6780 Johnson Dr,Mission,KS,66202,America/Chicago,(913) 384-3375,39.0225598,-94.6632601,us/ks/mission/6780-johnson-dr/store-6051,Kansas,Arby's
6028,Shawnee – 63rd St,11445 W 63rd St,Shawnee,KS,66216,America/Chicago,(913) 631-6118,39.0141988,-94.718526,us/ks/shawnee/11445-w-63rd-st/store-6028,Kansas,Arby's
6017,Kansas City – Taney St,2108 Taney St,Kansas City,MO,64116,America/Chicago,(816) 842-0576,39.1456396,-94.5590778,us/mo/kansas-city/2108-taney-st/store-6017,Missouri,Arby's
8454,Kansas City – 4841 N Oak Trafficway,4841 N. Oak Trafficway,Kansas City,MO,64118,America/Chicago,(816) 454-4156,39.1840693,-94.5760448,us/mo/kansas-city/4841-n--oak-trafficway/store-8454,Missouri,Arby's
5881,Overland Park – Santa Fe Dr,9525 Santa Fe Dr,Overland Park,KS,66212,America/Chicago,(913) 383-1700,38.9713032,-94.6916761,us/ks/overland-park/9525-santa-fe-dr/store-5881,Kansas,Arby's
8255,Kansas City – Nw 83rd Terrace,6951 Nw 83rd Terrace,Kansas City,MO,64152,America/Chicago,(816) 505-0757,39.2449671,-94.6616251,us/mo/kansas-city/6951-nw-83rd-terrace/store-8255,Missouri,Arby's
7582,Bonner Springs – Tulip Dr,600 Tulip Dr,Bonner Springs,KS,66012,America/Chicago,(913) 441-7949,39.0866169,-94.8808949,us/ks/bonner-springs/600-tulip-dr/store-7582,Kansas,Arby's
8628,Kansas City – 8545 N Oak Trafficway,8545 N Oak Trafficway,Kansas City,MO,64155,America/Chicago,(816) 436-0527,39.2488697,-94.5754203,us/mo/kansas-city/8545-n-oak-trafficway/store-8628,Missouri,Arby's
6296,Raytown – E 350 Hwy,9066 E 350 Hwy,Raytown,MO,64133,America/Chicago,(816) 737-8553,38.9963373,-94.4755904,us/mo/raytown/9066-e-350-hwy/store-6296,Missouri,Arby's
8219,Kansas City – N Oxford Ave,8261 N. Oxford Ave,Kansas City,MO,64158,America/Chicago,(816) 792-4900,39.2432296,-94.4657745,us/mo/kansas-city/8261-n--oxford-ave/store-8219,Missouri,Arby's
5827,Independence – S Noland Road,4515 S. Noland Road,Independence,MO,64055,America/Chicago,(816) 373-9368,39.0386639,-94.4149737,us/mo/independence/4515-s--noland-road/store-5827,Missouri,Arby's
7918,Olathe – 119th St,18060 W. 119th St,Olathe,KS,66061,America/Chicago,(913) 859-9132,38.9132376,-94.7948304,us/ks/olathe/18060-w--119th-st/store-7918,Kansas,Arby's
7967,Lansing – N Main St,291 N. Main St,Lansing,KS,66043,America/Chicago,(913) 727-2420,39.2548321,-94.9005971,us/ks/lansing/291-n--main-st/store-7967,Kansas,Arby's
6489,Independence – M-291 Highway,2531 South M-291 Highway,Independence,MO,64057,America/Chicago,(816) 373-5236,39.0737726,-94.3783707,us/mo/independence/2531-south-m-291-highway/store-6489,Missouri,Arby's
8338,Olathe – S Blackbob Rd,13790 S. Blackbob Rd.,Olathe,KS,66062,America/Chicago,(913) 829-3458,38.8793359,-94.7615746,us/ks/olathe/13790-s--blackbob-rd/store-8338,Kansas,Arby's
8381,Overland Park – Metcalf Ave,15021 Metcalf Ave.,Overland Park,KS,66223,America/Chicago,(913) 685-1995,38.8560495,-94.6671764,us/ks/overland-park/15021-metcalf-ave/store-8381,Kansas,Arby's
7409,Platte City – Prairie View Rd,1700 Prairie View Rd,Platte City,MO,64079,America/Chicago,(816) 431-9943,39.3589102,-94.7694493,us/mo/platte-city/1700-prairie-view-rd/store-7409,Missouri,Arby's
8286,Independence – E Valley View Pkwy,20111 E. Valley View Pkwy,Independence,MO,64057,America/Chicago,(816) 795-1301,39.0365872,-94.3440298,us/mo/independence/20111-e--valley-view-pkwy/store-8286,Missouri,Arby's
8265,Olathe – 151st St,18615 W. 151st Street,Olathe,KS,66062,America/Chicago,(913) 768-1599,38.8541749,-94.8001322,us/ks/olathe/18615-w--151st-street/store-8265,Kansas,Arby's
7199,Lee's Summit – Ne Rice Rd,1027 Ne Rice Rd,Lee's Summit,MO,64086,America/Chicago,(816) 347-8170,38.9313367,-94.3588012,us/mo/lee's-summit/1027-ne-rice-rd/store-7199,Missouri,Arby's
